id,weight
A/B/I/ABIOGENETICALLY,0.005575
A/B/O/ABORIGINALITIES,0.0
A/B/S/ABSORBABILITIES,0.009775
A/B/S/ABSORBEFACIENTS,0.0
A/B/S/ABSORPTIOMETERS,0.0
A/B/S/ABSTRACTIONISMS,0.070649
A/B/S/ABSTRACTIONISTS,0.0
A/C/A/ACANTHOCEPHALAN,0.087796
A/C/C/ACCEPTABILITIES,0.009783
A/C/C/ACCEPTINGNESSES,0.049851
A/C/C/ACCESSARINESSES,0.055475
A/C/C/ACCESSIBILITIES,0.014849
A/C/C/ACCESSORINESSES,0.051210
A/C/C/ACCIDENTALITIES,0.0
A/C/C/ACCIDENTOLOGIES,0.076466
A/C/C/ACCLIMATISATION,0.112625
A/C/C/ACCLIMATIZATION,0.0
A/C/C/ACCOMMODATINGLY,0.0
A/C/C/ACCOMMODATIONAL,0.077214
A/C/C/ACCOMPLISHMENTS,0.0
A/C/C/ACCOUNTABLENESS,0.0
A/C/C/ACCOUNTANTSHIPS,0.0
A/C/C/ACCULTURATIONAL,0.076699
A/C/E/ACETOPHENETIDIN,0.140414
A/C/E/ACETYLSALICYLIC,0.378710
A/C/H/ACHONDROPLASIAS,0.014850
A/C/H/ACHONDROPLASTIC,0.279663
A/C/H/ACHROMATICITIES,0.033791
A/C/H/ACHROMATISATION,0.112677
A/C/H/ACHROMATIZATION,0.0
A/C/I/ACIDIMETRICALLY,0.004005
A/C/K/ACKNOWLEDGEABLE,0.0
A/C/K/ACKNOWLEDGEABLY,0.108216
A/C/K/ACKNOWLEDGEMENT,0.020216
A/C/K/ACKNOWLEDGMENTS,0.0
A/C/Q/ACQUIRABILITIES,0.009841
A/C/Q/ACQUISITIVENESS,0.0
A/C/R/ACRIMONIOUSNESS,0.005779
A/C/R/ACROPARESTHESIA,1.006487
A/C/T/ACTINOBIOLOGIES,0.080555
A/C/T/ACTINOCHEMISTRY,0.0
A/C/T/ACTINOTHERAPIES,0.0
A/D/A/ADAPTABLENESSES,0.051506
A/D/D/ADDITIONALITIES,0.0
A/D/E/ADENOCARCINOMAS,0.076092
A/D/E/ADENOHYPOPHYSES,0.056432
A/D/E/ADENOHYPOPHYSIS,0.056432
A/D/E/ADENOIDECTOMIES,0.083936
A/D/I/ADIATHERMANCIES,0.084142
A/D/J/ADJUSTABILITIES,0.009771
A/D/M/ADMINISTRATIONS,0.0
A/D/M/ADMIRABLENESSES,0.051631
A/D/M/ADMISSIBILITIES,0.014849
A/D/R/ADRENALECTOMIES,0.083338
A/D/S/ADSORBABILITIES,0.009775
A/D/V/ADVENTUROUSNESS,0.002885
A/D/V/ADVERSARINESSES,0.055479
A/D/V/ADVISABLENESSES,0.051628
A/E/R/AERODYNAMICALLY,0.006175
A/E/R/AERODYNAMICISTS,0.0
A/E/R/AEROELASTICIANS,0.226448
A/E/R/AEROHYDROPLANES,0.065689
A/E/R/AEROLITHOLOGIES,0.076170
A/E/R/AEROSOLISATIONS,0.0
A/E/R/AEROSOLIZATIONS,0.0
A/F/F/AFFECTABILITIES,0.010105
A/F/F/AFFECTIVENESSES,0.049169
A/F/F/AFFORDABILITIES,0.009775
A/F/F/AFFRANCHISEMENT,0.010856
A/F/T/AFTERSENSATIONS,0.0
A/G/G/AGGLUTINABILITY,0.0
A/G/G/AGGRANDISEMENTS,0.0
A/G/G/AGGRANDIZEMENTS,0.0
A/G/G/AGGREGATENESSES,0.053613
A/G/R/AGRANULOCYTOSES,0.076020
A/G/R/AGRANULOCYTOSIS,0.076020
A/G/R/AGREEABLENESSES,0.051803
A/G/R/AGRIBUSINESSMAN,0.097076
A/G/R/AGRIBUSINESSMEN,0.097076
A/G/R/AGRICULTURALIST,0.0
A/I/R/AIRWORTHINESSES,0.050694
A/L/C/ALCOHOLISATIONS,0.0
A/L/C/ALCOHOLIZATIONS,0.0
A/L/C/ALCOHOLOMETRIES,0.029004
A/L/E/ALEXIPHARMAKONS,0.032575
A/L/G/ALGORITHMICALLY,0.003142
A/L/K/ALKALINISATIONS,0.0
A/L/K/ALKALINIZATIONS,0.0
A/L/L/ALLEGORICALNESS,0.012547
A/L/L/ALLEGORISATIONS,0.0
A/L/L/ALLEGORIZATIONS,0.0
A/L/L/ALLELOMORPHISMS,0.059293
A/L/L/ALLERGENICITIES,0.030281
A/L/L/ALLOTETRAPLOIDS,0.0
A/L/L/ALLOTETRAPLOIDY,0.0
A/L/L/ALLOTRIOMORPHIC,0.305493
A/L/L/ALLOWABLENESSES,0.051617
A/L/P/ALPHABETISATION,0.106085
A/L/P/ALPHABETIZATION,0.0
A/L/T/ALTERNATIVENESS,0.0
A/L/T/ALTITUDINARIANS,0.213581
A/L/U/ALUMINOSILICATE,0.054269
A/L/U/ALUMINOTHERMIES,0.082906
A/M/A/AMARYLLIDACEOUS,0.096464
A/M/B/AMBASSADORSHIPS,0.0
A/M/B/AMBIDEXTERITIES,0.013204
A/M/B/AMBIGUOUSNESSES,0.054195
A/M/B/AMBISEXUALITIES,0.034061
A/M/B/AMBITIOUSNESSES,0.054085
A/M/I/AMINOPEPTIDASES,0.081344
A/M/I/AMINOPHENAZONES,0.074408
A/M/M/AMMONIFICATIONS,0.0
A/M/O/AMORPHOUSNESSES,0.053342
A/M/P/AMPHIDIPLOIDIES,0.029149
A/M/P/AMPHITHEATRICAL,0.183117
A/N/A/ANACOLUTHICALLY,0.001865
A/N/A/ANACREONTICALLY,0.003692
A/N/A/ANAESTHESIOLOGY,0.027590
A/N/A/ANAESTHETICALLY,0.004570
A/N/A/ANAGRAMMATISING,0.0
A/N/A/ANAGRAMMATIZING,0.0
A/N/A/ANALOGOUSNESSES,0.053946
A/N/A/ANALYZABILITIES,0.009661
A/N/A/ANAMORPHOSCOPES,0.090037
A/N/C/ANCYLOSTOMIASES,0.072995
A/N/C/ANCYLOSTOMIASIS,0.072995
A/N/D/ANDROGYNOPHORES,0.057558
A/N/D/ANDROMEDOTOXINS,0.0
A/N/D/ANDROMONOECIOUS,0.091552
A/N/D/ANDROMONOECISMS,0.087903
A/N/E/ANESTHETIZATION,0.0
A/N/F/ANFRACTUOSITIES,0.031466
A/N/G/ANGUSTIROSTRATE,0.0
A/N/I/ANIMATRONICALLY,0.006390
A/N/I/ANISOTROPICALLY,0.005124
A/N/K/ANKYLOSTOMIASES,0.072995
A/N/K/ANKYLOSTOMIASIS,0.072995
A/N/N/ANNIHILATIONISM,0.053949
A/N/O/ANOMALISTICALLY,0.005759
A/N/O/ANOMALOUSNESSES,0.054604
A/N/O/ANONYMOUSNESSES,0.053978
A/N/S/ANSWERABILITIES,0.009947
A/N/T/ANTAGONISATIONS,0.0
A/N/T/ANTAGONIZATIONS,0.0
A/N/T/ANTAPHRODISIACS,0.320404
A/N/T/ANTEPENULTIMATE,0.054354
A/N/T/ANTHROPOBIOLOGY,0.036181
A/N/T/ANTHROPOCENTRIC,0.329796
A/N/T/ANTHROPOGENESES,0.073875
A/N/T/ANTHROPOGENESIS,0.073875
A/N/T/ANTHROPOGENETIC,0.353892
A/N/T/ANTHROPOLATRIES,0.028807
A/N/T/ANTHROPOLOGICAL,0.181341
A/N/T/ANTHROPOLOGISTS,0.0
A/N/T/ANTHROPOMETRIES,0.028694
A/N/T/ANTHROPOMETRIST,0.026063
A/N/T/ANTHROPOMORPHIC,0.306160
A/N/T/ANTHROPOPATHIES,0.028441
A/N/T/ANTHROPOPATHISM,0.052732
A/N/T/ANTHROPOPHAGIES,0.015239
A/N/T/ANTHROPOPHAGITE,0.0
A/N/T/ANTHROPOPHAGOUS,0.003683
A/N/T/ANTHROPOPHOBIAS,0.020554
A/N/T/ANTHROPOPHOBICS,0.020554
A/N/T/ANTHROPOPHUISMS,0.064415
A/N/T/ANTHROPOPSYCHIC,0.369855
A/N/T/ANTHROPOSOPHIES,0.029112
A/N/T/ANTHROPOSOPHIST,0.026481
A/N/T/ANTIABORTIONIST,0.025622
A/N/T/ANTIALCOHOLISMS,0.073811
A/N/T/ANTIAPHRODISIAC,0.354156
A/N/T/ANTIARRHYTHMICS,0.073302
A/N/T/ANTICAPITALISMS,0.073510
A/N/T/ANTICAPITALISTS,0.0
A/N/T/ANTICARCINOGENS,0.0
A/N/T/ANTICHOLESTEROL,0.097734
A/N/T/ANTICHOLINERGIC,0.280809
A/N/T/ANTICHRISTIANLY,0.0
A/N/T/ANTICLERICALISM,0.113163
A/N/T/ANTICLIMACTICAL,0.190844
A/N/T/ANTICOINCIDENCE,0.230517
A/N/T/ANTICOLONIALISM,0.117666
A/N/T/ANTICOLONIALIST,0.090743
A/N/T/ANTICOMPETITIVE,0.0
A/N/T/ANTICONVULSANTS,0.0
A/N/T/ANTICONVULSIVES,0.060777
A/N/T/ANTIDEPRESSANTS,0.0
A/N/T/ANTIDERIVATIVES,0.069180
A/N/T/ANTIDEVELOPMENT,0.008194
A/N/T/ANTIEDUCATIONAL,0.111990
A/N/T/ANTIEGALITARIAN,0.0
A/N/T/ANTIFASHIONABLE,0.0
A/N/T/ANTIFEDERALISTS,0.0
A/N/T/ANTIFERROMAGNET,0.135452
A/N/T/ANTIFORECLOSURE,0.0
A/N/T/ANTIHELMINTHICS,0.022845
A/N/T/ANTIHISTAMINICS,0.014067
A/N/T/ANTILIBERALISMS,0.075309
A/N/T/ANTILIBERTARIAN,0.0
A/N/T/ANTILOGARITHMIC,0.318442
A/N/T/ANTIMATERIALISM,0.116931
A/N/T/ANTIMATERIALIST,0.090007
A/N/T/ANTIMETABOLITES,0.080373
A/N/T/ANTIMILITARISMS,0.071422
A/N/T/ANTIMILITARISTS,0.0
A/N/T/ANTIMONARCHICAL,0.179844
A/N/T/ANTIMONARCHISTS,0.0
A/N/T/ANTIMONOPOLISTS,0.0
A/N/T/ANTINATIONALIST,0.0
A/N/T/ANTINUCLEARISTS,0.0
A/N/T/ANTIODONTALGICS,0.086050
A/N/T/ANTIPERISTALSES,0.0
A/N/T/ANTIPERISTALSIS,0.0
A/N/T/ANTIPERISTALTIC,0.253987
A/N/T/ANTIPERSPIRANTS,0.0
A/N/T/ANTIPHLOGISTICS,0.029505
A/N/T/ANTIPORNOGRAPHY,0.0
A/N/T/ANTIPROGRESSIVE,0.0
A/N/T/ANTIQUARIANISMS,0.073831
A/N/T/ANTIRADICALISMS,0.079016
A/N/T/ANTIRATIONALISM,0.0
A/N/T/ANTIRATIONALIST,0.0
A/N/T/ANTIRATIONALITY,0.0
A/N/T/ANTIREPUBLICANS,0.208997
A/N/T/ANTIROMANTICISM,0.099974
A/N/T/ANTISEGREGATION,0.107340
A/N/T/ANTISENTIMENTAL,0.082289
A/N/T/ANTISEPARATISTS,0.0
A/N/T/ANTISEPTICISING,0.0
A/N/T/ANTISEPTICIZING,0.0
A/N/T/ANTISEXUALITIES,0.034061
A/N/T/ANTISHOPLIFTING,0.0
