id,weight
East Asia & Pacific/Brunei Darussalam,8203.100000
East Asia & Pacific/Cambodia,5012.800000
East Asia & Pacific/China,8767877.700000
East Asia & Pacific/Fiji,1598.800000
East Asia & Pacific/French Polynesia,858.100000
East Asia & Pacific/Hong Kong SAR China,40758.700000
East Asia & Pacific/Indonesia,428760.300000
East Asia & Pacific/Japan,1171841.200000
East Asia & Pacific/Kiribati,62.300000
East Asia & Pacific/Korea Dem. People’s Rep.,66600.100000
East Asia & Pacific/Korea Rep.,566716.500000
East Asia & Pacific/Lao PDR,1639.100000
East Asia & Pacific/Macao SAR China,1983.800000
East Asia & Pacific/Malaysia,218476.200000
East Asia & Pacific/Marshall Islands,102.700000
East Asia & Pacific/Micronesia Fed. Sts.,121.000000
East Asia & Pacific/Mongolia,24660.600000
East Asia & Pacific/Myanmar,12515.500000
East Asia & Pacific/Nauru,44.000000
East Asia & Pacific/New Caledonia,3542.300000
East Asia & Pacific/New Zealand,31778.200000
East Asia & Pacific/Palau,216.400000
East Asia & Pacific/Papua New Guinea,4664.400000
East Asia & Pacific/Philippines,84920.400000
East Asia & Pacific/Samoa,205.400000
East Asia & Pacific/Singapore,43945.300000
East Asia & Pacific/Solomon Islands,194.400000
East Asia & Pacific/Thailand,288589.200000
East Asia & Pacific/Timor-Leste,234.700000
East Asia & Pacific/Tonga,117.300000
East Asia & Pacific/Vanuatu,121.000000
East Asia & Pacific/Vietnam,147340.100000
Europe & Central Asia/Albania,4598.400000
Europe & Central Asia/Andorra,517.000000
Europe & Central Asia/Armenia,4217.100000
Europe & Central Asia/Austria,67832.200000
Europe & Central Asia/Azerbaijan,30678.100000
Europe & Central Asia/Belarus,62658.000000
Europe & Central Asia/Belgium,107751.100000
Europe & Central Asia/Bosnia and Herzegovina,21275.900000
Europe & Central Asia/Bulgaria,44117.700000
Europe & Central Asia/Croatia,20443.500000
Europe & Central Asia/Cyprus,7708.000000
Europe & Central Asia/Czech Republic,111579.500000
Europe & Central Asia/Denmark,46640.600000
Europe & Central Asia/Estonia,18107.600000
Europe & Central Asia/Faroe Islands,630.700000
Europe & Central Asia/Finland,61910.000000
Europe & Central Asia/France,352769.100000
Europe & Central Asia/Georgia,5555.500000
Europe & Central Asia/Germany,758537.300000
Europe & Central Asia/Gibraltar,465.700000
Europe & Central Asia/Greece,83490.300000
Europe & Central Asia/Greenland,663.700000
Europe & Central Asia/Hungary,50215.900000
Europe & Central Asia/Iceland,1961.800000
Europe & Central Asia/Ireland,40241.700000
Europe & Central Asia/Italy,405361.200000
Europe & Central Asia/Kazakhstan,246620.400000
