id,weight
AustraliaandNewZealand/NZL,38490058.000000
Asia/EasternAsia/CHN,50907776.000000
Asia/EasternAsia/JPN,1152704657.000000
Asia/EasternAsia/KOR,276283625.000000
Europe/EasternEurope/BGR,78165522.000000
Europe/EasternEurope/CZE,134576619.000000
Europe/EasternEurope/HUN,89392000.000000
Europe/EasternEurope/POL,334363694.000000
Europe/EasternEurope/ROU,132065886.000000
Europe/EasternEurope/RUS,247563740.000000
Europe/EasternEurope/SVK,153949623.000000
Europe/EasternEurope/UKR,70017255.000000
Africa/NorthernAfrica/DZA,232196936.000000
Africa/NorthernAfrica/EGY,54924684.000000
Africa/NorthernAfrica/MAR,76572934.000000
Africa/NorthernAfrica/TUN,27098763.000000
America/NorthernAmerica/CAN,782559393.000000
America/NorthernAmerica/MEX,15466233.000000
America/NorthernAmerica/USA,3872301444.000000
Europe/NorthernEurope/DNK,164006816.000000
Europe/NorthernEurope/EST,60331747.000000
Europe/NorthernEurope/FIN,224558356.000000
Europe/NorthernEurope/IRL,37397207.000000
Europe/NorthernEurope/LVA,28222554.000000
Europe/NorthernEurope/LTU,71480145.000000
Europe/NorthernEurope/NOR,134591296.000000
Europe/NorthernEurope/SWE,366142760.000000
Europe/NorthernEurope/GBR,603373737.000000
Asia/SouthEasternAsia/IDN,25012042.000000
Asia/SouthEasternAsia/MYS,74687474.000000
Asia/SouthEasternAsia/PHL,47159194.000000
Asia/SouthEasternAsia/SGP,44193116.000000
Asia/SouthEasternAsia/THA,11445469.000000
America/SouthernAmerica/ARG,64912790.000000
America/SouthernAmerica/CHL,31509551.000000
America/SouthernAmerica/COL,83497995.000000
Europe/SouthernEurope/HRV,56318959.000000
Europe/SouthernEurope/GRC,152309981.000000
Europe/SouthernEurope/ITA,1229741926.000000
Europe/SouthernEurope/PRT,202604030.000000
Europe/SouthernEurope/SVN,35557349.000000
Europe/SouthernEurope/ESP,645537935.000000
Asia/WesternAsia/IND,53952524.000000
Asia/WesternAsia/TUR,44183312.000000
Europe/WesternEurope/AUS,351801734.000000
Europe/WesternEurope/FRA,1439363944.000000
Europe/WesternEurope/DEU,2861799000.000000
Europe/WesternEurope/NLD,500056491.000000
Europe/WesternEurope/CHE,419726252.000000
