id,weight
South Asia/Afghanistan,11.258279
South Asia/Bangladesh,9.662716
South Asia/Bhutan,0.000000
South Asia/India,3.250470
South Asia/Maldives,0.000000
South Asia/Nepal,7.765084
South Asia/Pakistan,0.000000
South Asia/Sri Lanka,25.903018
Europe and Central Asia/Albania,0.000000
Europe and Central Asia/Andorra,0.000000
Europe and Central Asia/Armenia,0.000000
Europe and Central Asia/Austria,23.770293
Europe and Central Asia/Azerbaijan,0.000000
Europe and Central Asia/Belarus,0.000000
Europe and Central Asia/Belgium,41.983271
Europe and Central Asia/Bosnia and Herzegovina,0.000000
Europe and Central Asia/Bulgaria,0.000000
Europe and Central Asia/Channel Islands,0.000000
Europe and Central Asia/Croatia,0.000000
Europe and Central Asia/Cyprus,0.000000
Europe and Central Asia/Czech Republic,0.000000
Europe and Central Asia/Denmark,29.297128
Europe and Central Asia/Estonia,0.000000
Europe and Central Asia/Faroe Islands,0.000000
Europe and Central Asia/Finland,19.011731
Europe and Central Asia/France,13.229221
Europe and Central Asia/Georgia,0.000000
Europe and Central Asia/Germany,0.000000
Europe and Central Asia/Gibraltar,0.000000
Europe and Central Asia/Greece,8.363509
Europe and Central Asia/Greenland,0.000000
Europe and Central Asia/Hungary,0.000000
Europe and Central Asia/Iceland,36.235040
Europe and Central Asia/Ireland,32.282568
Europe and Central Asia/Isle of Man,0.000000
Europe and Central Asia/Italy,14.289182
Europe and Central Asia/Kazakhstan,0.000000
Europe and Central Asia/Kosovo,0.000000
Europe and Central Asia/Kyrgyz Republic,0.000000
Europe and Central Asia/Latvia,0.000000
Europe and Central Asia/Liechtenstein,0.000000
Europe and Central Asia/Lithuania,0.000000
Europe and Central Asia/Luxembourg,83.001368
Europe and Central Asia/Macedonia,0.000000
Europe and Central Asia/Moldova,0.000000
Europe and Central Asia/Monaco,0.000000
Europe and Central Asia/Montenegro,0.000000
Europe and Central Asia/Netherlands,42.810787
Europe and Central Asia/Norway,35.718874
Europe and Central Asia/Poland,0.000000
Europe and Central Asia/Portugal,22.434741
Europe and Central Asia/Romania,0.000000
Europe and Central Asia/Russian Federation,0.000000
Europe and Central Asia/San Marino,0.000000
Europe and Central Asia/Serbia,0.000000
Europe and Central Asia/Slovak Republic,0.000000
Europe and Central Asia/Slovenia,0.000000
Europe and Central Asia/Spain,8.193160
Europe and Central Asia/Sweden,21.856576
Europe and Central Asia/Switzerland,27.511046
Europe and Central Asia/Tajikistan,0.000000
Europe and Central Asia/Turkey,4.558140
Europe and Central Asia/Turkmenistan,0.000000
Europe and Central Asia/Ukraine,0.000000
Europe and Central Asia/United Kingdom,18.512042
Europe and Central Asia/Uzbekistan,0.000000
Middle East and North Africa/Algeria,22.603944
Middle East and North Africa/Bahrain,0.000000
Middle East and North Africa/Djibouti,0.000000
Middle East and North Africa/Egypt,17.537711
Middle East and North Africa/Iran,16.150275
Middle East and North Africa/Iraq,0.000000
Middle East and North Africa/Israel,18.853503
Middle East and North Africa/Jordan,0.000000
Middle East and North Africa/Kuwait,67.690254
Middle East and North Africa/Lebanon,0.000000
Middle East and North Africa/Libya,0.000000
Middle East and North Africa/Malta,0.000000
Middle East and North Africa/Morocco,18.163539
Middle East and North Africa/Oman,0.000000
Middle East and North Africa/Qatar,0.000000
Middle East and North Africa/Saudi Arabia,0.000000
Middle East and North Africa/Syrian Arab Republic,17.040071
Middle East and North Africa/Tunisia,19.046704
Middle East and North Africa/United Arab Emirates,0.000000
Middle East and North Africa/West Bank and Gaza,0.000000
Middle East and North Africa/Yemen,0.000000
East Asia and Pacific/American Samoa,0.000000
East Asia and Pacific/Australia,13.223033
East Asia and Pacific/Brunei Darussalam,0.000000
East Asia and Pacific/Cambodia,11.513158
East Asia and Pacific/China,3.638985
East Asia and Pacific/Fiji,46.318493
East Asia and Pacific/French Polynesia,0.000000
East Asia and Pacific/Guam,0.000000
East Asia and Pacific/Hong Kong,68.823909
East Asia and Pacific/Indonesia,5.832982
East Asia and Pacific/Japan,10.517673
East Asia and Pacific/Kiribati,0.000000
East Asia and Pacific/Korea,0.000000
East Asia and Pacific/Rep. Korea,8.302011
East Asia and Pacific/Lao PDR,0.000000
East Asia and Pacific/China - Macao,0.000000
East Asia and Pacific/Malaysia,45.102830
East Asia and Pacific/Marshall Islands,0.000000
East Asia and Pacific/Micronesia,0.000000
East Asia and Pacific/Mongolia,0.000000
East Asia and Pacific/Myanmar,0.000000
East Asia and Pacific/Nauru,0.000000
East Asia and Pacific/New Caledonia,0.000000
East Asia and Pacific/New Zealand,0.000000
East Asia and Pacific/Northern Mariana Islands,0.000000
East Asia and Pacific/Palau,0.000000
East Asia and Pacific/Papua New Guinea,18.027986
East Asia and Pacific/Philippines,19.383649
East Asia and Pacific/Samoa,0.000000
East Asia and Pacific/Singapore,123.294883
East Asia and Pacific/Solomon Islands,0.000000
East Asia and Pacific/Thailand,16.855095
East Asia and Pacific/Timor-Leste,0.000000
East Asia and Pacific/Tonga,0.000000
East Asia and Pacific/Tuvalu,0.000000
East Asia and Pacific/Vanuatu,0.000000
East Asia and Pacific/Vietnam,0.000000
Sub-Saharan Africa/Angola,0.000000
Sub-Saharan Africa/Benin,7.267563
Sub-Saharan Africa/Botswana,31.707317
Sub-Saharan Africa/Burkina Faso,4.652597
Sub-Saharan Africa/Burundi,10.347964
Sub-Saharan Africa/Cabo Verde,0.000000
Sub-Saharan Africa/Cameroon,23.759392
Sub-Saharan Africa/Central African Republic,27.100268
Sub-Saharan Africa/Chad,13.500255
Sub-Saharan Africa/Comoros,0.000000
Sub-Saharan Africa/Dem. Rep. Congo,25.923059
Sub-Saharan Africa/Rep. Congo,36.008223
Sub-Saharan Africa/Cote d'Ivoire,36.823411
Sub-Saharan Africa/Equatorial Guinea,42.111766
Sub-Saharan Africa/Eritrea,0.000000
Sub-Saharan Africa/Ethiopia,0.000000
Sub-Saharan Africa/Gabon,43.243243
Sub-Saharan Africa/Gambia,0.000000
Sub-Saharan Africa/Ghana,17.121419
Sub-Saharan Africa/Guinea,0.000000
Sub-Saharan Africa/Guinea-Bissau,0.000000
Sub-Saharan Africa/Kenya,31.397315
Sub-Saharan Africa/Lesotho,15.561224
Sub-Saharan Africa/Liberia,62.897800
Sub-Saharan Africa/Madagascar,13.211704
Sub-Saharan Africa/Malawi,19.463087
Sub-Saharan Africa/Mali,0.000000
Sub-Saharan Africa/Mauritania,42.194995
Sub-Saharan Africa/Mauritius,0.000000
Sub-Saharan Africa/Mozambique,0.000000
Sub-Saharan Africa/Namibia,0.000000
Sub-Saharan Africa/Niger,9.484851
Sub-Saharan Africa/Nigeria,10.893449
Sub-Saharan Africa/Rwanda,12.096776
Sub-Saharan Africa/Sao Tome and Principe,0.000000
Sub-Saharan Africa/Senegal,17.533291
Sub-Saharan Africa/Seychelles,0.000000
Sub-Saharan Africa/Sierra Leone,28.866381
Sub-Saharan Africa/Somalia,17.152059
Sub-Saharan Africa/South Africa,26.479195
Sub-Saharan Africa/South Sudan,0.000000
Sub-Saharan Africa/Sudan,14.231838
Sub-Saharan Africa/Swaziland,65.936255
Sub-Saharan Africa/Tanzania,0.000000
Sub-Saharan Africa/Togo,31.981926
Sub-Saharan Africa/Uganda,25.577714
Sub-Saharan Africa/Zambia,0.000000
Sub-Saharan Africa/Zimbabwe,0.000000
 Latin America & Caribbean/Antigua and Barbuda,0.000000
 Latin America & Caribbean/Argentina,6.225874
 Latin America & Caribbean/Aruba,0.000000
 Latin America & Caribbean/Bahamas,0.000000
 Latin America & Caribbean/Barbados,0.000000
 Latin America & Caribbean/Belize,0.000000
 Latin America & Caribbean/Bolivia,16.670634
 Latin America & Caribbean/Brazil,7.735761
 Latin America & Caribbean/British Virgin Islands,0.000000
 Latin America & Caribbean/Cayman Islands,0.000000
 Latin America & Caribbean/Chile,13.605442
 Latin America & Caribbean/Colombia,11.420681
 Latin America & Caribbean/Costa Rica,23.469516
 Latin America & Caribbean/Cuba,0.000000
 Latin America & Caribbean/Curacao,0.000000
 Latin America & Caribbean/Dominica,0.000000
 Latin America & Caribbean/Dominican Republic,16.304470
 Latin America & Caribbean/Ecuador,8.979657
 Latin America & Caribbean/El Salvador,26.386547
 Latin America & Caribbean/Grenada,0.000000
 Latin America & Caribbean/Guatemala,16.786842
 Latin America & Caribbean/Guyana,55.255172
 Latin America & Caribbean/Haiti,0.000000
 Latin America & Caribbean/Honduras,27.268259
 Latin America & Caribbean/Jamaica,33.280530
 Latin America & Caribbean/Mexico,7.637847
 Latin America & Caribbean/Nicaragua,29.300519
 Latin America & Caribbean/Panama,54.438345
 Latin America & Caribbean/Paraguay,0.000000
 Latin America & Caribbean/Peru,15.670657
 Latin America & Caribbean/Puerto Rico,43.692523
 Latin America & Caribbean/Sint Maarten (Dutch part),0.000000
 Latin America & Caribbean/St. Kitts and Nevis,0.000000
 Latin America & Caribbean/St. Lucia,0.000000
 Latin America & Caribbean/St. Martin (French part),0.000000
 Latin America & Caribbean/St. Vincent and the Grenadines,0.000000
 Latin America & Caribbean/Suriname,49.657411
 Latin America & Caribbean/Trinidad and Tobago,64.552150
 Latin America & Caribbean/Turks and Caicos Islands,0.000000
 Latin America & Caribbean/Uruguay,18.397086
 Latin America & Caribbean/Venezuela,25.815118
 Latin America & Caribbean/Virgin Islands (U.S.),0.000000
North America/Bermuda,0.000000
North America/Canada,18.536108
North America/United States,4.988571
