id,weight
Afghanistan,255
Algeria,120
Angola,11847
Argentina,1420
Armenia,166
Azerbaijan,231
Bangladesh,489
Belarus,959
Belize,106
Benin,1994
Bolivia (Plurinational State of),636
Botswana,8487
Burkina Faso,5754
Burundi,7203
Cambodia,3420
Cameroon,30070
Cape Verde,86
Central African Republic,10557
Chad,10514
Chile,549
Colombia,7916
Congo,5377
Costa Rica,125
Côte d'Ivoire,24931
Cuba,138
Democratic Republic of the Congo,30986
Denmark,72
Djibouti,775
Dominican Republic,4252
Ecuador,1285
Egypt,182
El Salvador,403
Equatorial Guinea,884
Eritrea,1019
Ethiopia,41106
Fiji,15
Gabon,2852
Gambia,1079
Georgia,81
Ghana,16016
Guatemala,878
Guinea,5222
Guinea-Bissau,1572
Guyana,90
Haiti,6568
Honduras,1621
Indonesia,14934
Iran (Islamic Republic of),2916
Ireland,55
Jamaica,1669
Kazakhstan,653
Kenya,58435
Kyrgyzstan,187
Lao People's Democratic Republic,305
Lebanon,48
Lesotho,10657
Liberia,2714
Madagascar,3445
Malawi,56615
Malaysia,9629
Mali,4990
Mauritania,941
Mauritius,644
Mexico,12019
Morocco,964
Mozambique,56020
Myanmar,14387
Namibia,4610
Nepal,3101
Nicaragua,530
Niger,5153
Nigeria,175679
Norway,23
Oman,40
Pakistan,1056
Panama,988
Papua New Guinea,1408
Paraguay,177
Peru,3819
Philippines,283
Republic of Moldova,707
Rwanda,7722
Sao Tome and Principe,71
Senegal,2087
Sierra Leone,2903
Slovakia,4
Slovenia,6
Somalia,2350
South Africa,326357
South Sudan,10240
Sri Lanka,64
Sudan,1893
Suriname,137
Swaziland,5997
Sweden,51
Syrian Arab Republic,37
Tajikistan,724
Thailand,25250
Togo,7057
Tunisia,29
Uganda,52799
United Republic of Tanzania,77096
Uruguay,799
Uzbekistan,2565
Viet Nam,9488
Yemen,230
Zambia,26777
Zimbabwe,78157
