id,weight
South Asia/Afghanistan,0.000000
South Asia/Bangladesh,10.864634
South Asia/Bhutan,37.768936
South Asia/India,10.657076
South Asia/Maldives,92.657737
South Asia/Nepal,24.973159
South Asia/Pakistan,16.709970
South Asia/Sri Lanka,35.597629
Europe and Central Asia/Albania,12.475374
Europe and Central Asia/Andorra,0.000000
Europe and Central Asia/Armenia,23.927921
Europe and Central Asia/Austria,33.614117
Europe and Central Asia/Azerbaijan,27.900867
Europe and Central Asia/Belarus,49.665328
Europe and Central Asia/Belgium,59.487666
Europe and Central Asia/Bosnia and Herzegovina,20.411739
Europe and Central Asia/Bulgaria,51.921031
Europe and Central Asia/Channel Islands,0.000000
Europe and Central Asia/Croatia,27.611764
Europe and Central Asia/Cyprus,66.761891
Europe and Central Asia/Czech Republic,40.561478
Europe and Central Asia/Denmark,36.666014
Europe and Central Asia/Estonia,67.849870
Europe and Central Asia/Faroe Islands,0.000000
Europe and Central Asia/Finland,35.762409
Europe and Central Asia/France,22.405910
Europe and Central Asia/Georgia,25.501896
Europe and Central Asia/Germany,22.006446
Europe and Central Asia/Gibraltar,0.000000
Europe and Central Asia/Greece,14.425283
Europe and Central Asia/Greenland,0.000000
Europe and Central Asia/Hungary,39.258691
Europe and Central Asia/Iceland,34.719208
Europe and Central Asia/Ireland,73.447326
Europe and Central Asia/Isle of Man,0.000000
Europe and Central Asia/Italy,24.749474
Europe and Central Asia/Kazakhstan,38.973861
Europe and Central Asia/Kosovo,0.000000
Europe and Central Asia/Kyrgyz Republic,29.467145
Europe and Central Asia/Latvia,34.567055
Europe and Central Asia/Liechtenstein,0.000000
Europe and Central Asia/Lithuania,37.144616
Europe and Central Asia/Luxembourg,113.245661
Europe and Central Asia/Macedonia,33.011210
Europe and Central Asia/Moldova,49.345825
Europe and Central Asia/Monaco,0.000000
Europe and Central Asia/Montenegro,0.000000
Europe and Central Asia/Netherlands,57.610937
Europe and Central Asia/Norway,37.183166
Europe and Central Asia/Poland,22.960517
Europe and Central Asia/Portugal,26.765554
Europe and Central Asia/Romania,25.475727
Europe and Central Asia/Russian Federation,29.289464
Europe and Central Asia/San Marino,0.000000
Europe and Central Asia/Serbia,8.107429
Europe and Central Asia/Slovak Republic,56.684912
Europe and Central Asia/Slovenia,45.606781
Europe and Central Asia/Spain,21.931828
Europe and Central Asia/Sweden,38.002890
Europe and Central Asia/Switzerland,40.783279
Europe and Central Asia/Tajikistan,65.585444
Europe and Central Asia/Turkey,19.891608
Europe and Central Asia/Turkmenistan,83.972929
Europe and Central Asia/Ukraine,47.073249
Europe and Central Asia/United Kingdom,25.432381
Europe and Central Asia/Uzbekistan,36.683076
Middle East and North Africa/Algeria,26.194776
Middle East and North Africa/Bahrain,81.990547
Middle East and North Africa/Djibouti,39.144886
Middle East and North Africa/Egypt,22.549020
Middle East and North Africa/Iran,21.676241
Middle East and North Africa/Iraq,0.005377
Middle East and North Africa/Israel,27.580422
Middle East and North Africa/Jordan,51.722369
Middle East and North Africa/Kuwait,52.353956
Middle East and North Africa/Lebanon,10.806455
Middle East and North Africa/Libya,29.176030
Middle East and North Africa/Malta,122.272888
Middle East and North Africa/Morocco,22.673221
Middle East and North Africa/Oman,44.035349
Middle East and North Africa/Qatar,44.338668
Middle East and North Africa/Saudi Arabia,37.569915
