id,weight
Afghanistan,345
Algeria,186
Angola,11770
Argentina,1542
Armenia,171
Azerbaijan,372
Bangladesh,738
Belarus,1032
Belize,63
Benin,2408
Bolivia (Plurinational State of),711
Botswana,5139
Burkina Faso,3805
Burundi,3862
Cambodia,2606
Cameroon,34158
Cape Verde,98
Central African Republic,9857
Chad,11733
Chile,666
Colombia,4694
Congo,4438
Costa Rica,170
Côte d'Ivoire,21795
Cuba,121
Democratic Republic of the Congo,24108
Denmark,57
Djibouti,643
Dominican Republic,3099
Ecuador,1210
Egypt,274
El Salvador,392
Equatorial Guinea,837
Eritrea,658
Ethiopia,23375
Fiji,14
Gabon,1454
Gambia,946
Georgia,98
Ghana,9248
Guatemala,1707
Guinea,3791
Guinea-Bissau,1877
Guyana,118
Haiti,3816
Honduras,1162
Indonesia,33697
Iran (Islamic Republic of),4083
Ireland,66
Jamaica,1265
Kazakhstan,532
Kenya,32985
Kyrgyzstan,371
Lao People's Democratic Republic,490
Lebanon,45
Lesotho,9323
Liberia,1968
Madagascar,3195
Malawi,32603
Malaysia,9002
Mali,5309
Mauritania,1082
Mauritius,496
Mexico,5961
Morocco,1097
Mozambique,44917
Myanmar,10098
Namibia,5083
Nepal,2576
Nicaragua,378
Niger,3376
Nigeria,174253
Norway,28
Oman,48
Pakistan,2787
Panama,603
Papua New Guinea,900
Paraguay,397
Peru,2533
Philippines,493
Republic of Moldova,777
Rwanda,3048
Sao Tome and Principe,52
Senegal,2369
Sierra Leone,2666
Slovakia,8
Slovenia,10
Somalia,2370
South Africa,138379
South Sudan,12740
Sri Lanka,112
Sudan,2906
Suriname,159
Swaziland,3521
Sweden,70
Syrian Arab Republic,39
Tajikistan,717
Thailand,19390
Togo,4333
Tunisia,79
Uganda,32890
United Republic of Tanzania,46065
Uruguay,583
Uzbekistan,2156
Viet Nam,10648
Yemen,287
Zambia,18882
Zimbabwe,38616
