id,weight
Anne,968.000000
Anouk,870.000000
Bas,655.000000
Bram,764.000000
Charlotte,414.000000
Cornelis,383.000000
Daan,986.000000
Daniël,577.000000
David,450.000000
Eline,461.000000
Eva,715.000000
Femke,695.000000
Ilse,611.000000
Iris,895.000000
Jan,660.000000
Jasper,529.000000
Jelle,579.000000
Johanna,466.000000
Johannes,646.000000
Koen,532.000000
Lars,876.000000
Lieke,349.000000
Lisa,1028.000000
Lotte,755.000000
Maria,520.000000
Merel,553.000000
Mohamed,351.000000
Naomi,633.000000
Nick,809.000000
Niels,879.000000
Nikki,306.000000
Pieter,448.000000
Robin,1003.000000
Ruben,652.000000
Sanne,1093.000000
Sophie,539.000000
Sven,525.000000
Tessa,563.000000
Thijs,633.000000
Thomas,1195.000000
Tim,1110.000000
Tom,808.000000
Willem,476.000000
Emma,755.000000
Joris,276.000000
Nina,550.000000
Amber,864.000000
Jesse,723.000000
Luuk,613.000000
Max,1157.000000
Sarah,359.000000
Vera,357.000000
Fleur,1023.000000
Lucas,489.000000
Dylan,554.000000
Julia,767.000000
Stijn,653.000000
Floris,306.000000
Gijs,435.000000
Maud,390.000000
Roos,322.000000
