dataset,technique,revision,nCells,avgAR,avgMov
AudioKit,nmac,0,63,0.469553,0.000000
AudioKit,nmac,1,247,0.369811,243.493445
AudioKit,nmac,2,423,0.352110,188.942369
AudioKit,nmac,3,494,0.387481,153.608211
AudioKit,nmac,4,469,0.383241,148.892684
AudioKit,nmac,5,469,0.383240,0.007562
AudioKit,nmac,6,469,0.383240,0.000000
AudioKit,nmac,7,485,0.361030,24.207643
AudioKit,nmac,8,488,0.373542,4.173712
AudioKit,nmac,9,489,0.371971,2.090258
AudioKit,nmac,10,492,0.384290,10.430894
AudioKit,nmac,11,692,0.331209,71.597586
AudioKit,nmac,12,742,0.362210,20.738121
AudioKit,nmac,13,755,0.358695,16.938310
AudioKit,nmac,14,755,0.358761,0.150251
AudioKit,nmac,15,763,0.350773,2.531611
AudioKit,nmac,16,799,0.361317,21.184812
AudioKit,nmac,17,800,0.367533,20.933993
AudioKit,nmac,18,800,0.371351,5.710666
AudioKit,nmac,19,807,0.369183,7.099628
AudioKit,nmac,20,845,0.392027,96.015143
AudioKit,nmac,21,848,0.390594,0.342042
