dataset,technique,revision,nCells,avgAR,avgMov
PhysicsJS,nmac,0,21,0.396399,0.000000
PhysicsJS,nmac,1,56,0.425171,116.613556
PhysicsJS,nmac,2,101,0.370203,108.319835
PhysicsJS,nmac,3,102,0.371241,4.930023
PhysicsJS,nmac,4,106,0.402484,60.998499
PhysicsJS,nmac,5,106,0.402484,0.000000
PhysicsJS,nmac,6,142,0.382403,118.296839
PhysicsJS,nmac,7,148,0.377662,15.872856
PhysicsJS,nmac,8,159,0.371351,53.478169
PhysicsJS,nmac,9,153,0.367274,7.734241
PhysicsJS,nmac,10,163,0.404967,127.820307
PhysicsJS,nmac,11,136,0.419965,57.891609
PhysicsJS,nmac,12,136,0.419787,0.098948
PhysicsJS,nmac,13,136,0.419745,0.026113
PhysicsJS,nmac,14,136,0.419743,0.005549
PhysicsJS,nmac,15,136,0.418956,0.610192
PhysicsJS,nmac,16,139,0.417505,90.390136
PhysicsJS,nmac,17,149,0.443515,77.199250
PhysicsJS,nmac,18,155,0.430417,39.818251
PhysicsJS,nmac,19,155,0.430417,0.000000
