dataset,technique,revision,nCells,avgAR,avgMov
bdb,nmac,0,9,0.449688,0.000000
bdb,nmac,1,9,0.321815,17.881759
bdb,nmac,2,9,0.314348,8.995670
bdb,nmac,3,9,0.311279,6.295793
bdb,nmac,4,9,0.311326,2.239793
bdb,nmac,5,11,0.329167,85.689102
bdb,nmac,6,12,0.332439,15.796523
bdb,nmac,7,16,0.278326,78.669802
bdb,nmac,8,18,0.271541,173.404640
bdb,nmac,9,18,0.283816,7.790449
bdb,nmac,10,18,0.286464,1.522995
bdb,nmac,11,18,0.292289,7.142382
bdb,nmac,12,18,0.294193,0.776962
bdb,nmac,13,18,0.296292,1.447986
bdb,nmac,14,18,0.298525,1.186486
bdb,nmac,15,18,0.301383,1.954902
bdb,nmac,16,19,0.293616,7.059270
bdb,nmac,17,19,0.293176,0.354986
bdb,nmac,18,19,0.292550,0.512464
bdb,nmac,19,19,0.294619,1.069352
bdb,nmac,20,19,0.294515,0.813133
bdb,nmac,21,19,0.292893,2.541091
bdb,nmac,22,19,0.295789,1.964665
bdb,nmac,23,19,0.270107,57.428227
bdb,nmac,24,19,0.270295,1.531449
bdb,nmac,25,25,0.219883,34.426028
bdb,nmac,26,25,0.222822,2.580027
bdb,nmac,27,26,0.223521,13.045622
bdb,nmac,28,26,0.212800,28.960739
bdb,nmac,29,26,0.212738,1.542890
bdb,nmac,30,25,0.225563,34.921620
bdb,nmac,31,25,0.225393,0.530770
bdb,nmac,32,103,0.333675,150.135120
bdb,nmac,33,103,0.333282,0.420178
bdb,nmac,34,103,0.332902,1.643715
bdb,nmac,35,103,0.332951,1.165001
bdb,nmac,36,103,0.332692,0.678217
bdb,nmac,37,104,0.330436,6.702058
bdb,nmac,38,104,0.330425,0.348992
bdb,nmac,39,104,0.330425,0.020522
bdb,nmac,40,105,0.327285,6.349081
bdb,nmac,41,105,0.325631,9.972026
bdb,nmac,42,105,0.325022,0.950011
bdb,nmac,43,105,0.325145,0.072164
bdb,nmac,44,105,0.325144,0.017119
bdb,nmac,45,105,0.324379,2.319887
bdb,nmac,46,105,0.324420,0.049635
bdb,nmac,47,105,0.326442,0.823572
bdb,nmac,48,106,0.328169,4.356417
bdb,nmac,49,106,0.328128,0.567161
bdb,nmac,50,106,0.334363,3.748932
bdb,nmac,51,106,0.329001,2.450106
bdb,nmac,52,106,0.329081,0.203376
bdb,nmac,53,106,0.329030,0.098118
bdb,nmac,54,105,0.331606,1.590743
bdb,nmac,55,105,0.332101,1.645769
bdb,nmac,56,105,0.332215,0.503730
bdb,nmac,57,105,0.332196,0.357296
bdb,nmac,58,105,0.332100,0.236412
bdb,nmac,59,105,0.331890,0.442690
bdb,nmac,60,105,0.332132,0.447945
bdb,nmac,61,105,0.332110,0.041778
