dataset,technique,revision,nCells,avgAR,avgMov
exo,nmac,0,182,0.421019,0.000000
exo,nmac,1,188,0.403584,20.285150
exo,nmac,2,189,0.415422,38.233928
exo,nmac,3,191,0.416908,27.844404
exo,nmac,4,196,0.404762,23.122467
exo,nmac,5,197,0.406602,3.403575
exo,nmac,6,197,0.405567,1.285513
exo,nmac,7,203,0.417558,49.895967
exo,nmac,8,211,0.431924,25.947260
exo,nmac,9,219,0.425978,24.232953
exo,nmac,10,227,0.422383,41.018658
exo,nmac,11,205,0.412488,31.912882
exo,nmac,12,202,0.412546,51.897869
exo,nmac,13,232,0.409137,57.366768
exo,nmac,14,242,0.400838,56.257611
exo,nmac,15,248,0.404087,34.184359
exo,nmac,16,254,0.394955,11.494078
exo,nmac,17,300,0.351331,88.397968
exo,nmac,18,307,0.356240,12.150681
exo,nmac,19,340,0.362820,42.612414
exo,nmac,20,316,0.379321,48.884429
exo,nmac,21,320,0.389372,8.070125
exo,nmac,22,323,0.392782,6.208290
exo,nmac,23,322,0.392751,1.997523
exo,nmac,24,324,0.389077,5.457069
exo,nmac,25,330,0.385797,10.223896
exo,nmac,26,378,0.334452,130.122058
exo,nmac,27,404,0.341586,48.413237
exo,nmac,28,410,0.344825,6.464278
exo,nmac,29,413,0.341818,5.006900
exo,nmac,30,312,0.370796,103.840998
exo,nmac,31,418,0.357437,66.066462
exo,nmac,32,420,0.357286,3.156868
exo,nmac,33,421,0.343840,34.490656
exo,nmac,34,421,0.348636,6.462193
exo,nmac,35,422,0.350417,3.030974
exo,nmac,36,425,0.352763,4.707217
exo,nmac,37,464,0.332890,139.130220
exo,nmac,38,466,0.333590,5.193631
exo,nmac,39,466,0.333828,0.912648
exo,nmac,40,480,0.325885,30.794448
exo,nmac,41,488,0.332050,10.386180
exo,nmac,42,482,0.329766,4.287133
exo,nmac,43,494,0.326296,16.223655
exo,nmac,44,495,0.325373,1.510760
exo,nmac,45,498,0.321129,6.442517
exo,nmac,46,504,0.329134,5.078767
exo,nmac,47,505,0.335164,14.115225
exo,nmac,48,510,0.330642,5.766291
exo,nmac,49,511,0.327803,9.523270
exo,nmac,50,535,0.339431,19.639943
exo,nmac,51,401,0.354453,31.618662
exo,nmac,52,412,0.367202,27.772598
exo,nmac,53,415,0.365348,8.635910
exo,nmac,54,426,0.368534,11.293431
exo,nmac,55,434,0.377257,30.142659
exo,nmac,56,452,0.357159,27.148944
exo,nmac,57,550,0.375644,146.711153
exo,nmac,58,556,0.371338,21.140848
exo,nmac,59,556,0.372107,6.216430
exo,nmac,60,559,0.365636,28.662896
exo,nmac,61,561,0.363619,7.484906
exo,nmac,62,561,0.368922,6.571583
exo,nmac,63,583,0.372125,28.814567
exo,nmac,64,588,0.369726,7.465582
exo,nmac,65,604,0.366553,18.503219
exo,nmac,66,629,0.355401,24.586081
exo,nmac,67,627,0.355719,5.862657
exo,nmac,68,634,0.350864,15.806270
exo,nmac,69,635,0.309152,132.083510
exo,nmac,70,643,0.314478,28.784282
exo,nmac,71,645,0.325124,17.087137
exo,nmac,72,659,0.326629,9.771010
exo,nmac,73,662,0.329209,2.420099
exo,nmac,74,663,0.329239,1.277174
exo,nmac,75,666,0.318268,18.261201
exo,nmac,76,677,0.324387,34.824527
exo,nmac,77,708,0.329939,18.475667
exo,nmac,78,712,0.329585,3.089280
exo,nmac,79,881,0.283872,55.291609
exo,nmac,80,881,0.284160,1.520479
exo,nmac,81,884,0.285076,2.294578
exo,nmac,82,884,0.284459,1.145324
exo,nmac,83,888,0.284080,0.786156
exo,nmac,84,886,0.283776,4.845958
exo,nmac,85,898,0.286808,6.426315
exo,nmac,86,908,0.288397,4.057994
exo,nmac,87,909,0.287860,1.100085
exo,nmac,88,910,0.287193,2.273955
exo,nmac,89,664,0.334217,43.252977
exo,nmac,90,914,0.282938,23.230410
exo,nmac,91,919,0.284138,4.267539
exo,nmac,92,929,0.282530,5.853068
exo,nmac,93,935,0.281772,3.798744
exo,nmac,94,946,0.284192,6.059585
exo,nmac,95,948,0.288495,1.469394
exo,nmac,96,954,0.279495,27.742362
