dataset,technique,revision,nCells,avgAR,avgMov
fsharp,nmac,0,30,0.291142,0.000000
fsharp,nmac,1,30,0.256582,0.350997
fsharp,nmac,2,30,0.256582,0.000000
fsharp,nmac,3,30,0.256582,0.000000
fsharp,nmac,4,30,0.256582,0.000000
fsharp,nmac,5,30,0.256582,0.000000
fsharp,nmac,6,30,0.256582,0.000000
fsharp,nmac,7,30,0.256582,0.000000
fsharp,nmac,8,31,0.245393,1.272059
fsharp,nmac,9,30,0.250452,1.461265
fsharp,nmac,10,97,0.341350,353.687549
fsharp,nmac,11,97,0.341473,1.211736
fsharp,nmac,12,97,0.341503,0.045108
fsharp,nmac,13,97,0.341494,2.023791
fsharp,nmac,14,98,0.338542,14.375113
fsharp,nmac,15,98,0.338542,0.000000
fsharp,nmac,16,98,0.338542,0.000000
fsharp,nmac,17,98,0.338542,0.000000
fsharp,nmac,18,98,0.338542,0.000000
fsharp,nmac,19,98,0.338542,0.000000
fsharp,nmac,20,98,0.338552,0.014869
fsharp,nmac,21,98,0.338499,0.501241
fsharp,nmac,22,358,0.395643,304.206950
fsharp,nmac,23,359,0.394388,5.208417
fsharp,nmac,24,378,0.395512,24.032952
fsharp,nmac,25,403,0.331446,148.199547
fsharp,nmac,26,501,0.389192,301.196589
fsharp,nmac,27,502,0.390106,2.214391
fsharp,nmac,28,541,0.378423,22.122076
fsharp,nmac,29,770,0.358403,96.089171
fsharp,nmac,30,855,0.347188,30.242448
fsharp,nmac,31,855,0.347064,0.039359
fsharp,nmac,32,855,0.347028,0.011160
fsharp,nmac,33,864,0.338909,9.164703
fsharp,nmac,34,433,0.396372,258.601934
fsharp,nmac,35,864,0.338185,62.253540
fsharp,nmac,36,847,0.353664,24.506224
fsharp,nmac,37,850,0.351590,1.707105
fsharp,nmac,38,817,0.362061,79.880112
fsharp,nmac,39,817,0.361976,0.047229
fsharp,nmac,40,821,0.361987,1.975191
fsharp,nmac,41,824,0.360538,2.044046
fsharp,nmac,42,459,0.372289,62.042681
fsharp,nmac,43,814,0.351104,26.463573
fsharp,nmac,44,814,0.351247,0.103372
fsharp,nmac,45,826,0.344019,6.041009
fsharp,nmac,46,827,0.352986,6.509622
fsharp,nmac,47,822,0.356170,10.184740
fsharp,nmac,48,831,0.362296,228.924511
fsharp,nmac,49,818,0.359268,64.240914
fsharp,nmac,50,825,0.351534,11.524820
fsharp,nmac,51,830,0.354999,236.066486
fsharp,nmac,52,826,0.356470,0.406290
fsharp,nmac,53,830,0.354999,0.404332
fsharp,nmac,54,772,0.349581,25.466091
fsharp,nmac,55,763,0.352747,7.281861
fsharp,nmac,56,768,0.350102,2.835215
fsharp,nmac,57,763,0.350690,1.339177
fsharp,nmac,58,772,0.348729,6.626626
fsharp,nmac,59,772,0.349789,1.208347
fsharp,nmac,60,225,0.232950,346.807686
fsharp,nmac,61,225,0.232950,0.000000
fsharp,nmac,62,608,0.308979,176.063342
fsharp,nmac,63,609,0.301634,7.421446
fsharp,nmac,64,616,0.299778,7.995200
fsharp,nmac,65,643,0.308990,28.121540
fsharp,nmac,66,654,0.333246,42.488142
fsharp,nmac,67,251,0.220530,230.578825
fsharp,nmac,68,251,0.220530,0.000000
