dataset,technique,revision,nCells,avgAR,avgMov
gimp,nmac,0,7,0.629044,0.000000
gimp,nmac,1,861,0.351922,152.967733
gimp,nmac,2,942,0.355893,31.534364
gimp,nmac,3,1105,0.349590,45.010016
gimp,nmac,4,1252,0.338096,36.894639
gimp,nmac,5,1350,0.340279,20.209048
gimp,nmac,6,1222,0.340008,55.133524
gimp,nmac,7,1492,0.340419,34.915530
gimp,nmac,8,1946,0.270817,52.885544
gimp,nmac,9,1963,0.270222,15.045466
gimp,nmac,10,1973,0.370908,69.007924
gimp,nmac,11,2004,0.379657,22.490337
gimp,nmac,12,2085,0.381601,18.689580
gimp,nmac,13,2106,0.381972,14.797080
gimp,nmac,14,1983,0.382956,17.041896
gimp,nmac,15,2018,0.317329,53.279079
gimp,nmac,16,2196,0.376558,73.153847
gimp,nmac,17,1928,0.353227,36.937232
gimp,nmac,18,2025,0.367192,26.483902
gimp,nmac,19,2142,0.372883,109.355565
gimp,nmac,20,2171,0.354314,34.126882
gimp,nmac,21,2226,0.360068,16.454376
gimp,nmac,22,2211,0.350802,15.362166
gimp,nmac,23,2165,0.353663,36.124581
gimp,nmac,24,2142,0.356002,16.920568
gimp,nmac,25,2118,0.354039,17.429464
gimp,nmac,26,2166,0.355801,17.978428
gimp,nmac,27,2216,0.357985,9.080802
gimp,nmac,28,2232,0.364567,8.269833
gimp,nmac,29,2287,0.362083,11.556779
gimp,nmac,30,2303,0.363141,11.070561
gimp,nmac,31,2313,0.365820,42.645328
gimp,nmac,32,2311,0.364803,2.666957
gimp,nmac,33,2333,0.363021,4.824953
gimp,nmac,34,2465,0.351571,34.940106
gimp,nmac,35,2487,0.342019,10.587636
gimp,nmac,36,2522,0.346874,8.707024
gimp,nmac,37,2563,0.359039,15.168887
gimp,nmac,38,2595,0.361878,6.503291
gimp,nmac,39,2676,0.366760,24.857674
gimp,nmac,40,2709,0.371898,5.047824
gimp,nmac,41,2720,0.371227,5.165617
gimp,nmac,42,2738,0.361908,18.788712
gimp,nmac,43,2786,0.360643,7.927351
gimp,nmac,44,2826,0.363320,13.594158
gimp,nmac,45,2875,0.361287,6.832735
gimp,nmac,46,2902,0.371290,26.895886
gimp,nmac,47,2938,0.369645,7.487079
gimp,nmac,48,2963,0.369698,4.193217
gimp,nmac,49,2979,0.370602,3.181806
gimp,nmac,50,2985,0.370322,2.075057
gimp,nmac,51,3009,0.369746,6.583816
gimp,nmac,52,3027,0.368302,3.184602
gimp,nmac,53,3046,0.368360,3.074158
gimp,nmac,54,3136,0.368508,9.524440
gimp,nmac,55,3145,0.368478,5.509205
gimp,nmac,56,3165,0.369449,10.701298
gimp,nmac,57,3205,0.371315,17.398503
gimp,nmac,58,3226,0.373485,5.451568
gimp,nmac,59,3238,0.374892,2.220095
gimp,nmac,60,3253,0.374379,2.447465
gimp,nmac,61,3257,0.374058,1.770332
gimp,nmac,62,3263,0.375045,1.654018
gimp,nmac,63,3278,0.356823,16.504599
gimp,nmac,64,3364,0.366927,12.179335
gimp,nmac,65,3385,0.374564,18.926888
gimp,nmac,66,3415,0.373011,9.468973
gimp,nmac,67,3445,0.364591,12.086321
gimp,nmac,68,3450,0.362585,12.021450
gimp,nmac,69,3421,0.353687,22.183081
gimp,nmac,70,3440,0.359285,4.662821
gimp,nmac,71,3467,0.358778,5.069627
