dataset,technique,revision,nCells,avgAR,avgMov
hiv,nmac,0,109,0.204815,0.000000
hiv,nmac,1,109,0.221490,6.727162
hiv,nmac,2,109,0.238801,7.211263
hiv,nmac,3,109,0.251664,7.622112
hiv,nmac,4,109,0.262673,7.545299
hiv,nmac,5,109,0.263216,7.407253
hiv,nmac,6,109,0.264238,6.787784
hiv,nmac,7,109,0.263956,5.999701
hiv,nmac,8,109,0.256992,5.381793
hiv,nmac,9,109,0.246246,4.912626
hiv,nmac,10,109,0.244553,4.580373
hiv,nmac,11,109,0.250036,4.159564
hiv,nmac,12,109,0.244700,3.853550
hiv,nmac,13,109,0.242048,3.933580
hiv,nmac,14,109,0.243535,4.295456
hiv,nmac,15,109,0.246016,5.420041
hiv,nmac,16,109,0.242623,5.406012
hiv,nmac,17,109,0.245407,5.356110
hiv,nmac,18,109,0.244503,7.712807
hiv,nmac,19,109,0.239759,7.830016
hiv,nmac,20,109,0.238862,7.793468
hiv,nmac,21,109,0.241340,8.865622
hiv,nmac,22,109,0.239836,9.928168
hiv,nmac,23,109,0.237576,10.403288
hiv,nmac,24,109,0.236943,7.252010
