dataset,technique,revision,nCells,avgAR,avgMov
scikitlearn,nmac,0,256,0.309757,0.000000
scikitlearn,nmac,1,263,0.289983,142.773723
scikitlearn,nmac,2,223,0.318590,169.383439
scikitlearn,nmac,3,249,0.272314,116.976136
scikitlearn,nmac,4,253,0.262925,80.978876
scikitlearn,nmac,5,144,0.191707,165.768884
scikitlearn,nmac,6,196,0.243934,117.067104
scikitlearn,nmac,7,239,0.262006,105.248311
scikitlearn,nmac,8,309,0.246444,149.449648
scikitlearn,nmac,9,325,0.227609,48.465952
scikitlearn,nmac,10,374,0.225455,124.131406
scikitlearn,nmac,11,374,0.228548,78.044770
scikitlearn,nmac,12,387,0.251264,78.502984
scikitlearn,nmac,13,384,0.252255,28.396269
scikitlearn,nmac,14,390,0.256110,39.668933
scikitlearn,nmac,15,411,0.247146,70.402595
scikitlearn,nmac,16,424,0.250324,12.929618
scikitlearn,nmac,17,431,0.254491,14.908432
scikitlearn,nmac,18,452,0.259942,31.118617
scikitlearn,nmac,19,468,0.257544,68.253205
scikitlearn,nmac,20,512,0.243680,122.586364
scikitlearn,nmac,21,530,0.267774,51.816982
scikitlearn,nmac,22,543,0.275154,15.314346
scikitlearn,nmac,23,558,0.256915,26.968912
scikitlearn,nmac,24,564,0.254846,18.604040
scikitlearn,nmac,25,575,0.240149,28.153525
scikitlearn,nmac,26,614,0.241413,35.759250
scikitlearn,nmac,27,616,0.239835,6.169371
scikitlearn,nmac,28,618,0.245483,9.128204
scikitlearn,nmac,29,618,0.244298,7.170020
scikitlearn,nmac,30,588,0.245707,38.495683
scikitlearn,nmac,31,596,0.245148,9.505746
scikitlearn,nmac,32,596,0.244636,7.019391
scikitlearn,nmac,33,596,0.243946,4.825809
scikitlearn,nmac,34,619,0.243374,45.272382
scikitlearn,nmac,35,627,0.239266,12.120459
scikitlearn,nmac,36,634,0.241035,7.480388
scikitlearn,nmac,37,636,0.246626,5.041704
scikitlearn,nmac,38,640,0.243048,4.678288
scikitlearn,nmac,39,641,0.243830,6.959079
scikitlearn,nmac,40,651,0.245936,10.285551
scikitlearn,nmac,41,663,0.247106,11.764179
scikitlearn,nmac,42,715,0.240885,80.543666
scikitlearn,nmac,43,717,0.244472,0.885123
scikitlearn,nmac,44,721,0.219648,46.278008
scikitlearn,nmac,45,724,0.217385,3.349795
scikitlearn,nmac,46,723,0.215655,3.214481
scikitlearn,nmac,47,728,0.219511,23.456553
scikitlearn,nmac,48,746,0.229612,30.429468
scikitlearn,nmac,49,748,0.228040,2.360709
scikitlearn,nmac,50,729,0.221497,15.170022
scikitlearn,nmac,51,732,0.231008,50.098797
scikitlearn,nmac,52,731,0.231482,2.387073
scikitlearn,nmac,53,735,0.233269,3.661499
scikitlearn,nmac,54,741,0.235867,30.975677
scikitlearn,nmac,55,742,0.235667,3.004966
scikitlearn,nmac,56,741,0.235686,5.970665
scikitlearn,nmac,57,741,0.235978,0.667067
scikitlearn,nmac,58,749,0.231993,7.949666
scikitlearn,nmac,59,760,0.235762,7.604323
scikitlearn,nmac,60,765,0.242345,23.544554
scikitlearn,nmac,61,772,0.248725,19.412112
scikitlearn,nmac,62,772,0.231345,56.078212
scikitlearn,nmac,63,773,0.230094,0.320393
scikitlearn,nmac,64,783,0.232236,5.145735
scikitlearn,nmac,65,780,0.231999,4.505100
scikitlearn,nmac,66,784,0.233945,2.006055
scikitlearn,nmac,67,792,0.237128,4.392608
scikitlearn,nmac,68,805,0.229789,14.995886
scikitlearn,nmac,69,843,0.233862,19.826018
scikitlearn,nmac,70,804,0.369609,51.888915
scikitlearn,nmac,71,808,0.372438,2.434522
scikitlearn,nmac,72,812,0.372849,2.160148
scikitlearn,nmac,73,817,0.364721,8.300499
scikitlearn,nmac,74,824,0.388999,62.230436
scikitlearn,nmac,75,827,0.389033,2.515100
scikitlearn,nmac,76,827,0.389120,0.179912
scikitlearn,nmac,77,828,0.387623,1.117390
scikitlearn,nmac,78,831,0.386685,2.879946
scikitlearn,nmac,79,848,0.385735,11.064283
scikitlearn,nmac,80,849,0.385954,2.294257
scikitlearn,nmac,81,857,0.388384,5.051150
scikitlearn,nmac,82,854,0.388249,0.852502
scikitlearn,nmac,83,862,0.382980,4.458331
scikitlearn,nmac,84,864,0.381607,1.225217
scikitlearn,nmac,85,864,0.380823,0.670310
scikitlearn,nmac,86,868,0.352164,55.887145
scikitlearn,nmac,87,868,0.352018,0.344965
