dataset,technique,revision,nCells,avgAR,avgMov
AudioKit,nmew,0,63,0.651522,0.000000
AudioKit,nmew,1,247,0.549310,249.626044
AudioKit,nmew,2,423,0.552693,184.517057
AudioKit,nmew,3,494,0.565392,152.151199
AudioKit,nmew,4,469,0.533204,95.461690
AudioKit,nmew,5,469,0.533206,0.008657
AudioKit,nmew,6,469,0.533206,0.000000
AudioKit,nmew,7,485,0.530130,23.316888
AudioKit,nmew,8,488,0.538394,18.920367
AudioKit,nmew,9,489,0.536028,5.797661
AudioKit,nmew,10,492,0.543127,21.192286
AudioKit,nmew,11,692,0.568442,88.290883
AudioKit,nmew,12,742,0.568459,18.539404
AudioKit,nmew,13,755,0.574336,17.009498
AudioKit,nmew,14,755,0.575219,0.319298
AudioKit,nmew,15,763,0.570833,8.351708
AudioKit,nmew,16,799,0.563155,20.265534
AudioKit,nmew,17,800,0.567626,35.129590
AudioKit,nmew,18,800,0.568704,6.347160
AudioKit,nmew,19,807,0.572966,6.316746
AudioKit,nmew,20,845,0.562306,17.764425
AudioKit,nmew,21,848,0.560608,0.658781
