dataset,technique,revision,nCells,avgAR,avgMov
Chart.js,nmew,0,24,0.574058,0.000000
Chart.js,nmew,1,25,0.546154,76.313208
Chart.js,nmew,2,25,0.546154,0.000000
Chart.js,nmew,3,25,0.546154,0.000000
Chart.js,nmew,4,25,0.546154,0.000000
Chart.js,nmew,5,25,0.546154,0.000000
Chart.js,nmew,6,25,0.546154,0.000000
Chart.js,nmew,7,25,0.546154,0.000000
Chart.js,nmew,8,18,0.364722,353.453867
Chart.js,nmew,9,18,0.363123,1.389131
Chart.js,nmew,10,18,0.360770,0.766585
Chart.js,nmew,11,18,0.361887,0.166706
Chart.js,nmew,12,18,0.361284,0.089878
Chart.js,nmew,13,18,0.362076,0.136272
Chart.js,nmew,14,20,0.540976,38.397407
Chart.js,nmew,15,19,0.394873,30.723391
Chart.js,nmew,16,21,0.508667,69.816223
Chart.js,nmew,17,21,0.502177,0.964551
Chart.js,nmew,18,22,0.541792,12.696618
Chart.js,nmew,19,30,0.464623,99.341756
Chart.js,nmew,20,22,0.538207,80.840394
Chart.js,nmew,21,22,0.538274,0.032132
Chart.js,nmew,22,69,0.480774,182.789526
Chart.js,nmew,23,76,0.523591,132.110104
Chart.js,nmew,24,84,0.531443,21.132139
Chart.js,nmew,25,86,0.520777,17.797165
Chart.js,nmew,26,94,0.529333,30.154784
Chart.js,nmew,27,98,0.565096,32.641901
Chart.js,nmew,28,104,0.525014,108.253211
Chart.js,nmew,29,104,0.524174,0.839829
Chart.js,nmew,30,109,0.571253,34.624203
Chart.js,nmew,31,113,0.571015,10.518355
Chart.js,nmew,32,110,0.546971,80.921326
Chart.js,nmew,33,113,0.570509,25.781797
Chart.js,nmew,34,114,0.572625,8.884707
Chart.js,nmew,35,118,0.572400,15.064753
Chart.js,nmew,36,142,0.566472,63.866959
Chart.js,nmew,37,142,0.585787,11.750844
Chart.js,nmew,38,145,0.559721,13.537485
Chart.js,nmew,39,147,0.548557,12.471825
Chart.js,nmew,40,149,0.547144,6.039065
Chart.js,nmew,41,164,0.550779,79.957729
Chart.js,nmew,42,164,0.542136,3.335301
Chart.js,nmew,43,164,0.542136,0.000000
