dataset,technique,revision,nCells,avgAR,avgMov
bdb,nmew,0,9,0.644844,0.000000
bdb,nmew,1,9,0.394116,31.307192
bdb,nmew,2,9,0.361953,12.862999
bdb,nmew,3,9,0.350718,7.785381
bdb,nmew,4,9,0.353005,0.672748
bdb,nmew,5,11,0.465143,102.289575
bdb,nmew,6,12,0.432428,35.079664
bdb,nmew,7,16,0.470803,104.424338
bdb,nmew,8,18,0.312454,192.940375
bdb,nmew,9,18,0.326036,11.350825
bdb,nmew,10,18,0.328118,1.786779
bdb,nmew,11,18,0.338056,8.819669
bdb,nmew,12,18,0.340497,0.733555
bdb,nmew,13,18,0.342846,1.537209
bdb,nmew,14,18,0.342779,1.255973
bdb,nmew,15,18,0.341616,2.049388
bdb,nmew,16,19,0.330797,19.301067
bdb,nmew,17,19,0.330261,0.239535
bdb,nmew,18,19,0.329762,0.371037
bdb,nmew,19,19,0.331355,0.835614
bdb,nmew,20,19,0.330264,0.782572
bdb,nmew,21,19,0.334159,1.397998
bdb,nmew,22,19,0.337414,1.603096
bdb,nmew,23,19,0.367589,53.296477
bdb,nmew,24,19,0.368515,1.864850
bdb,nmew,25,25,0.289429,24.390631
bdb,nmew,26,25,0.313487,97.865524
bdb,nmew,27,26,0.297555,34.183133
bdb,nmew,28,26,0.295620,0.933836
bdb,nmew,29,26,0.297038,2.179085
bdb,nmew,30,25,0.308040,19.615379
bdb,nmew,31,25,0.307310,0.304302
bdb,nmew,32,103,0.435135,108.934291
bdb,nmew,33,103,0.434945,0.477729
bdb,nmew,34,103,0.435204,1.879095
bdb,nmew,35,103,0.435885,1.405015
bdb,nmew,36,103,0.436174,6.205202
bdb,nmew,37,104,0.448928,9.432811
bdb,nmew,38,104,0.449074,0.387248
bdb,nmew,39,104,0.449084,0.022894
bdb,nmew,40,105,0.438058,21.533072
bdb,nmew,41,105,0.421105,41.808395
bdb,nmew,42,105,0.421098,1.096147
bdb,nmew,43,105,0.420886,0.095565
bdb,nmew,44,105,0.420883,0.021442
bdb,nmew,45,105,0.421126,3.152216
bdb,nmew,46,105,0.421138,0.058150
bdb,nmew,47,105,0.420118,19.917550
bdb,nmew,48,106,0.417872,21.770136
bdb,nmew,49,106,0.382021,198.896228
bdb,nmew,50,106,0.390935,10.829415
bdb,nmew,51,106,0.379018,10.320414
bdb,nmew,52,106,0.378909,0.145484
bdb,nmew,53,106,0.378775,0.101385
bdb,nmew,54,105,0.381288,1.575322
bdb,nmew,55,105,0.390902,11.701781
bdb,nmew,56,105,0.390602,0.688796
bdb,nmew,57,105,0.389694,2.196220
bdb,nmew,58,105,0.391077,1.143049
bdb,nmew,59,105,0.391362,0.477700
bdb,nmew,60,105,0.391364,0.455609
bdb,nmew,61,105,0.391370,0.042130
