dataset,technique,revision,nCells,avgAR,avgMov
d3,nmew,0,62,0.565865,0.000000
d3,nmew,1,86,0.548571,168.928355
d3,nmew,2,158,0.537138,110.578415
d3,nmew,3,161,0.550202,13.646227
d3,nmew,4,181,0.512347,57.764786
d3,nmew,5,220,0.491552,82.141214
d3,nmew,6,273,0.507093,106.615053
d3,nmew,7,339,0.519251,61.935392
d3,nmew,8,372,0.514676,26.070106
d3,nmew,9,413,0.525990,19.818138
d3,nmew,10,475,0.531154,59.029088
d3,nmew,11,564,0.534243,88.987630
d3,nmew,12,586,0.544593,26.496978
d3,nmew,13,605,0.545477,28.304113
d3,nmew,14,617,0.558019,13.964908
d3,nmew,15,621,0.560886,2.500415
d3,nmew,16,621,0.562113,1.376039
d3,nmew,17,615,0.550917,57.696705
d3,nmew,18,622,0.554276,4.505533
d3,nmew,19,625,0.553762,7.386992
d3,nmew,20,626,0.554884,6.939612
d3,nmew,21,627,0.556112,2.771233
d3,nmew,22,633,0.561580,28.449744
d3,nmew,23,646,0.555290,25.851996
d3,nmew,24,655,0.552995,7.601330
d3,nmew,25,616,0.568917,85.434132
d3,nmew,26,579,0.565376,100.074851
d3,nmew,27,412,0.534167,169.476284
d3,nmew,28,411,0.540515,14.047537
d3,nmew,29,413,0.532220,9.098493
d3,nmew,30,494,0.536149,110.915283
d3,nmew,31,494,0.546832,5.893585
d3,nmew,32,497,0.546180,13.195503
d3,nmew,33,506,0.544757,9.384608
d3,nmew,34,509,0.550094,5.764285
d3,nmew,35,514,0.557724,8.184456
d3,nmew,36,513,0.556120,1.066262
d3,nmew,37,524,0.549163,15.674726
d3,nmew,38,524,0.549163,0.010232
d3,nmew,39,524,0.550098,0.487603
d3,nmew,40,528,0.549745,12.206948
d3,nmew,41,528,0.548940,0.194038
d3,nmew,42,535,0.551358,4.248056
d3,nmew,43,535,0.549272,0.650456
d3,nmew,44,537,0.550870,2.489746
d3,nmew,45,537,0.550492,1.150067
d3,nmew,46,538,0.550492,0.607391
d3,nmew,47,540,0.547764,0.593678
d3,nmew,48,538,0.550565,0.281756
d3,nmew,49,545,0.540088,4.319190
d3,nmew,50,549,0.536301,0.803293
d3,nmew,51,554,0.542366,8.569224
d3,nmew,52,555,0.542636,0.904674
d3,nmew,53,558,0.550811,8.277027
d3,nmew,54,558,0.550774,0.022871
d3,nmew,55,559,0.551911,6.273859
d3,nmew,56,558,0.550811,6.093908
d3,nmew,57,558,0.550749,0.073473
d3,nmew,58,559,0.551849,6.240660
d3,nmew,59,559,0.551849,0.219355
d3,nmew,60,564,0.559144,18.903957
d3,nmew,61,564,0.554990,0.925205
d3,nmew,62,564,0.555187,0.184235
d3,nmew,63,5,0.238417,227.494277
d3,nmew,64,5,0.236688,0.167582
d3,nmew,65,4,0.254227,135.662935
d3,nmew,66,4,0.253968,0.129400
d3,nmew,67,5,0.298224,55.687497
d3,nmew,68,5,0.303851,1.392043
d3,nmew,69,5,0.241848,31.939187
d3,nmew,70,6,0.277512,39.398297
d3,nmew,71,7,0.471468,146.645158
d3,nmew,72,7,0.471288,0.028771
d3,nmew,73,7,0.471288,0.000000
d3,nmew,74,7,0.420760,101.759717
d3,nmew,75,7,0.420760,0.000000
d3,nmew,76,7,0.420760,0.000000
d3,nmew,77,7,0.420760,0.000000
