dataset,technique,revision,nCells,avgAR,avgMov
hospitalrun-frontend,nmew,0,310,0.520190,0.000000
hospitalrun-frontend,nmew,1,686,0.488471,171.231211
hospitalrun-frontend,nmew,2,674,0.511631,124.835908
hospitalrun-frontend,nmew,3,934,0.474958,154.486107
hospitalrun-frontend,nmew,4,910,0.502456,88.050987
hospitalrun-frontend,nmew,5,954,0.526448,102.798296
hospitalrun-frontend,nmew,6,982,0.516679,10.696692
hospitalrun-frontend,nmew,7,968,0.504486,31.748888
hospitalrun-frontend,nmew,8,968,0.504610,1.036617
hospitalrun-frontend,nmew,9,360,0.361696,202.157308
hospitalrun-frontend,nmew,10,392,0.419202,176.672324
hospitalrun-frontend,nmew,11,439,0.426142,39.665101
hospitalrun-frontend,nmew,12,447,0.439585,40.270783
hospitalrun-frontend,nmew,13,453,0.450986,26.993051
hospitalrun-frontend,nmew,14,465,0.486371,141.784340
hospitalrun-frontend,nmew,15,459,0.469544,8.813728
hospitalrun-frontend,nmew,16,482,0.467071,51.134159
hospitalrun-frontend,nmew,17,477,0.475965,11.783803
hospitalrun-frontend,nmew,18,463,0.464756,245.291874
hospitalrun-frontend,nmew,19,469,0.453085,27.590616
hospitalrun-frontend,nmew,20,476,0.465393,7.132381
hospitalrun-frontend,nmew,21,490,0.500380,222.170000
hospitalrun-frontend,nmew,22,498,0.485002,17.778252
hospitalrun-frontend,nmew,23,506,0.494854,141.198429
hospitalrun-frontend,nmew,24,534,0.498328,23.824922
hospitalrun-frontend,nmew,25,535,0.508559,14.881878
hospitalrun-frontend,nmew,26,552,0.509030,28.172957
hospitalrun-frontend,nmew,27,547,0.502643,4.478637
hospitalrun-frontend,nmew,28,554,0.497637,9.279733
hospitalrun-frontend,nmew,29,556,0.502919,10.514241
hospitalrun-frontend,nmew,30,560,0.503406,2.843511
hospitalrun-frontend,nmew,31,564,0.503074,1.692810
hospitalrun-frontend,nmew,32,586,0.503977,7.572283
hospitalrun-frontend,nmew,33,657,0.504657,32.589387
hospitalrun-frontend,nmew,34,677,0.505761,12.010181
hospitalrun-frontend,nmew,35,685,0.503474,15.133066
hospitalrun-frontend,nmew,36,742,0.508420,72.719001
hospitalrun-frontend,nmew,37,755,0.523788,63.086333
