dataset,technique,revision,nCells,avgAR,avgMov
iina,nmew,0,25,0.492929,0.000000
iina,nmew,1,35,0.546033,130.058986
iina,nmew,2,39,0.557087,67.025631
iina,nmew,3,59,0.575827,159.220019
iina,nmew,4,59,0.561952,9.145476
iina,nmew,5,65,0.542858,49.250960
iina,nmew,6,73,0.597268,48.871743
iina,nmew,7,76,0.505658,96.599710
iina,nmew,8,77,0.474246,19.232299
iina,nmew,9,79,0.527386,56.518447
iina,nmew,10,80,0.531148,15.168344
iina,nmew,11,83,0.543654,23.861759
iina,nmew,12,87,0.564320,33.687805
iina,nmew,13,103,0.567048,55.229345
iina,nmew,14,110,0.577731,55.027578
iina,nmew,15,111,0.573806,15.024098
iina,nmew,16,108,0.595371,46.172037
iina,nmew,17,117,0.550966,39.496249
iina,nmew,18,121,0.540439,23.786515
iina,nmew,19,124,0.533931,14.483697
iina,nmew,20,131,0.541154,16.705833
iina,nmew,21,131,0.532061,2.725634
iina,nmew,22,132,0.538778,36.595204
iina,nmew,23,132,0.539393,1.958403
iina,nmew,24,133,0.535775,2.078273
iina,nmew,25,134,0.528526,2.316367
iina,nmew,26,134,0.528227,0.823339
iina,nmew,27,134,0.528251,1.403324
iina,nmew,28,134,0.528358,0.249529
iina,nmew,29,134,0.528826,1.528975
iina,nmew,30,134,0.537242,2.491505
iina,nmew,31,134,0.528166,3.425455
iina,nmew,32,134,0.527826,3.247801
iina,nmew,33,134,0.527824,0.020505
iina,nmew,34,136,0.540616,11.343239
iina,nmew,35,134,0.528247,11.638477
iina,nmew,36,139,0.550294,13.613461
iina,nmew,37,139,0.550321,0.044560
iina,nmew,38,139,0.550086,1.230525
iina,nmew,39,141,0.544420,10.926291
iina,nmew,40,121,0.528985,23.167153
iina,nmew,41,120,0.527218,7.497253
iina,nmew,42,125,0.553352,13.167799
iina,nmew,43,127,0.549380,12.206650
iina,nmew,44,127,0.549229,0.272403
iina,nmew,45,127,0.548944,0.220233
iina,nmew,46,127,0.548930,0.014500
iina,nmew,47,133,0.535827,24.044077
iina,nmew,48,127,0.548944,24.467207
iina,nmew,49,127,0.548944,0.000000
iina,nmew,50,127,0.548944,0.000000
iina,nmew,51,129,0.542682,3.172783
iina,nmew,52,129,0.542682,0.000000
iina,nmew,53,127,0.535165,7.508312
iina,nmew,54,128,0.543531,22.703958
iina,nmew,55,129,0.532114,2.509988
iina,nmew,56,129,0.530511,0.297211
iina,nmew,57,130,0.530817,27.659669
iina,nmew,58,130,0.530817,0.000000
iina,nmew,59,131,0.528285,1.318160
iina,nmew,60,137,0.508423,7.384989
iina,nmew,61,139,0.524261,13.514719
iina,nmew,62,139,0.524447,0.122138
iina,nmew,63,139,0.515182,4.097336
iina,nmew,64,139,0.525261,2.890393
iina,nmew,65,139,0.524835,0.151411
iina,nmew,66,136,0.504146,13.743626
iina,nmew,67,138,0.516954,17.682834
iina,nmew,68,146,0.508304,10.196302
iina,nmew,69,139,0.525194,15.777663
iina,nmew,70,150,0.513598,19.012720
iina,nmew,71,130,0.530817,25.411867
iina,nmew,72,150,0.513594,21.728930
iina,nmew,73,153,0.504993,4.125269
