dataset,technique,revision,nCells,avgAR,avgMov
osquery,nmew,0,80,0.616454,0.000000
osquery,nmew,1,133,0.517891,247.521989
osquery,nmew,2,196,0.489478,151.817232
osquery,nmew,3,253,0.470196,184.867914
osquery,nmew,4,286,0.541621,234.681170
osquery,nmew,5,316,0.526135,64.690213
osquery,nmew,6,342,0.510306,227.818435
osquery,nmew,7,328,0.538641,180.039577
osquery,nmew,8,336,0.535309,114.683529
osquery,nmew,9,408,0.557165,75.041036
osquery,nmew,10,416,0.543849,42.145292
osquery,nmew,11,431,0.548084,37.399075
osquery,nmew,12,451,0.530925,26.124676
osquery,nmew,13,447,0.544858,7.932632
osquery,nmew,14,467,0.541412,28.773772
osquery,nmew,15,470,0.542738,78.777818
osquery,nmew,16,483,0.541420,12.772140
osquery,nmew,17,484,0.536425,17.417912
osquery,nmew,18,493,0.536343,8.086359
osquery,nmew,19,495,0.537455,7.017132
osquery,nmew,20,495,0.537455,0.000000
osquery,nmew,21,495,0.537455,0.000000
osquery,nmew,22,513,0.534864,27.701160
osquery,nmew,23,530,0.523392,26.915825
osquery,nmew,24,549,0.536399,22.750907
osquery,nmew,25,556,0.533749,122.668209
osquery,nmew,26,599,0.539393,25.581590
osquery,nmew,27,608,0.536726,18.942474
osquery,nmew,28,631,0.543344,20.769217
osquery,nmew,29,640,0.549259,7.658897
osquery,nmew,30,655,0.545991,12.700272
osquery,nmew,31,659,0.545074,8.874854
osquery,nmew,32,670,0.542963,7.591300
osquery,nmew,33,685,0.542119,9.648932
osquery,nmew,34,685,0.547914,3.137603
osquery,nmew,35,711,0.549427,24.263285
osquery,nmew,36,711,0.549378,0.631493
