dataset,technique,revision,nCells,avgAR,avgMov
scikitlearn,nmew,0,256,0.548978,0.000000
scikitlearn,nmew,1,263,0.501365,214.594440
scikitlearn,nmew,2,223,0.476563,168.121031
scikitlearn,nmew,3,249,0.497792,197.217172
scikitlearn,nmew,4,253,0.515259,70.406246
scikitlearn,nmew,5,144,0.527750,158.192152
scikitlearn,nmew,6,196,0.515778,127.320856
scikitlearn,nmew,7,239,0.529449,149.472842
scikitlearn,nmew,8,309,0.493005,173.107031
scikitlearn,nmew,9,325,0.506002,89.555759
scikitlearn,nmew,10,374,0.511702,141.966493
scikitlearn,nmew,11,374,0.519539,36.124123
scikitlearn,nmew,12,387,0.498793,21.035085
scikitlearn,nmew,13,384,0.511352,19.506804
scikitlearn,nmew,14,390,0.514093,40.032391
scikitlearn,nmew,15,411,0.501138,36.206805
scikitlearn,nmew,16,424,0.500330,18.870254
scikitlearn,nmew,17,431,0.509738,25.807665
scikitlearn,nmew,18,452,0.494585,42.616915
scikitlearn,nmew,19,468,0.494493,54.621421
scikitlearn,nmew,20,512,0.487949,182.659736
scikitlearn,nmew,21,530,0.503821,27.697204
scikitlearn,nmew,22,543,0.483492,82.342286
scikitlearn,nmew,23,558,0.489318,16.761654
scikitlearn,nmew,24,564,0.487675,21.866275
scikitlearn,nmew,25,575,0.496718,81.998379
scikitlearn,nmew,26,614,0.498288,72.045634
scikitlearn,nmew,27,616,0.493650,9.048392
scikitlearn,nmew,28,618,0.496665,12.793829
scikitlearn,nmew,29,618,0.501644,11.555426
scikitlearn,nmew,30,588,0.511926,21.963249
scikitlearn,nmew,31,596,0.503278,74.717278
scikitlearn,nmew,32,596,0.509985,13.720426
scikitlearn,nmew,33,596,0.513706,10.313307
scikitlearn,nmew,34,619,0.505296,46.063454
scikitlearn,nmew,35,627,0.503037,9.118737
scikitlearn,nmew,36,634,0.509290,26.940610
scikitlearn,nmew,37,636,0.519600,6.084900
scikitlearn,nmew,38,640,0.519052,22.494733
scikitlearn,nmew,39,641,0.515097,18.723166
scikitlearn,nmew,40,651,0.520065,9.264091
scikitlearn,nmew,41,663,0.519068,32.010408
scikitlearn,nmew,42,715,0.492146,93.713091
scikitlearn,nmew,43,717,0.490384,1.199291
scikitlearn,nmew,44,721,0.502264,60.466072
scikitlearn,nmew,45,724,0.505019,2.209964
scikitlearn,nmew,46,723,0.504873,4.061097
scikitlearn,nmew,47,728,0.497609,9.806647
scikitlearn,nmew,48,746,0.501417,41.425173
scikitlearn,nmew,49,748,0.498547,0.784778
scikitlearn,nmew,50,729,0.492278,12.543887
scikitlearn,nmew,51,732,0.495185,0.763273
scikitlearn,nmew,52,731,0.495519,1.559555
scikitlearn,nmew,53,735,0.502072,3.599236
scikitlearn,nmew,54,741,0.493825,22.681455
scikitlearn,nmew,55,742,0.490325,0.998716
scikitlearn,nmew,56,741,0.489650,39.656128
scikitlearn,nmew,57,741,0.490722,0.801538
scikitlearn,nmew,58,749,0.489665,4.952961
scikitlearn,nmew,59,760,0.487410,74.000232
scikitlearn,nmew,60,765,0.491401,35.078189
scikitlearn,nmew,61,772,0.500274,12.508974
scikitlearn,nmew,62,772,0.495925,27.063131
scikitlearn,nmew,63,773,0.498328,0.562458
scikitlearn,nmew,64,783,0.485361,49.469462
scikitlearn,nmew,65,780,0.484126,5.685447
scikitlearn,nmew,66,784,0.486522,2.607037
scikitlearn,nmew,67,792,0.488937,4.525727
scikitlearn,nmew,68,805,0.500104,64.974093
scikitlearn,nmew,69,843,0.508567,31.482797
scikitlearn,nmew,70,804,0.531455,75.335587
scikitlearn,nmew,71,808,0.530064,1.444983
scikitlearn,nmew,72,812,0.528856,1.713996
scikitlearn,nmew,73,817,0.528126,2.284118
scikitlearn,nmew,74,824,0.527006,22.382003
scikitlearn,nmew,75,827,0.544049,32.458768
scikitlearn,nmew,76,827,0.543968,0.258553
scikitlearn,nmew,77,828,0.544575,4.079410
scikitlearn,nmew,78,831,0.546139,2.064228
scikitlearn,nmew,79,848,0.535764,26.653215
scikitlearn,nmew,80,849,0.538011,2.898383
scikitlearn,nmew,81,857,0.536983,3.315412
scikitlearn,nmew,82,854,0.537167,2.793472
scikitlearn,nmew,83,862,0.537589,29.722893
scikitlearn,nmew,84,864,0.539170,1.577829
scikitlearn,nmew,85,864,0.538824,0.753533
scikitlearn,nmew,86,868,0.537218,12.550801
scikitlearn,nmew,87,868,0.536732,0.473632
