dataset,technique,revision,nCells,avgAR,avgMov
shellcheck,nmew,0,12,0.536018,0.000000
shellcheck,nmew,1,12,0.433533,1.176541
shellcheck,nmew,2,12,0.429090,0.480457
shellcheck,nmew,3,12,0.424813,0.546276
shellcheck,nmew,4,12,0.421529,0.395964
shellcheck,nmew,5,12,0.405718,1.932914
shellcheck,nmew,6,12,0.394578,2.175610
shellcheck,nmew,7,12,0.376091,3.738457
shellcheck,nmew,8,12,0.369988,0.830504
shellcheck,nmew,9,13,0.343569,14.005851
shellcheck,nmew,10,13,0.341227,0.571586
shellcheck,nmew,11,12,0.399347,31.058798
shellcheck,nmew,12,12,0.409642,1.387563
shellcheck,nmew,13,13,0.397025,1.946356
shellcheck,nmew,14,13,0.393271,3.013243
shellcheck,nmew,15,13,0.395421,1.231924
shellcheck,nmew,16,13,0.397959,0.837356
shellcheck,nmew,17,12,0.418847,14.053222
shellcheck,nmew,18,11,0.410733,4.872748
shellcheck,nmew,19,11,0.412754,0.311128
shellcheck,nmew,20,12,0.393062,8.215713
shellcheck,nmew,21,12,0.390236,0.228517
shellcheck,nmew,22,12,0.390783,0.205515
shellcheck,nmew,23,12,0.391290,0.313944
shellcheck,nmew,24,12,0.391653,0.059108
shellcheck,nmew,25,12,0.413163,5.898561
shellcheck,nmew,26,12,0.414795,0.809583
shellcheck,nmew,27,12,0.405896,0.961666
shellcheck,nmew,28,13,0.433120,15.605141
shellcheck,nmew,29,13,0.433509,0.332447
shellcheck,nmew,30,13,0.432056,0.339343
shellcheck,nmew,31,13,0.432925,0.891622
shellcheck,nmew,32,21,0.558857,81.311898
shellcheck,nmew,33,21,0.557091,0.451554
shellcheck,nmew,34,21,0.548988,8.237412
shellcheck,nmew,35,21,0.548815,0.023086
shellcheck,nmew,36,23,0.557593,4.281759
shellcheck,nmew,37,23,0.564698,1.409503
shellcheck,nmew,38,23,0.564426,0.222544
shellcheck,nmew,39,24,0.555887,4.410399
shellcheck,nmew,40,27,0.564247,55.442702
shellcheck,nmew,41,27,0.564122,0.105617
shellcheck,nmew,42,27,0.565062,0.769915
shellcheck,nmew,43,27,0.564746,0.524295
shellcheck,nmew,44,27,0.562790,0.475429
shellcheck,nmew,45,28,0.610113,12.706578
shellcheck,nmew,46,28,0.610716,0.190773
shellcheck,nmew,47,29,0.599837,33.513824
shellcheck,nmew,48,30,0.602307,4.254125
shellcheck,nmew,49,30,0.596733,2.178217
shellcheck,nmew,50,30,0.596772,0.296619
shellcheck,nmew,51,30,0.597361,0.132750
shellcheck,nmew,52,30,0.600001,0.764738
