dataset,technique,revision,nCells,avgAR,avgMov
soundnode-app,nmew,0,37,0.268746,0.000000
soundnode-app,nmew,1,82,0.434774,281.792857
soundnode-app,nmew,2,84,0.341718,263.670809
soundnode-app,nmew,3,88,0.388666,17.104190
soundnode-app,nmew,4,89,0.404258,4.204439
soundnode-app,nmew,5,96,0.411818,200.534633
soundnode-app,nmew,6,103,0.409277,36.167776
soundnode-app,nmew,7,117,0.411639,44.614574
soundnode-app,nmew,8,118,0.427033,18.606916
soundnode-app,nmew,9,118,0.432732,1.533456
soundnode-app,nmew,10,116,0.454877,18.874690
soundnode-app,nmew,11,116,0.455507,5.092030
soundnode-app,nmew,12,115,0.450721,0.640965
soundnode-app,nmew,13,115,0.451496,0.793176
soundnode-app,nmew,14,119,0.451338,10.976032
soundnode-app,nmew,15,129,0.457761,57.166847
soundnode-app,nmew,16,147,0.487395,44.912948
soundnode-app,nmew,17,161,0.471970,33.233950
soundnode-app,nmew,18,159,0.501545,315.330974
soundnode-app,nmew,19,164,0.497015,8.824245
soundnode-app,nmew,20,170,0.511333,12.947559
soundnode-app,nmew,21,174,0.510806,6.142437
soundnode-app,nmew,22,174,0.511943,1.582714
soundnode-app,nmew,23,174,0.514319,0.610497
soundnode-app,nmew,24,174,0.514362,0.118587
soundnode-app,nmew,25,177,0.506334,13.612654
soundnode-app,nmew,26,177,0.510781,0.668260
soundnode-app,nmew,27,177,0.510804,0.013451
soundnode-app,nmew,28,177,0.510766,0.145105
soundnode-app,nmew,29,142,0.513509,252.603613
soundnode-app,nmew,30,177,0.510712,201.290862
soundnode-app,nmew,31,135,0.565078,231.324784
soundnode-app,nmew,32,136,0.558645,6.146438
soundnode-app,nmew,33,136,0.558645,0.000000
soundnode-app,nmew,34,136,0.558645,0.000000
