dataset,technique,revision,nCells,avgAR,avgMov
Leaflet,otpbm,0,76,0.529888,0.000000
Leaflet,otpbm,1,76,0.529915,0.052661
Leaflet,otpbm,2,82,0.526364,12.756029
Leaflet,otpbm,3,85,0.535563,12.261594
Leaflet,otpbm,4,93,0.516660,21.085785
Leaflet,otpbm,5,122,0.547722,104.289176
Leaflet,otpbm,6,146,0.541071,173.904204
Leaflet,otpbm,7,130,0.564664,72.220719
Leaflet,otpbm,8,172,0.566473,100.971875
Leaflet,otpbm,9,144,0.542552,127.759222
Leaflet,otpbm,10,172,0.566161,106.950567
Leaflet,otpbm,11,149,0.548790,125.503754
Leaflet,otpbm,12,151,0.557877,7.109383
Leaflet,otpbm,13,152,0.552884,3.991310
Leaflet,otpbm,14,152,0.554070,1.440807
Leaflet,otpbm,15,192,0.537610,119.216998
Leaflet,otpbm,16,157,0.527786,126.126375
Leaflet,otpbm,17,157,0.528017,3.488925
Leaflet,otpbm,18,158,0.507904,175.544924
Leaflet,otpbm,19,161,0.516925,9.560278
Leaflet,otpbm,20,162,0.513265,1.676615
Leaflet,otpbm,21,162,0.512437,1.190706
Leaflet,otpbm,22,164,0.522596,7.094880
Leaflet,otpbm,23,197,0.537578,67.135971
Leaflet,otpbm,24,170,0.514280,32.682866
Leaflet,otpbm,25,171,0.515943,2.081775
Leaflet,otpbm,26,201,0.531701,32.569302
Leaflet,otpbm,27,178,0.517430,37.987509
Leaflet,otpbm,28,207,0.524657,30.717082
Leaflet,otpbm,29,185,0.542365,55.217322
Leaflet,otpbm,30,197,0.535446,22.425399
Leaflet,otpbm,31,212,0.539343,38.533095
Leaflet,otpbm,32,194,0.533856,56.686974
Leaflet,otpbm,33,197,0.546189,2.448177
Leaflet,otpbm,34,232,0.538576,108.369416
Leaflet,otpbm,35,201,0.551807,167.279745
Leaflet,otpbm,36,201,0.551918,0.071097
Leaflet,otpbm,37,201,0.551807,0.071097
Leaflet,otpbm,38,204,0.545013,7.397828
Leaflet,otpbm,39,205,0.547934,0.821957
Leaflet,otpbm,40,205,0.548672,0.656758
Leaflet,otpbm,41,207,0.552626,6.673563
Leaflet,otpbm,42,203,0.550189,22.356129
Leaflet,otpbm,43,239,0.538716,146.712569
Leaflet,otpbm,44,204,0.550618,161.571798
Leaflet,otpbm,45,206,0.552285,2.937798
Leaflet,otpbm,46,206,0.552640,0.195990
Leaflet,otpbm,47,206,0.552565,0.112461
Leaflet,otpbm,48,206,0.552388,0.115969
Leaflet,otpbm,49,206,0.553220,1.250485
Leaflet,otpbm,50,239,0.538839,138.118682
Leaflet,otpbm,51,207,0.556148,159.896057
Leaflet,otpbm,52,239,0.538842,138.275391
Leaflet,otpbm,53,210,0.554891,156.916565
Leaflet,otpbm,54,211,0.548927,4.632559
Leaflet,otpbm,55,239,0.538843,139.008157
Leaflet,otpbm,56,209,0.554981,157.545923
Leaflet,otpbm,57,239,0.538842,137.027789
Leaflet,otpbm,58,239,0.538842,0.000000
Leaflet,otpbm,59,239,0.538770,0.178058
Leaflet,otpbm,60,243,0.535796,104.354026
Leaflet,otpbm,61,218,0.562107,97.015326
Leaflet,otpbm,62,218,0.562362,0.819113
Leaflet,otpbm,63,218,0.560923,1.022357
Leaflet,otpbm,64,219,0.558969,1.941497
Leaflet,otpbm,65,217,0.555327,2.768250
Leaflet,otpbm,66,219,0.558781,3.304668
Leaflet,otpbm,67,30,0.474374,153.007551
Leaflet,otpbm,68,224,0.563112,17.692429
Leaflet,otpbm,69,227,0.581308,7.394534
Leaflet,otpbm,70,234,0.580090,26.792801
Leaflet,otpbm,71,228,0.579336,9.916706
Leaflet,otpbm,72,229,0.583792,3.289964
Leaflet,otpbm,73,237,0.590694,10.911162
Leaflet,otpbm,74,273,0.543617,161.369376
Leaflet,otpbm,75,263,0.550057,4.248770
Leaflet,otpbm,76,263,0.551152,0.408131
Leaflet,otpbm,77,266,0.535831,48.151907
Leaflet,otpbm,78,266,0.535811,0.171847
Leaflet,otpbm,79,269,0.523618,35.954081
Leaflet,otpbm,80,281,0.498601,4.261077
Leaflet,otpbm,81,281,0.498075,0.664626
Leaflet,otpbm,82,285,0.499213,6.148248
Leaflet,otpbm,83,286,0.503496,4.902306
