dataset,technique,revision,nCells,avgAR,avgMov
bootstrap,otpbm,0,27,0.539367,0.000000
bootstrap,otpbm,1,31,0.488410,5.396642
bootstrap,otpbm,2,25,0.557756,81.108251
bootstrap,otpbm,3,25,0.580118,11.727755
bootstrap,otpbm,4,28,0.568553,29.910978
bootstrap,otpbm,5,50,0.520159,153.812261
bootstrap,otpbm,6,52,0.535867,12.717453
bootstrap,otpbm,7,67,0.554075,37.984571
bootstrap,otpbm,8,74,0.511543,101.736801
bootstrap,otpbm,9,144,0.471507,73.703073
bootstrap,otpbm,10,142,0.470526,8.316865
bootstrap,otpbm,11,151,0.475447,67.739152
bootstrap,otpbm,12,157,0.455612,23.760094
bootstrap,otpbm,13,159,0.450117,4.848708
bootstrap,otpbm,14,159,0.449661,72.838893
bootstrap,otpbm,15,162,0.448225,20.447854
bootstrap,otpbm,16,161,0.442303,72.661162
bootstrap,otpbm,17,7,0.738998,0.000000
bootstrap,otpbm,18,173,0.464365,76.305427
bootstrap,otpbm,19,161,0.441523,81.592009
bootstrap,otpbm,20,170,0.468577,13.890864
bootstrap,otpbm,21,170,0.465831,84.633644
bootstrap,otpbm,22,169,0.500480,22.259731
bootstrap,otpbm,23,10,0.669633,23.344433
bootstrap,otpbm,24,122,0.494228,57.583586
bootstrap,otpbm,25,120,0.506196,35.128361
bootstrap,otpbm,26,122,0.504305,5.083253
bootstrap,otpbm,27,129,0.509087,40.855949
bootstrap,otpbm,28,129,0.521490,37.634601
bootstrap,otpbm,29,128,0.497956,60.464863
bootstrap,otpbm,30,117,0.528096,124.102795
bootstrap,otpbm,31,117,0.528763,0.212454
bootstrap,otpbm,32,117,0.528797,0.023338
bootstrap,otpbm,33,170,0.497587,25.249212
bootstrap,otpbm,34,170,0.497583,0.052800
bootstrap,otpbm,35,170,0.497563,0.045242
bootstrap,otpbm,36,170,0.503455,104.619568
bootstrap,otpbm,37,171,0.512259,30.858498
bootstrap,otpbm,38,171,0.512891,0.892007
bootstrap,otpbm,39,129,0.509153,107.315406
bootstrap,otpbm,40,186,0.496784,94.414323
bootstrap,otpbm,41,191,0.500318,78.172444
bootstrap,otpbm,42,200,0.472041,55.161709
bootstrap,otpbm,43,202,0.473156,1.211783
bootstrap,otpbm,44,205,0.463143,43.677792
bootstrap,otpbm,45,311,0.470004,50.619194
bootstrap,otpbm,46,316,0.472597,6.629664
bootstrap,otpbm,47,312,0.492174,87.190424
bootstrap,otpbm,48,321,0.495503,6.193898
bootstrap,otpbm,49,317,0.492412,102.160876
bootstrap,otpbm,50,317,0.492104,3.605858
bootstrap,otpbm,51,318,0.490637,1.366993
bootstrap,otpbm,52,320,0.492136,10.848396
bootstrap,otpbm,53,247,0.474322,91.888221
bootstrap,otpbm,54,245,0.546634,105.441751
bootstrap,otpbm,55,333,0.462467,135.567746
bootstrap,otpbm,56,331,0.466864,140.158145
bootstrap,otpbm,57,328,0.468402,17.818344
bootstrap,otpbm,58,335,0.460071,20.710687
bootstrap,otpbm,59,243,0.522418,101.059401
bootstrap,otpbm,60,258,0.532569,68.733485
bootstrap,otpbm,61,279,0.552535,28.257111
bootstrap,otpbm,62,335,0.450728,168.647222
bootstrap,otpbm,63,328,0.460463,156.699003
bootstrap,otpbm,64,285,0.545729,80.368643
bootstrap,otpbm,65,282,0.548545,23.060371
bootstrap,otpbm,66,282,0.548545,0.000000
bootstrap,otpbm,67,282,0.548545,0.000000
bootstrap,otpbm,68,293,0.543254,68.893354
bootstrap,otpbm,69,285,0.486843,79.482603
bootstrap,otpbm,70,285,0.486820,0.044327
bootstrap,otpbm,71,285,0.486843,0.044327
bootstrap,otpbm,72,285,0.486843,0.000000
bootstrap,otpbm,73,285,0.486843,0.000000
bootstrap,otpbm,74,296,0.483592,4.245926
bootstrap,otpbm,75,296,0.482929,1.065486
bootstrap,otpbm,76,295,0.485563,16.804702
bootstrap,otpbm,77,295,0.531486,22.879220
bootstrap,otpbm,78,296,0.530742,0.609785
bootstrap,otpbm,79,296,0.531490,1.049608
bootstrap,otpbm,80,283,0.526870,28.162394
bootstrap,otpbm,81,286,0.543187,21.593504
bootstrap,otpbm,82,286,0.543258,1.699862
bootstrap,otpbm,83,287,0.541083,2.238790
bootstrap,otpbm,84,296,0.519881,43.082226
bootstrap,otpbm,85,297,0.527934,2.530831
bootstrap,otpbm,86,290,0.518895,39.396446
bootstrap,otpbm,87,288,0.518282,9.247969
bootstrap,otpbm,88,288,0.511969,6.591725
bootstrap,otpbm,89,289,0.492846,55.693067
bootstrap,otpbm,90,288,0.503543,9.206260
bootstrap,otpbm,91,288,0.503543,0.000000
