dataset,technique,revision,nCells,avgAR,avgMov
caffe,otpbm,0,70,0.586031,0.000000
caffe,otpbm,1,92,0.465642,16.381112
caffe,otpbm,2,93,0.403772,259.788502
caffe,otpbm,3,93,0.408629,168.348931
caffe,otpbm,4,94,0.416915,9.028828
caffe,otpbm,5,145,0.474029,45.328778
caffe,otpbm,6,175,0.470054,39.695636
caffe,otpbm,7,183,0.463861,12.777696
caffe,otpbm,8,201,0.510444,20.335242
caffe,otpbm,9,205,0.493805,15.767082
caffe,otpbm,10,220,0.491962,27.913384
caffe,otpbm,11,259,0.501382,47.959063
caffe,otpbm,12,276,0.497730,23.697820
caffe,otpbm,13,273,0.499516,3.102591
caffe,otpbm,14,290,0.513949,74.632572
caffe,otpbm,15,291,0.512179,1.677810
caffe,otpbm,16,293,0.532497,71.101086
caffe,otpbm,17,304,0.530028,73.618920
caffe,otpbm,18,306,0.523636,4.424935
caffe,otpbm,19,306,0.523666,0.035629
caffe,otpbm,20,328,0.508409,15.705488
caffe,otpbm,21,343,0.521223,8.778232
caffe,otpbm,22,343,0.520177,0.197548
caffe,otpbm,23,363,0.516479,38.033177
caffe,otpbm,24,363,0.513652,32.215596
caffe,otpbm,25,384,0.527439,63.356006
caffe,otpbm,26,385,0.522638,0.612946
caffe,otpbm,27,443,0.542324,32.148704
caffe,otpbm,28,452,0.540441,33.815553
caffe,otpbm,29,457,0.532796,2.885149
caffe,otpbm,30,464,0.534259,8.496005
caffe,otpbm,31,464,0.533671,0.950253
caffe,otpbm,32,472,0.531962,2.926554
caffe,otpbm,33,481,0.521516,25.720927
caffe,otpbm,34,481,0.527625,3.644187
caffe,otpbm,35,481,0.527713,0.238525
caffe,otpbm,36,481,0.527368,0.402312
caffe,otpbm,37,481,0.527294,0.008831
caffe,otpbm,38,481,0.526218,0.256418
caffe,otpbm,39,481,0.526348,0.069303
caffe,otpbm,40,481,0.527172,3.103588
caffe,otpbm,41,481,0.526850,0.484993
caffe,otpbm,42,482,0.523319,1.517593
caffe,otpbm,43,483,0.523106,1.008097
