dataset,technique,revision,nCells,avgAR,avgMov
d3,otpbm,0,62,0.500036,0.000000
d3,otpbm,1,86,0.526956,77.495186
d3,otpbm,2,158,0.492727,115.382436
d3,otpbm,3,161,0.493391,8.744109
d3,otpbm,4,181,0.487861,34.063495
d3,otpbm,5,220,0.471135,238.038743
d3,otpbm,6,273,0.457775,87.030207
d3,otpbm,7,339,0.465477,71.767173
d3,otpbm,8,372,0.475286,13.748409
d3,otpbm,9,413,0.484063,18.988574
d3,otpbm,10,475,0.479438,57.882270
d3,otpbm,11,564,0.517047,90.729656
d3,otpbm,12,586,0.530123,10.053379
d3,otpbm,13,605,0.522684,34.296363
d3,otpbm,14,617,0.522656,12.959912
d3,otpbm,15,621,0.525312,4.891118
d3,otpbm,16,621,0.525798,0.742334
d3,otpbm,17,615,0.521410,177.298351
d3,otpbm,18,622,0.528393,7.512081
d3,otpbm,19,625,0.526502,5.547038
d3,otpbm,20,626,0.526009,0.053152
d3,otpbm,21,627,0.527156,1.285635
d3,otpbm,22,633,0.529844,16.603203
d3,otpbm,23,646,0.543396,10.340443
d3,otpbm,24,655,0.545235,3.572104
d3,otpbm,25,616,0.535357,34.514641
d3,otpbm,26,579,0.544163,60.840217
d3,otpbm,27,412,0.532675,170.109477
d3,otpbm,28,411,0.523141,18.052914
d3,otpbm,29,413,0.525696,2.159934
d3,otpbm,30,494,0.519130,56.209296
d3,otpbm,31,494,0.514072,18.924136
d3,otpbm,32,497,0.521754,33.883411
d3,otpbm,33,506,0.528432,22.545827
d3,otpbm,34,509,0.532547,6.159282
d3,otpbm,35,514,0.523779,8.520324
d3,otpbm,36,513,0.521941,1.625534
d3,otpbm,37,524,0.509700,28.527411
d3,otpbm,38,524,0.509691,0.016153
d3,otpbm,39,524,0.510056,0.154173
d3,otpbm,40,528,0.513790,28.293564
d3,otpbm,41,528,0.513731,0.163727
d3,otpbm,42,535,0.518606,2.774834
d3,otpbm,43,535,0.519349,1.105103
d3,otpbm,44,537,0.517928,1.797365
d3,otpbm,45,537,0.519879,0.698096
d3,otpbm,46,538,0.517483,0.403264
d3,otpbm,47,540,0.514617,1.022249
d3,otpbm,48,538,0.517352,1.026382
d3,otpbm,49,545,0.518225,26.123387
d3,otpbm,50,549,0.514647,0.863882
d3,otpbm,51,554,0.523206,6.609446
d3,otpbm,52,555,0.522301,0.888465
d3,otpbm,53,558,0.522699,130.417696
d3,otpbm,54,558,0.522758,0.027901
d3,otpbm,55,559,0.522144,0.262566
d3,otpbm,56,558,0.522699,0.242964
d3,otpbm,57,558,0.522571,0.070990
d3,otpbm,58,559,0.521799,0.193242
d3,otpbm,59,559,0.522016,0.173121
d3,otpbm,60,564,0.524703,4.156338
d3,otpbm,61,564,0.524217,1.130172
d3,otpbm,62,564,0.524146,0.221044
d3,otpbm,63,5,0.438417,41.543200
d3,otpbm,64,5,0.436688,0.167582
d3,otpbm,65,4,0.504227,2.329601
d3,otpbm,66,4,0.503968,0.129400
d3,otpbm,67,5,0.498224,36.313689
d3,otpbm,68,5,0.503851,1.392043
d3,otpbm,69,5,0.441848,31.939187
d3,otpbm,70,6,0.444179,38.169665
d3,otpbm,71,7,0.317470,68.158824
d3,otpbm,72,7,0.317350,0.064874
d3,otpbm,73,7,0.317350,0.000000
d3,otpbm,74,7,0.578019,112.304962
d3,otpbm,75,7,0.578019,0.000000
d3,otpbm,76,7,0.578019,0.000000
d3,otpbm,77,7,0.578019,0.000000
