dataset,technique,revision,nCells,avgAR,avgMov
exo,otpbm,0,182,0.522463,0.000000
exo,otpbm,1,188,0.512838,17.987342
exo,otpbm,2,189,0.509002,5.733645
exo,otpbm,3,191,0.507928,47.022674
exo,otpbm,4,196,0.516936,46.100387
exo,otpbm,5,197,0.519389,5.906271
exo,otpbm,6,197,0.520249,1.528108
exo,otpbm,7,203,0.513341,20.358678
exo,otpbm,8,211,0.523526,30.437422
exo,otpbm,9,219,0.523332,33.311910
exo,otpbm,10,227,0.520030,49.357082
exo,otpbm,11,205,0.516648,62.261009
exo,otpbm,12,202,0.510178,17.763969
exo,otpbm,13,232,0.503570,55.840304
exo,otpbm,14,242,0.492886,61.650845
exo,otpbm,15,248,0.498532,37.293991
exo,otpbm,16,254,0.506801,8.453825
exo,otpbm,17,300,0.493650,33.880544
exo,otpbm,18,307,0.492497,137.349242
exo,otpbm,19,340,0.502502,41.300435
exo,otpbm,20,316,0.499019,54.789932
exo,otpbm,21,320,0.499890,7.842300
exo,otpbm,22,323,0.498609,2.303189
exo,otpbm,23,322,0.499792,1.774183
exo,otpbm,24,324,0.503482,11.100191
exo,otpbm,25,330,0.528462,51.519882
exo,otpbm,26,378,0.482994,116.279823
exo,otpbm,27,404,0.507432,121.675319
exo,otpbm,28,410,0.504718,4.905579
exo,otpbm,29,413,0.504492,24.024078
exo,otpbm,30,312,0.495816,138.810924
exo,otpbm,31,418,0.491880,112.112623
exo,otpbm,32,420,0.499684,4.655215
exo,otpbm,33,421,0.507441,74.095718
exo,otpbm,34,421,0.512736,3.536363
exo,otpbm,35,422,0.513258,5.652824
exo,otpbm,36,425,0.511714,16.255453
exo,otpbm,37,464,0.485585,175.099787
exo,otpbm,38,466,0.488003,3.915287
exo,otpbm,39,466,0.485981,2.909026
exo,otpbm,40,480,0.489059,3.936731
exo,otpbm,41,488,0.484232,17.462546
exo,otpbm,42,482,0.482556,14.861145
exo,otpbm,43,494,0.483103,18.173915
exo,otpbm,44,495,0.485126,16.043990
exo,otpbm,45,498,0.481681,18.804487
exo,otpbm,46,504,0.483762,4.033020
exo,otpbm,47,505,0.486191,64.378493
exo,otpbm,48,510,0.485212,14.653602
exo,otpbm,49,511,0.480408,6.484863
exo,otpbm,50,535,0.486576,22.857946
exo,otpbm,51,401,0.511477,43.108305
exo,otpbm,52,412,0.506371,110.731345
exo,otpbm,53,415,0.504351,6.575437
exo,otpbm,54,426,0.508331,7.522699
exo,otpbm,55,434,0.504634,109.158634
exo,otpbm,56,452,0.489323,34.801291
exo,otpbm,57,550,0.503760,68.238402
exo,otpbm,58,556,0.517257,13.032692
exo,otpbm,59,556,0.516660,12.138104
exo,otpbm,60,559,0.509601,25.886117
exo,otpbm,61,561,0.513519,67.338396
exo,otpbm,62,561,0.512762,69.446920
exo,otpbm,63,583,0.510439,67.045120
exo,otpbm,64,588,0.513106,7.740851
exo,otpbm,65,604,0.498613,212.205688
exo,otpbm,66,629,0.498876,289.645198
exo,otpbm,67,627,0.499809,2.744210
exo,otpbm,68,634,0.505057,1.082065
exo,otpbm,69,635,0.500338,0.603101
exo,otpbm,70,643,0.497373,1.550025
exo,otpbm,71,645,0.488420,3.028297
exo,otpbm,72,659,0.480265,2.447336
exo,otpbm,73,662,0.482520,0.487165
exo,otpbm,74,663,0.484014,0.277648
exo,otpbm,75,666,0.483661,0.458637
exo,otpbm,76,677,0.482650,1.521784
exo,otpbm,77,708,0.483805,12.064017
exo,otpbm,78,712,0.485377,0.394696
exo,otpbm,79,881,0.532367,2.306789
exo,otpbm,80,881,0.532648,0.299652
exo,otpbm,81,884,0.535019,0.299360
exo,otpbm,82,884,0.535082,0.863330
exo,otpbm,83,888,0.534127,0.183730
exo,otpbm,84,886,0.535007,0.600067
exo,otpbm,85,898,0.530542,2.033217
exo,otpbm,86,908,0.533133,1.433640
exo,otpbm,87,909,0.534102,0.313678
exo,otpbm,88,910,0.533697,0.610959
exo,otpbm,89,664,0.482863,9.314923
exo,otpbm,90,914,0.533044,6.600100
exo,otpbm,91,919,0.530299,0.996339
exo,otpbm,92,929,0.529351,1.808164
exo,otpbm,93,935,0.525051,1.378807
exo,otpbm,94,946,0.529131,1.149875
exo,otpbm,95,948,0.530231,0.214261
exo,otpbm,96,954,0.529915,1.373196
