dataset,technique,revision,nCells,avgAR,avgMov
exports,otpbm,0,96,0.559996,0.000000
exports,otpbm,1,98,0.561589,51.748202
exports,otpbm,2,99,0.559641,26.339981
exports,otpbm,3,99,0.571353,12.806120
exports,otpbm,4,100,0.577908,23.633958
exports,otpbm,5,106,0.570772,32.022382
exports,otpbm,6,107,0.564431,22.476310
exports,otpbm,7,110,0.559965,24.653335
exports,otpbm,8,111,0.554101,25.497053
exports,otpbm,9,111,0.548084,5.588345
exports,otpbm,10,115,0.581867,33.876291
exports,otpbm,11,115,0.586069,9.779172
exports,otpbm,12,116,0.592125,7.006039
exports,otpbm,13,116,0.591222,12.921075
exports,otpbm,14,117,0.573443,19.935721
exports,otpbm,15,120,0.568053,32.245021
exports,otpbm,16,123,0.567195,24.304789
exports,otpbm,17,129,0.586880,58.998325
exports,otpbm,18,128,0.576603,33.642801
exports,otpbm,19,128,0.582556,24.255667
exports,otpbm,20,142,0.589417,59.403349
exports,otpbm,21,144,0.583922,15.333412
exports,otpbm,22,144,0.574093,26.484585
exports,otpbm,23,145,0.579897,14.895807
exports,otpbm,24,144,0.576854,20.910590
exports,otpbm,25,145,0.579707,11.019739
exports,otpbm,26,147,0.575223,38.278974
exports,otpbm,27,147,0.569980,43.999127
exports,otpbm,28,147,0.576939,23.470734
exports,otpbm,29,151,0.567824,17.559253
exports,otpbm,30,167,0.586507,25.391933
exports,otpbm,31,172,0.585583,21.621586
exports,otpbm,32,174,0.571374,21.941396
exports,otpbm,33,175,0.566313,15.215674
exports,otpbm,34,181,0.547995,32.542537
exports,otpbm,35,187,0.565474,23.365536
exports,otpbm,36,188,0.567157,12.614148
exports,otpbm,37,189,0.572897,13.816217
exports,otpbm,38,189,0.578006,17.678720
exports,otpbm,39,189,0.578300,9.473277
exports,otpbm,40,191,0.575247,18.505802
exports,otpbm,41,191,0.573593,6.412350
exports,otpbm,42,193,0.581140,7.250869
exports,otpbm,43,193,0.584272,5.182113
exports,otpbm,44,193,0.583853,7.675823
exports,otpbm,45,192,0.581841,10.980909
exports,otpbm,46,193,0.588668,6.311712
exports,otpbm,47,193,0.589640,6.571460
exports,otpbm,48,192,0.568270,14.324893
exports,otpbm,49,193,0.582873,7.727824
exports,otpbm,50,193,0.583726,6.444280
exports,otpbm,51,194,0.600385,5.804978
exports,otpbm,52,191,0.599308,19.916935
exports,otpbm,53,191,0.601692,15.760712
exports,otpbm,54,186,0.598708,27.549307
exports,otpbm,55,172,0.642750,32.626895
