dataset,technique,revision,nCells,avgAR,avgMov
hiv,otpbm,0,109,0.242604,0.000000
hiv,otpbm,1,109,0.267926,23.353771
hiv,otpbm,2,109,0.276009,37.196451
hiv,otpbm,3,109,0.293312,69.667551
hiv,otpbm,4,109,0.298123,34.690301
hiv,otpbm,5,109,0.303925,5.654405
hiv,otpbm,6,109,0.303162,5.274372
hiv,otpbm,7,109,0.312244,38.008757
hiv,otpbm,8,109,0.316653,3.982113
hiv,otpbm,9,109,0.318940,8.227900
hiv,otpbm,10,109,0.319950,2.767507
hiv,otpbm,11,109,0.322249,30.767846
hiv,otpbm,12,109,0.329469,4.501785
hiv,otpbm,13,109,0.333179,3.328127
hiv,otpbm,14,109,0.339614,5.408064
hiv,otpbm,15,109,0.346050,8.798655
hiv,otpbm,16,109,0.353291,19.004906
hiv,otpbm,17,109,0.357678,5.920961
hiv,otpbm,18,109,0.357903,14.552118
hiv,otpbm,19,109,0.373126,20.588204
hiv,otpbm,20,109,0.361597,13.164910
hiv,otpbm,21,109,0.360529,13.989945
hiv,otpbm,22,109,0.366111,23.474892
hiv,otpbm,23,109,0.380613,60.893712
hiv,otpbm,24,109,0.374821,38.324309
