dataset,technique,revision,nCells,avgAR,avgMov
jenkins,otpbm,0,300,0.455815,0.000000
jenkins,otpbm,1,371,0.469590,141.886036
jenkins,otpbm,2,425,0.474291,47.709878
jenkins,otpbm,3,489,0.438555,196.141958
jenkins,otpbm,4,526,0.453506,12.454262
jenkins,otpbm,5,560,0.468369,8.819619
jenkins,otpbm,6,568,0.459667,7.580881
jenkins,otpbm,7,594,0.463948,28.933776
jenkins,otpbm,8,613,0.472434,12.286759
jenkins,otpbm,9,646,0.488752,33.731039
jenkins,otpbm,10,655,0.488752,3.260585
jenkins,otpbm,11,757,0.465528,45.323542
jenkins,otpbm,12,787,0.470336,33.973399
jenkins,otpbm,13,819,0.475500,52.004851
jenkins,otpbm,14,841,0.472194,5.201358
jenkins,otpbm,15,897,0.478397,4.487473
jenkins,otpbm,16,1193,0.527436,16.533875
jenkins,otpbm,17,1323,0.530803,210.563660
jenkins,otpbm,18,1526,0.553911,15.792294
jenkins,otpbm,19,1563,0.549454,35.052276
jenkins,otpbm,20,1620,0.550366,5.906771
jenkins,otpbm,21,1716,0.544422,253.376118
jenkins,otpbm,22,1772,0.547198,34.304577
jenkins,otpbm,23,1788,0.546244,24.618237
jenkins,otpbm,24,1837,0.542121,6.186024
jenkins,otpbm,25,1864,0.544174,29.749601
jenkins,otpbm,26,1914,0.538216,8.373330
jenkins,otpbm,27,1994,0.559120,40.022097
jenkins,otpbm,28,2047,0.554535,51.001824
jenkins,otpbm,29,2107,0.556402,293.050813
jenkins,otpbm,30,2149,0.557403,7.556199
jenkins,otpbm,31,2114,0.558664,19.895897
jenkins,otpbm,32,2157,0.567399,280.917325
jenkins,otpbm,33,2199,0.557343,267.458695
jenkins,otpbm,34,2214,0.553698,27.427694
jenkins,otpbm,35,2270,0.560636,11.905695
jenkins,otpbm,36,2306,0.560618,266.423394
jenkins,otpbm,37,2212,0.556065,9.415541
jenkins,otpbm,38,2254,0.553274,4.730990
jenkins,otpbm,39,2265,0.552414,1.667734
jenkins,otpbm,40,2320,0.554788,45.498331
jenkins,otpbm,41,2331,0.555917,288.162077
jenkins,otpbm,42,2348,0.554877,2.121412
jenkins,otpbm,43,2359,0.553299,4.288112
jenkins,otpbm,44,2385,0.555643,1.569713
jenkins,otpbm,45,2428,0.556951,3.572181
jenkins,otpbm,46,2468,0.554299,10.028266
jenkins,otpbm,47,2492,0.551603,2.202891
jenkins,otpbm,48,2514,0.551573,8.973041
jenkins,otpbm,49,2576,0.552601,244.072594
jenkins,otpbm,50,2577,0.551794,0.548851
jenkins,otpbm,51,2577,0.551799,0.007528
jenkins,otpbm,52,2592,0.551832,3.965786
jenkins,otpbm,53,2592,0.551813,0.028882
jenkins,otpbm,54,2592,0.551815,0.007232
jenkins,otpbm,55,2598,0.552907,268.077137
jenkins,otpbm,56,2559,0.554258,345.001837
jenkins,otpbm,57,2604,0.551894,339.811652
jenkins,otpbm,58,2556,0.551797,345.843615
jenkins,otpbm,59,2577,0.552435,4.291068
jenkins,otpbm,60,2591,0.551563,2.646255
jenkins,otpbm,61,2623,0.545059,64.011600
jenkins,otpbm,62,2600,0.551579,190.330384
jenkins,otpbm,63,2658,0.545511,77.655945
jenkins,otpbm,64,2623,0.542512,61.136648
jenkins,otpbm,65,2634,0.545254,55.591742
jenkins,otpbm,66,2653,0.546732,2.589982
jenkins,otpbm,67,2665,0.549520,2.146006
jenkins,otpbm,68,2720,0.547494,11.055868
jenkins,otpbm,69,2750,0.546466,9.957125
jenkins,otpbm,70,2771,0.548305,10.803352
jenkins,otpbm,71,2796,0.545813,3.502590
jenkins,otpbm,72,2803,0.544728,2.704290
jenkins,otpbm,73,2845,0.542370,6.316646
jenkins,otpbm,74,2858,0.545340,1.179532
jenkins,otpbm,75,2866,0.545472,0.847859
jenkins,otpbm,76,2891,0.543199,154.215104
jenkins,otpbm,77,2914,0.544480,2.168503
jenkins,otpbm,78,2930,0.544978,2.431201
jenkins,otpbm,79,2904,0.542940,2.613938
jenkins,otpbm,80,2937,0.542173,2.380612
jenkins,otpbm,81,3119,0.551335,5.800935
jenkins,otpbm,82,3129,0.551004,0.155798
jenkins,otpbm,83,3119,0.551335,0.156298
jenkins,otpbm,84,3134,0.550503,1.626598
jenkins,otpbm,85,3151,0.547364,1.215840
jenkins,otpbm,86,3169,0.547197,4.868983
jenkins,otpbm,87,3202,0.549111,9.822298
jenkins,otpbm,88,3253,0.546270,4.797459
jenkins,otpbm,89,3273,0.547049,3.694020
jenkins,otpbm,90,3293,0.547484,1.263859
jenkins,otpbm,91,3019,0.546083,50.416588
jenkins,otpbm,92,3038,0.548468,1.926194
jenkins,otpbm,93,3017,0.547162,1.066208
jenkins,otpbm,94,3000,0.548334,2.025225
jenkins,otpbm,95,2995,0.547936,24.308319
jenkins,otpbm,96,3015,0.546932,2.880174
jenkins,otpbm,97,2928,0.543648,9.943623
jenkins,otpbm,98,2932,0.543987,1.033912
jenkins,otpbm,99,2944,0.542001,26.153166
jenkins,otpbm,100,3004,0.545184,24.550013
jenkins,otpbm,101,2784,0.544089,26.199963
jenkins,otpbm,102,2784,0.544010,0.060214
jenkins,otpbm,103,2796,0.539488,5.148325
jenkins,otpbm,104,2834,0.537777,3.677853
jenkins,otpbm,105,2826,0.536641,1.134537
jenkins,otpbm,106,2833,0.538190,1.626811
jenkins,otpbm,107,2852,0.532759,12.794558
jenkins,otpbm,108,2856,0.534842,4.889892
jenkins,otpbm,109,2812,0.537644,3.838187
jenkins,otpbm,110,2830,0.539551,6.196105
jenkins,otpbm,111,2834,0.538023,2.304086
