dataset,technique,revision,nCells,avgAR,avgMov
uws,otpbm,0,5,0.438495,0.000000
uws,otpbm,1,5,0.432901,6.568175
uws,otpbm,2,5,0.429422,3.640314
uws,otpbm,3,5,0.423463,1.930583
uws,otpbm,4,5,0.418964,2.462498
uws,otpbm,5,5,0.418632,0.339893
uws,otpbm,6,6,0.545913,124.426931
uws,otpbm,7,6,0.555956,4.150257
uws,otpbm,8,8,0.398122,111.644924
uws,otpbm,9,9,0.450053,60.573039
uws,otpbm,10,9,0.408053,5.813833
uws,otpbm,11,9,0.408053,0.000000
uws,otpbm,12,17,0.406599,25.913081
uws,otpbm,13,17,0.403246,1.657847
uws,otpbm,14,16,0.424857,91.310937
uws,otpbm,15,20,0.389720,26.485528
uws,otpbm,16,21,0.391884,12.810452
uws,otpbm,17,21,0.390930,1.656744
uws,otpbm,18,21,0.389004,1.091736
uws,otpbm,19,21,0.388488,0.343312
uws,otpbm,20,21,0.384944,1.116475
uws,otpbm,21,27,0.354741,88.641856
uws,otpbm,22,27,0.343015,19.975657
uws,otpbm,23,27,0.336541,2.394152
uws,otpbm,24,27,0.336336,0.211799
uws,otpbm,25,27,0.337741,2.855020
uws,otpbm,26,27,0.336056,1.389969
uws,otpbm,27,28,0.346250,4.252351
uws,otpbm,28,28,0.345036,0.497590
uws,otpbm,29,28,0.342499,1.846512
uws,otpbm,30,28,0.344470,1.953988
uws,otpbm,31,29,0.347396,4.281705
uws,otpbm,32,29,0.350637,2.518150
uws,otpbm,33,29,0.351293,0.360465
uws,otpbm,34,29,0.352018,0.118445
uws,otpbm,35,30,0.426492,96.072602
uws,otpbm,36,30,0.426083,0.528010
uws,otpbm,37,30,0.426083,0.000000
uws,otpbm,38,30,0.426179,0.077534
uws,otpbm,39,30,0.427314,2.141349
uws,otpbm,40,30,0.429142,0.249334
uws,otpbm,41,30,0.428623,0.362846
uws,otpbm,42,30,0.428702,0.269720
uws,otpbm,43,30,0.429003,0.529063
uws,otpbm,44,30,0.428325,0.863743
uws,otpbm,45,30,0.428619,0.379302
uws,otpbm,46,30,0.428409,0.316746
uws,otpbm,47,30,0.427450,1.268408
uws,otpbm,48,30,0.427487,0.177959
uws,otpbm,49,30,0.425134,3.473879
uws,otpbm,50,31,0.447424,6.579824
uws,otpbm,51,29,0.415455,2.847812
uws,otpbm,52,29,0.415600,0.845210
uws,otpbm,53,30,0.422600,5.786134
uws,otpbm,54,31,0.449306,5.348326
uws,otpbm,55,31,0.449438,0.189691
uws,otpbm,56,31,0.449416,0.429404
uws,otpbm,57,31,0.449416,0.000000
uws,otpbm,58,44,0.463201,1.234091
uws,otpbm,59,44,0.468928,1.946212
uws,otpbm,60,44,0.469070,0.135167
uws,otpbm,61,44,0.462133,3.228884
uws,otpbm,62,44,0.456028,3.523217
uws,otpbm,63,44,0.449320,6.841371
uws,otpbm,64,44,0.451974,2.703614
uws,otpbm,65,44,0.454749,1.604326
uws,otpbm,66,44,0.456143,0.731772
uws,otpbm,67,44,0.456014,0.013981
uws,otpbm,68,44,0.456004,4.906346
uws,otpbm,69,45,0.470740,0.987551
uws,otpbm,70,45,0.471026,0.170732
uws,otpbm,71,45,0.468742,0.957284
uws,otpbm,72,45,0.468613,0.271573
uws,otpbm,73,45,0.471802,1.980264
uws,otpbm,74,45,0.472392,0.176565
uws,otpbm,75,47,0.481695,9.838038
uws,otpbm,76,47,0.467728,2.693903
uws,otpbm,77,47,0.461254,2.671309
uws,otpbm,78,50,0.502063,64.742971
uws,otpbm,79,50,0.502280,0.149506
uws,otpbm,80,50,0.501737,0.151883
uws,otpbm,81,50,0.501678,0.100997
uws,otpbm,82,50,0.501680,0.008795
uws,otpbm,83,50,0.502780,0.238953
uws,otpbm,84,54,0.514660,68.875611
uws,otpbm,85,55,0.521233,12.039691
uws,otpbm,86,57,0.504648,10.996845
uws,otpbm,87,57,0.504577,0.284893
uws,otpbm,88,57,0.504797,0.280568
uws,otpbm,89,57,0.464764,9.255231
uws,otpbm,90,57,0.462044,4.168675
uws,otpbm,91,57,0.463789,2.509547
uws,otpbm,92,57,0.460480,3.247565
uws,otpbm,93,57,0.460602,0.204033
uws,otpbm,94,59,0.471267,5.352869
uws,otpbm,95,61,0.479899,9.198695
uws,otpbm,96,61,0.482813,2.111672
uws,otpbm,97,61,0.483016,0.105197
uws,otpbm,98,61,0.483029,0.043069
uws,otpbm,99,61,0.483029,0.000000
uws,otpbm,100,62,0.481283,1.589497
uws,otpbm,101,65,0.486792,6.750148
uws,otpbm,102,66,0.485761,129.808187
uws,otpbm,103,66,0.484346,0.292305
uws,otpbm,104,66,0.484996,0.690204
uws,otpbm,105,66,0.483961,1.060838
uws,otpbm,106,66,0.481458,2.933729
uws,otpbm,107,67,0.488611,2.134224
uws,otpbm,108,67,0.493918,6.472380
uws,otpbm,109,67,0.489066,2.683666
uws,otpbm,110,67,0.490016,2.879989
uws,otpbm,111,67,0.488685,2.064490
uws,otpbm,112,67,0.489001,2.644273
uws,otpbm,113,67,0.488574,0.504392
uws,otpbm,114,67,0.488574,0.000000
uws,otpbm,115,67,0.487788,2.449862
uws,otpbm,116,67,0.481813,4.566811
uws,otpbm,117,67,0.475689,3.493759
uws,otpbm,118,68,0.473850,2.840213
uws,otpbm,119,68,0.475120,2.817279
uws,otpbm,120,70,0.475375,6.721809
uws,otpbm,121,70,0.475591,0.708480
