dataset,technique,revision,nCells,avgAR,avgMov
OptiKey,otpbs,0,192,0.499411,0.000000
OptiKey,otpbs,1,201,0.501019,7.363995
OptiKey,otpbs,2,206,0.503866,4.695622
OptiKey,otpbs,3,213,0.531912,6.798611
OptiKey,otpbs,4,244,0.510334,12.995476
OptiKey,otpbs,5,271,0.503516,35.919762
OptiKey,otpbs,6,228,0.522767,99.944313
OptiKey,otpbs,7,240,0.527879,16.154414
OptiKey,otpbs,8,251,0.523761,16.688592
OptiKey,otpbs,9,253,0.521883,25.219152
OptiKey,otpbs,10,253,0.521883,0.000000
OptiKey,otpbs,11,258,0.528325,22.491300
OptiKey,otpbs,12,278,0.529251,19.140609
OptiKey,otpbs,13,287,0.520605,92.735542
OptiKey,otpbs,14,299,0.540199,24.548711
OptiKey,otpbs,15,304,0.541828,11.710737
OptiKey,otpbs,16,341,0.521436,0.126261
OptiKey,otpbs,17,304,0.541828,0.141628
OptiKey,otpbs,18,341,0.520832,21.248705
OptiKey,otpbs,19,359,0.533157,45.766156
OptiKey,otpbs,20,377,0.533343,12.179245
OptiKey,otpbs,21,396,0.539632,7.727133
OptiKey,otpbs,22,390,0.540911,13.954329
OptiKey,otpbs,23,393,0.541372,14.340450
OptiKey,otpbs,24,402,0.539427,19.037499
OptiKey,otpbs,25,404,0.541210,5.900494
OptiKey,otpbs,26,404,0.541210,0.000000
OptiKey,otpbs,27,410,0.539297,17.186187
OptiKey,otpbs,28,413,0.534536,5.759233
OptiKey,otpbs,29,421,0.528799,1.253144
OptiKey,otpbs,30,426,0.525299,5.421170
OptiKey,otpbs,31,433,0.508820,18.847084
OptiKey,otpbs,32,431,0.506145,0.248020
OptiKey,otpbs,33,435,0.506714,7.106756
OptiKey,otpbs,34,435,0.506701,0.120973
OptiKey,otpbs,35,440,0.511428,5.888430
