dataset,technique,revision,nCells,avgAR,avgMov
cpython,otpbs,0,3,1.000000,0.000000
cpython,otpbs,1,3,1.000000,0.000000
cpython,otpbs,2,120,0.580991,8.275443
cpython,otpbs,3,130,0.586156,178.364632
cpython,otpbs,4,143,0.582921,17.238012
cpython,otpbs,5,158,0.573770,30.098520
cpython,otpbs,6,158,0.564215,20.706209
cpython,otpbs,7,158,0.563095,7.915855
cpython,otpbs,8,168,0.586552,16.691904
cpython,otpbs,9,172,0.584931,14.651782
cpython,otpbs,10,194,0.574739,14.376144
cpython,otpbs,11,200,0.591896,6.418991
cpython,otpbs,12,203,0.565297,24.102623
cpython,otpbs,13,223,0.568337,96.811845
cpython,otpbs,14,236,0.577507,30.023386
cpython,otpbs,15,241,0.584237,8.070794
cpython,otpbs,16,249,0.580518,10.599890
cpython,otpbs,17,274,0.575415,222.798873
cpython,otpbs,18,277,0.574930,5.561633
cpython,otpbs,19,332,0.558870,63.731655
cpython,otpbs,20,343,0.566054,15.000986
cpython,otpbs,21,351,0.564314,214.032294
cpython,otpbs,22,359,0.575752,212.903370
cpython,otpbs,23,364,0.567295,12.369046
cpython,otpbs,24,393,0.567551,28.236956
cpython,otpbs,25,414,0.573005,54.401498
cpython,otpbs,26,421,0.577522,10.390978
cpython,otpbs,27,425,0.578834,63.422868
cpython,otpbs,28,442,0.585683,74.408244
cpython,otpbs,29,447,0.591239,20.746881
cpython,otpbs,30,455,0.585530,47.564343
cpython,otpbs,31,462,0.587446,17.278209
cpython,otpbs,32,464,0.589888,2.481781
cpython,otpbs,33,469,0.588517,52.850137
cpython,otpbs,34,474,0.593343,8.906065
cpython,otpbs,35,476,0.588633,12.494753
cpython,otpbs,36,476,0.588438,0.073569
cpython,otpbs,37,476,0.588726,0.174806
cpython,otpbs,38,486,0.598508,7.790677
cpython,otpbs,39,497,0.587574,6.204652
cpython,otpbs,40,521,0.578423,13.937731
cpython,otpbs,41,548,0.581313,21.475957
cpython,otpbs,42,554,0.573781,15.345311
cpython,otpbs,43,557,0.579092,64.760396
cpython,otpbs,44,560,0.580041,1.452091
cpython,otpbs,45,585,0.593064,18.786698
cpython,otpbs,46,610,0.570719,32.366205
cpython,otpbs,47,619,0.571917,3.458971
cpython,otpbs,48,645,0.569949,20.245285
cpython,otpbs,49,657,0.573824,10.895344
cpython,otpbs,50,726,0.575067,189.154467
cpython,otpbs,51,726,0.575674,0.273683
cpython,otpbs,52,743,0.576477,14.141596
cpython,otpbs,53,875,0.582020,56.959442
cpython,otpbs,54,896,0.574720,14.640279
cpython,otpbs,55,916,0.569703,80.622503
cpython,otpbs,56,948,0.560432,88.570585
cpython,otpbs,57,949,0.565956,6.481310
cpython,otpbs,58,956,0.556702,16.329639
cpython,otpbs,59,976,0.552037,84.898036
cpython,otpbs,60,1020,0.568272,199.775842
cpython,otpbs,61,1027,0.570043,7.977242
cpython,otpbs,62,1031,0.569971,8.819478
cpython,otpbs,63,1060,0.570252,14.631071
cpython,otpbs,64,1067,0.568404,34.123462
cpython,otpbs,65,1082,0.565990,6.384108
cpython,otpbs,66,1086,0.565027,3.756261
cpython,otpbs,67,1096,0.565528,7.852797
cpython,otpbs,68,1120,0.563944,38.991726
cpython,otpbs,69,1128,0.567045,13.003035
cpython,otpbs,70,1134,0.565622,4.454933
