dataset,technique,revision,nCells,avgAR,avgMov
d3,otpbs,0,62,0.536676,0.000000
d3,otpbs,1,86,0.600774,44.647403
d3,otpbs,2,158,0.545350,109.043204
d3,otpbs,3,161,0.538075,4.555556
d3,otpbs,4,181,0.515260,30.037287
d3,otpbs,5,220,0.527180,80.930813
d3,otpbs,6,273,0.521260,142.260489
d3,otpbs,7,339,0.490191,32.973713
d3,otpbs,8,372,0.505221,17.590863
d3,otpbs,9,413,0.528710,33.953247
d3,otpbs,10,475,0.544534,18.258749
d3,otpbs,11,564,0.561104,166.816718
d3,otpbs,12,586,0.556104,28.510643
d3,otpbs,13,605,0.571141,16.308429
d3,otpbs,14,617,0.571650,10.994769
d3,otpbs,15,621,0.574550,5.337674
d3,otpbs,16,621,0.573867,5.397013
d3,otpbs,17,615,0.556304,176.675533
d3,otpbs,18,622,0.560278,5.480615
d3,otpbs,19,625,0.561401,8.172596
d3,otpbs,20,626,0.560702,0.031330
d3,otpbs,21,627,0.559179,6.618575
d3,otpbs,22,633,0.553642,36.723789
d3,otpbs,23,646,0.554555,15.548218
d3,otpbs,24,655,0.558993,19.912873
d3,otpbs,25,616,0.569854,18.717751
d3,otpbs,26,579,0.573932,70.025972
d3,otpbs,27,412,0.572068,165.100003
d3,otpbs,28,411,0.568451,66.051290
d3,otpbs,29,413,0.568877,2.964759
d3,otpbs,30,494,0.564696,46.284391
d3,otpbs,31,494,0.567224,4.541617
d3,otpbs,32,497,0.555465,22.490681
d3,otpbs,33,506,0.565463,9.281370
d3,otpbs,34,509,0.559283,8.003045
d3,otpbs,35,514,0.553877,8.569120
d3,otpbs,36,513,0.557927,1.420783
d3,otpbs,37,524,0.557067,7.531890
d3,otpbs,38,524,0.557092,0.016061
d3,otpbs,39,524,0.559986,2.186273
d3,otpbs,40,528,0.561891,25.979494
d3,otpbs,41,528,0.562036,0.276673
d3,otpbs,42,535,0.561621,3.906242
d3,otpbs,43,535,0.562602,1.131249
d3,otpbs,44,537,0.555489,1.931814
d3,otpbs,45,537,0.558904,1.132199
d3,otpbs,46,538,0.560556,0.244852
d3,otpbs,47,540,0.560231,0.283318
d3,otpbs,48,538,0.560654,0.291285
d3,otpbs,49,545,0.561305,3.823980
d3,otpbs,50,549,0.557273,0.228558
d3,otpbs,51,554,0.562054,4.187337
d3,otpbs,52,555,0.561051,0.348680
d3,otpbs,53,558,0.563221,2.870555
d3,otpbs,54,558,0.563278,0.023939
d3,otpbs,55,559,0.564705,0.150029
d3,otpbs,56,558,0.563221,0.136303
d3,otpbs,57,558,0.563328,0.070120
d3,otpbs,58,559,0.564326,0.332455
d3,otpbs,59,559,0.564810,0.271389
d3,otpbs,60,564,0.565794,1.212568
d3,otpbs,61,564,0.567532,2.503927
d3,otpbs,62,564,0.565215,1.133968
d3,otpbs,63,5,0.438417,47.187791
d3,otpbs,64,5,0.436688,0.167582
d3,otpbs,65,4,0.504227,2.329601
d3,otpbs,66,4,0.503968,0.129400
d3,otpbs,67,5,0.498224,36.313689
d3,otpbs,68,5,0.503851,1.392043
d3,otpbs,69,5,0.441848,31.939187
d3,otpbs,70,6,0.444179,38.169665
d3,otpbs,71,7,0.438804,72.589442
d3,otpbs,72,7,0.438227,0.051750
d3,otpbs,73,7,0.438227,0.000000
d3,otpbs,74,7,0.736096,146.127607
d3,otpbs,75,7,0.736096,0.000000
d3,otpbs,76,7,0.736096,0.000000
d3,otpbs,77,7,0.736096,0.000000
