dataset,technique,revision,nCells,avgAR,avgMov
emcee,otpbs,0,7,0.573120,0.000000
emcee,otpbs,1,8,0.574916,62.767857
emcee,otpbs,2,14,0.622241,50.997980
emcee,otpbs,3,13,0.622868,34.508749
emcee,otpbs,4,13,0.620723,0.727186
emcee,otpbs,5,13,0.623986,0.909389
emcee,otpbs,6,10,0.389515,35.481038
emcee,otpbs,7,10,0.389515,0.000000
emcee,otpbs,8,11,0.468120,19.125410
emcee,otpbs,9,12,0.539700,15.316964
emcee,otpbs,10,19,0.376841,35.264991
emcee,otpbs,11,22,0.442589,51.974961
emcee,otpbs,12,21,0.526786,240.585744
emcee,otpbs,13,19,0.536713,6.844951
emcee,otpbs,14,40,0.504819,29.497750
emcee,otpbs,15,40,0.504766,0.112991
emcee,otpbs,16,41,0.505868,7.658670
emcee,otpbs,17,42,0.512565,30.394007
emcee,otpbs,18,42,0.509702,0.304617
emcee,otpbs,19,35,0.522734,64.574733
emcee,otpbs,20,35,0.522528,0.946632
emcee,otpbs,21,35,0.522528,0.000000
emcee,otpbs,22,36,0.509075,42.788975
emcee,otpbs,23,37,0.537160,21.796245
emcee,otpbs,24,37,0.537160,0.000000
emcee,otpbs,25,37,0.531502,4.233324
emcee,otpbs,26,37,0.522996,1.559401
emcee,otpbs,27,38,0.534691,19.443836
emcee,otpbs,28,38,0.534651,0.198777
emcee,otpbs,29,38,0.511362,25.513783
emcee,otpbs,30,38,0.534651,25.513783
emcee,otpbs,31,38,0.509259,26.315058
emcee,otpbs,32,38,0.509352,1.195866
emcee,otpbs,33,38,0.509352,0.000000
emcee,otpbs,34,38,0.511593,1.098793
emcee,otpbs,35,39,0.503311,30.935359
emcee,otpbs,36,39,0.503987,0.645027
emcee,otpbs,37,40,0.516502,15.957969
emcee,otpbs,38,43,0.542398,17.639662
emcee,otpbs,39,43,0.542070,0.202842
emcee,otpbs,40,43,0.542398,0.202842
emcee,otpbs,41,44,0.523474,15.699182
emcee,otpbs,42,44,0.519979,0.911600
emcee,otpbs,43,44,0.523762,1.071750
emcee,otpbs,44,44,0.523762,0.000000
emcee,otpbs,45,44,0.523762,0.000000
emcee,otpbs,46,44,0.523762,0.000000
emcee,otpbs,47,44,0.519735,1.032975
emcee,otpbs,48,44,0.520231,4.083104
emcee,otpbs,49,44,0.520429,0.245812
emcee,otpbs,50,44,0.523762,3.358484
emcee,otpbs,51,44,0.523762,0.000000
emcee,otpbs,52,44,0.523762,0.000000
emcee,otpbs,53,44,0.523762,0.000000
emcee,otpbs,54,44,0.523114,1.495353
emcee,otpbs,55,44,0.521946,3.813842
emcee,otpbs,56,44,0.520928,9.501985
emcee,otpbs,57,44,0.520928,0.000000
emcee,otpbs,58,44,0.520928,0.000000
emcee,otpbs,59,44,0.521589,0.205153
emcee,otpbs,60,45,0.512173,3.290992
emcee,otpbs,61,45,0.517405,3.367333
emcee,otpbs,62,45,0.517370,0.132303
emcee,otpbs,63,45,0.517370,0.000000
