dataset,technique,revision,nCells,avgAR,avgMov
exo,otpbs,0,182,0.558399,0.000000
exo,otpbs,1,188,0.560798,16.635359
exo,otpbs,2,189,0.569452,1.866053
exo,otpbs,3,191,0.570309,19.714711
exo,otpbs,4,196,0.569891,15.401032
exo,otpbs,5,197,0.573726,4.749594
exo,otpbs,6,197,0.570865,2.032028
exo,otpbs,7,203,0.581924,13.029002
exo,otpbs,8,211,0.574886,96.693266
exo,otpbs,9,219,0.562387,102.935855
exo,otpbs,10,227,0.554787,43.240026
exo,otpbs,11,205,0.577173,52.876002
exo,otpbs,12,202,0.573674,12.146210
exo,otpbs,13,232,0.548081,31.062461
exo,otpbs,14,242,0.546547,118.630137
exo,otpbs,15,248,0.559423,35.540970
exo,otpbs,16,254,0.572939,17.786620
exo,otpbs,17,300,0.561340,28.866498
exo,otpbs,18,307,0.563253,139.361718
exo,otpbs,19,340,0.571030,109.856901
exo,otpbs,20,316,0.557419,29.856271
exo,otpbs,21,320,0.553475,4.614513
exo,otpbs,22,323,0.554795,3.652448
exo,otpbs,23,322,0.555154,2.127160
exo,otpbs,24,324,0.558617,2.241002
exo,otpbs,25,330,0.561310,7.907778
exo,otpbs,26,378,0.577741,116.174688
exo,otpbs,27,404,0.581756,121.902482
exo,otpbs,28,410,0.579827,15.170677
exo,otpbs,29,413,0.585238,5.588314
exo,otpbs,30,312,0.566564,140.051250
exo,otpbs,31,418,0.583594,93.177834
exo,otpbs,32,420,0.581433,15.123970
exo,otpbs,33,421,0.580437,37.358016
exo,otpbs,34,421,0.570852,5.591301
exo,otpbs,35,422,0.573922,6.010508
exo,otpbs,36,425,0.571124,5.633151
exo,otpbs,37,464,0.549155,13.609581
exo,otpbs,38,466,0.549699,2.589495
exo,otpbs,39,466,0.549122,11.746133
exo,otpbs,40,480,0.548080,14.133850
exo,otpbs,41,488,0.541967,5.281057
exo,otpbs,42,482,0.545363,5.009111
exo,otpbs,43,494,0.549006,5.392500
exo,otpbs,44,495,0.549460,7.057981
exo,otpbs,45,498,0.554943,8.168306
exo,otpbs,46,504,0.554132,3.828070
exo,otpbs,47,505,0.553055,1.039338
exo,otpbs,48,510,0.551074,3.897792
exo,otpbs,49,511,0.547206,6.290858
exo,otpbs,50,535,0.537821,110.441408
exo,otpbs,51,401,0.553912,34.885474
exo,otpbs,52,412,0.558457,16.235460
exo,otpbs,53,415,0.561924,15.849271
exo,otpbs,54,426,0.566693,7.300927
exo,otpbs,55,434,0.558329,22.053727
exo,otpbs,56,452,0.558549,24.530659
exo,otpbs,57,550,0.547491,28.693215
exo,otpbs,58,556,0.544895,9.584717
exo,otpbs,59,556,0.550113,6.211279
exo,otpbs,60,559,0.557739,12.333850
exo,otpbs,61,561,0.549139,8.136128
exo,otpbs,62,561,0.548309,1.644608
exo,otpbs,63,583,0.554297,11.417219
exo,otpbs,64,588,0.553888,5.563218
exo,otpbs,65,604,0.537433,8.132367
exo,otpbs,66,629,0.527487,16.361310
exo,otpbs,67,627,0.529176,9.167926
exo,otpbs,68,634,0.524849,4.020131
exo,otpbs,69,635,0.525986,0.593025
exo,otpbs,70,643,0.528041,28.282623
exo,otpbs,71,645,0.532939,9.430873
exo,otpbs,72,659,0.532864,9.724339
exo,otpbs,73,662,0.534318,2.225392
exo,otpbs,74,663,0.534342,1.021353
exo,otpbs,75,666,0.535730,1.544842
exo,otpbs,76,677,0.532555,3.260213
exo,otpbs,77,708,0.535700,25.341469
exo,otpbs,78,712,0.534780,4.079081
exo,otpbs,79,881,0.569813,80.498112
exo,otpbs,80,881,0.567202,2.271256
exo,otpbs,81,884,0.562394,1.579273
exo,otpbs,82,884,0.565462,1.248905
exo,otpbs,83,888,0.560833,5.409313
exo,otpbs,84,886,0.565257,9.727618
exo,otpbs,85,898,0.563006,6.896451
exo,otpbs,86,908,0.569800,5.200463
exo,otpbs,87,909,0.570470,0.848258
exo,otpbs,88,910,0.568793,2.056651
exo,otpbs,89,664,0.532844,105.659335
exo,otpbs,90,914,0.571227,76.016238
exo,otpbs,91,919,0.567676,2.049738
exo,otpbs,92,929,0.563042,1.937221
exo,otpbs,93,935,0.581466,4.173663
exo,otpbs,94,946,0.577972,21.330020
exo,otpbs,95,948,0.578736,1.516005
exo,otpbs,96,954,0.573169,78.604605
