dataset,technique,revision,nCells,avgAR,avgMov
fsharp,otpbs,0,30,0.256944,0.000000
fsharp,otpbs,1,30,0.256868,0.087002
fsharp,otpbs,2,30,0.256868,0.000000
fsharp,otpbs,3,30,0.256868,0.000000
fsharp,otpbs,4,30,0.256868,0.000000
fsharp,otpbs,5,30,0.256868,0.000000
fsharp,otpbs,6,30,0.256868,0.000000
fsharp,otpbs,7,30,0.256868,0.000000
fsharp,otpbs,8,31,0.284000,46.374895
fsharp,otpbs,9,30,0.294798,2.980865
fsharp,otpbs,10,97,0.533297,35.064922
fsharp,otpbs,11,97,0.535652,0.917894
fsharp,otpbs,12,97,0.536180,0.085675
fsharp,otpbs,13,97,0.533047,0.495200
fsharp,otpbs,14,98,0.515925,4.375596
fsharp,otpbs,15,98,0.515925,0.000000
fsharp,otpbs,16,98,0.515925,0.000000
fsharp,otpbs,17,98,0.515925,0.000000
fsharp,otpbs,18,98,0.515925,0.000000
fsharp,otpbs,19,98,0.515925,0.000000
fsharp,otpbs,20,98,0.515920,0.019820
fsharp,otpbs,21,98,0.515596,0.286457
fsharp,otpbs,22,358,0.541287,53.034080
fsharp,otpbs,23,359,0.540694,0.206239
fsharp,otpbs,24,378,0.544586,8.600348
fsharp,otpbs,25,403,0.541223,184.754352
fsharp,otpbs,26,501,0.496915,168.101999
fsharp,otpbs,27,502,0.497650,0.555295
fsharp,otpbs,28,541,0.491647,15.149603
fsharp,otpbs,29,770,0.481934,170.100571
fsharp,otpbs,30,855,0.501452,38.939262
fsharp,otpbs,31,855,0.501451,0.062720
fsharp,otpbs,32,855,0.499381,0.155378
fsharp,otpbs,33,864,0.505159,2.990377
fsharp,otpbs,34,433,0.554663,96.570663
fsharp,otpbs,35,864,0.507033,45.469837
fsharp,otpbs,36,847,0.510993,297.322194
fsharp,otpbs,37,850,0.511910,1.075823
fsharp,otpbs,38,817,0.525141,144.067275
fsharp,otpbs,39,817,0.525007,0.029561
fsharp,otpbs,40,821,0.525430,0.238716
fsharp,otpbs,41,824,0.524366,0.073608
fsharp,otpbs,42,459,0.547970,202.467476
fsharp,otpbs,43,814,0.516718,115.533804
fsharp,otpbs,44,814,0.516999,0.595998
fsharp,otpbs,45,826,0.518589,0.581325
fsharp,otpbs,46,827,0.516571,0.920219
fsharp,otpbs,47,822,0.515317,3.170994
fsharp,otpbs,48,831,0.508418,10.723656
fsharp,otpbs,49,818,0.502721,23.525918
fsharp,otpbs,50,825,0.494019,27.092615
fsharp,otpbs,51,830,0.514032,51.378209
fsharp,otpbs,52,826,0.509941,4.636535
fsharp,otpbs,53,830,0.514032,4.614190
fsharp,otpbs,54,772,0.512526,34.085400
fsharp,otpbs,55,763,0.493478,260.704798
fsharp,otpbs,56,768,0.501254,20.105113
fsharp,otpbs,57,763,0.494596,21.322756
fsharp,otpbs,58,772,0.497981,20.333635
fsharp,otpbs,59,772,0.496169,0.403445
fsharp,otpbs,60,225,0.540778,311.581943
fsharp,otpbs,61,225,0.540778,0.000000
fsharp,otpbs,62,608,0.486477,123.220437
fsharp,otpbs,63,609,0.467354,5.942067
fsharp,otpbs,64,616,0.469779,8.277968
fsharp,otpbs,65,643,0.489340,23.681080
fsharp,otpbs,66,654,0.487191,1.975853
fsharp,otpbs,67,251,0.531995,209.363979
fsharp,otpbs,68,251,0.531995,0.000000
