dataset,technique,revision,nCells,avgAR,avgMov
osquery,otpbs,0,80,0.580350,0.000000
osquery,otpbs,1,133,0.534730,100.358826
osquery,otpbs,2,196,0.526284,46.268444
osquery,otpbs,3,253,0.513391,177.892416
osquery,otpbs,4,286,0.517542,57.051062
osquery,otpbs,5,316,0.524549,94.682761
osquery,otpbs,6,342,0.513840,20.267564
osquery,otpbs,7,328,0.526176,114.925399
osquery,otpbs,8,336,0.546885,71.748205
osquery,otpbs,9,408,0.554595,26.775355
osquery,otpbs,10,416,0.546453,18.287096
osquery,otpbs,11,431,0.541455,16.500422
osquery,otpbs,12,451,0.538395,29.562945
osquery,otpbs,13,447,0.538846,5.749116
osquery,otpbs,14,467,0.536768,19.044344
osquery,otpbs,15,470,0.530425,12.045387
osquery,otpbs,16,483,0.533700,11.410291
osquery,otpbs,17,484,0.539193,13.879174
osquery,otpbs,18,493,0.535178,6.018651
osquery,otpbs,19,495,0.529631,10.881624
osquery,otpbs,20,495,0.529631,0.000000
osquery,otpbs,21,495,0.529631,0.000000
osquery,otpbs,22,513,0.530358,10.368813
osquery,otpbs,23,530,0.528473,22.687159
osquery,otpbs,24,549,0.528362,41.214235
osquery,otpbs,25,556,0.525781,14.967414
osquery,otpbs,26,599,0.530029,25.036560
osquery,otpbs,27,608,0.521907,10.319738
osquery,otpbs,28,631,0.538112,6.969839
osquery,otpbs,29,640,0.536075,5.325813
osquery,otpbs,30,655,0.543914,9.125577
osquery,otpbs,31,659,0.544218,5.318287
osquery,otpbs,32,670,0.547188,3.438875
osquery,otpbs,33,685,0.549604,9.230388
osquery,otpbs,34,685,0.552657,9.118670
osquery,otpbs,35,711,0.551263,20.399681
osquery,otpbs,36,711,0.549531,0.764895
