dataset,technique,revision,nCells,avgAR,avgMov
scikitlearn,otpbs,0,256,0.507582,0.000000
scikitlearn,otpbs,1,263,0.487797,23.404046
scikitlearn,otpbs,2,223,0.483520,218.171801
scikitlearn,otpbs,3,249,0.513180,166.435991
scikitlearn,otpbs,4,253,0.505076,27.985232
scikitlearn,otpbs,5,144,0.576625,59.913682
scikitlearn,otpbs,6,196,0.558051,60.507235
scikitlearn,otpbs,7,239,0.533398,49.045145
scikitlearn,otpbs,8,309,0.526276,72.414423
scikitlearn,otpbs,9,325,0.520767,37.400262
scikitlearn,otpbs,10,374,0.479760,89.680185
scikitlearn,otpbs,11,374,0.493586,20.408137
scikitlearn,otpbs,12,387,0.495296,27.518291
scikitlearn,otpbs,13,384,0.488786,26.731174
scikitlearn,otpbs,14,390,0.510823,116.201122
scikitlearn,otpbs,15,411,0.521682,39.521051
scikitlearn,otpbs,16,424,0.530828,10.576248
scikitlearn,otpbs,17,431,0.536369,9.303547
scikitlearn,otpbs,18,452,0.533640,30.231218
scikitlearn,otpbs,19,468,0.516334,45.976839
scikitlearn,otpbs,20,512,0.535989,27.958178
scikitlearn,otpbs,21,530,0.521319,26.529039
scikitlearn,otpbs,22,543,0.532112,12.961041
scikitlearn,otpbs,23,558,0.530038,18.827230
scikitlearn,otpbs,24,564,0.534423,34.499557
scikitlearn,otpbs,25,575,0.541566,16.479416
scikitlearn,otpbs,26,614,0.538473,117.270665
scikitlearn,otpbs,27,616,0.535913,16.175814
scikitlearn,otpbs,28,618,0.531001,6.987360
scikitlearn,otpbs,29,618,0.533180,22.504182
scikitlearn,otpbs,30,588,0.529844,8.053240
scikitlearn,otpbs,31,596,0.531810,3.534460
scikitlearn,otpbs,32,596,0.532565,4.349540
scikitlearn,otpbs,33,596,0.536866,22.600662
scikitlearn,otpbs,34,619,0.538063,66.154943
scikitlearn,otpbs,35,627,0.531694,19.107958
scikitlearn,otpbs,36,634,0.534130,10.314615
scikitlearn,otpbs,37,636,0.531270,3.397898
scikitlearn,otpbs,38,640,0.529925,14.143400
scikitlearn,otpbs,39,641,0.541279,144.421185
scikitlearn,otpbs,40,651,0.526345,153.621049
scikitlearn,otpbs,41,663,0.526804,16.551010
scikitlearn,otpbs,42,715,0.506960,118.866090
scikitlearn,otpbs,43,717,0.508552,0.776884
scikitlearn,otpbs,44,721,0.510349,14.934770
scikitlearn,otpbs,45,724,0.510444,0.987287
scikitlearn,otpbs,46,723,0.510721,5.241966
scikitlearn,otpbs,47,728,0.505058,12.572659
scikitlearn,otpbs,48,746,0.509710,5.125596
scikitlearn,otpbs,49,748,0.510554,1.925199
scikitlearn,otpbs,50,729,0.516679,91.568946
scikitlearn,otpbs,51,732,0.516948,2.905243
scikitlearn,otpbs,52,731,0.518388,3.382704
scikitlearn,otpbs,53,735,0.517505,4.857495
scikitlearn,otpbs,54,741,0.520857,10.397218
scikitlearn,otpbs,55,742,0.519500,0.936674
scikitlearn,otpbs,56,741,0.526657,72.935043
scikitlearn,otpbs,57,741,0.524687,1.337414
scikitlearn,otpbs,58,749,0.525820,3.949061
scikitlearn,otpbs,59,760,0.528053,2.241668
scikitlearn,otpbs,60,765,0.525727,1.774972
scikitlearn,otpbs,61,772,0.526508,2.457435
scikitlearn,otpbs,62,772,0.521031,20.046839
scikitlearn,otpbs,63,773,0.516254,0.566582
scikitlearn,otpbs,64,783,0.525078,7.184692
scikitlearn,otpbs,65,780,0.529707,6.887230
scikitlearn,otpbs,66,784,0.529600,1.020170
scikitlearn,otpbs,67,792,0.529048,9.348334
scikitlearn,otpbs,68,805,0.530805,21.695523
scikitlearn,otpbs,69,843,0.520785,75.578192
scikitlearn,otpbs,70,804,0.553938,118.604146
scikitlearn,otpbs,71,808,0.552816,0.999598
scikitlearn,otpbs,72,812,0.555049,1.716878
scikitlearn,otpbs,73,817,0.552579,1.204578
scikitlearn,otpbs,74,824,0.543648,9.204459
scikitlearn,otpbs,75,827,0.550806,18.463468
scikitlearn,otpbs,76,827,0.550960,0.204980
scikitlearn,otpbs,77,828,0.552713,2.236498
scikitlearn,otpbs,78,831,0.549664,13.710464
scikitlearn,otpbs,79,848,0.555577,12.271438
scikitlearn,otpbs,80,849,0.554709,2.597275
scikitlearn,otpbs,81,857,0.553538,1.642684
scikitlearn,otpbs,82,854,0.553426,2.709560
scikitlearn,otpbs,83,862,0.546279,8.229603
scikitlearn,otpbs,84,864,0.546731,1.511707
scikitlearn,otpbs,85,864,0.544091,1.050145
scikitlearn,otpbs,86,868,0.542910,6.359185
scikitlearn,otpbs,87,868,0.542734,0.499402
