dataset,technique,revision,nCells,avgAR,avgMov
soundnode-app,otpbs,0,37,0.278032,0.000000
soundnode-app,otpbs,1,82,0.465259,0.000000
soundnode-app,otpbs,2,84,0.452735,5.664222
soundnode-app,otpbs,3,88,0.430860,7.024312
soundnode-app,otpbs,4,89,0.426140,1.346160
soundnode-app,otpbs,5,96,0.489884,242.750502
soundnode-app,otpbs,6,103,0.487604,19.945947
soundnode-app,otpbs,7,117,0.447094,12.224860
soundnode-app,otpbs,8,118,0.485318,10.562165
soundnode-app,otpbs,9,118,0.485944,3.817123
soundnode-app,otpbs,10,116,0.463094,21.982702
soundnode-app,otpbs,11,116,0.463903,0.352399
soundnode-app,otpbs,12,115,0.464265,0.989919
soundnode-app,otpbs,13,115,0.490290,2.111225
soundnode-app,otpbs,14,119,0.457372,3.581555
soundnode-app,otpbs,15,129,0.482888,25.408199
soundnode-app,otpbs,16,147,0.547577,14.405378
soundnode-app,otpbs,17,161,0.534326,258.187764
soundnode-app,otpbs,18,159,0.520155,2.235017
soundnode-app,otpbs,19,164,0.493787,5.256485
soundnode-app,otpbs,20,170,0.484584,3.471278
soundnode-app,otpbs,21,174,0.482089,3.584565
soundnode-app,otpbs,22,174,0.493619,1.835991
soundnode-app,otpbs,23,174,0.489118,0.760757
soundnode-app,otpbs,24,174,0.489633,0.091489
soundnode-app,otpbs,25,177,0.525762,136.421029
soundnode-app,otpbs,26,177,0.524562,0.547236
soundnode-app,otpbs,27,177,0.524581,0.009403
soundnode-app,otpbs,28,177,0.525886,0.245427
soundnode-app,otpbs,29,142,0.546261,246.954968
soundnode-app,otpbs,30,177,0.525798,198.119171
soundnode-app,otpbs,31,135,0.556325,241.661418
soundnode-app,otpbs,32,136,0.563223,1.364723
soundnode-app,otpbs,33,136,0.563223,0.000000
soundnode-app,otpbs,34,136,0.563223,0.000000
