dataset,technique,revision,avgAR,avgMov
AudioKit-loc,snd,0,0.070543,0.000000
AudioKit-loc,snd,1,0.251511,16.830721
AudioKit-loc,snd,2,0.192890,5.722060
AudioKit-loc,snd,3,0.177436,23.207403
AudioKit-loc,snd,4,0.139653,48.973105
AudioKit-loc,snd,5,0.139653,0.006656
AudioKit-loc,snd,6,0.139653,0.000000
AudioKit-loc,snd,7,0.145149,6.235226
AudioKit-loc,snd,8,0.146706,3.711744
AudioKit-loc,snd,9,0.146459,0.477485
AudioKit-loc,snd,10,0.147774,8.763623
AudioKit-loc,snd,11,0.125825,40.034745
AudioKit-loc,snd,12,0.114618,9.701575
AudioKit-loc,snd,13,0.115294,3.271135
AudioKit-loc,snd,14,0.115327,0.135759
AudioKit-loc,snd,15,0.114092,0.267504
AudioKit-loc,snd,16,0.112286,5.240351
AudioKit-loc,snd,17,0.122035,24.335187
AudioKit-loc,snd,18,0.127009,6.990930
AudioKit-loc,snd,19,0.125894,1.839596
AudioKit-loc,snd,20,0.138631,8.759698
AudioKit-loc,snd,21,0.138186,0.118607
