dataset,technique,revision,nCells,avgAR,avgMov
AudioKit,snd,0,63,0.070543,0.000000
AudioKit,snd,1,247,0.251511,16.830721
AudioKit,snd,2,423,0.192890,5.722060
AudioKit,snd,3,494,0.177436,23.207403
AudioKit,snd,4,469,0.139653,48.973105
AudioKit,snd,5,469,0.139653,0.006656
AudioKit,snd,6,469,0.139653,0.000000
AudioKit,snd,7,485,0.145149,6.235226
AudioKit,snd,8,488,0.146706,3.711744
AudioKit,snd,9,489,0.146459,0.477485
AudioKit,snd,10,492,0.147774,8.763623
AudioKit,snd,11,692,0.125825,40.034745
AudioKit,snd,12,742,0.114618,9.701575
AudioKit,snd,13,755,0.115294,3.271135
AudioKit,snd,14,755,0.115327,0.135759
AudioKit,snd,15,763,0.114092,0.267504
AudioKit,snd,16,799,0.112286,5.240351
AudioKit,snd,17,800,0.122035,24.335187
AudioKit,snd,18,800,0.127009,6.990930
AudioKit,snd,19,807,0.125894,1.839596
AudioKit,snd,20,845,0.138631,8.759698
AudioKit,snd,21,848,0.138186,0.118607
