dataset,technique,revision,avgAR,avgMov
PhysicsJS-loc,snd,0,0.381819,0.000000
PhysicsJS-loc,snd,1,0.363334,16.566933
PhysicsJS-loc,snd,2,0.254661,36.432311
PhysicsJS-loc,snd,3,0.253716,4.754646
PhysicsJS-loc,snd,4,0.269151,16.446332
PhysicsJS-loc,snd,5,0.269151,0.000000
PhysicsJS-loc,snd,6,0.246434,50.841862
PhysicsJS-loc,snd,7,0.234694,6.207844
PhysicsJS-loc,snd,8,0.244051,50.436855
PhysicsJS-loc,snd,9,0.254684,5.275282
PhysicsJS-loc,snd,10,0.243485,6.287142
PhysicsJS-loc,snd,11,0.247907,57.831568
PhysicsJS-loc,snd,12,0.247935,0.162366
PhysicsJS-loc,snd,13,0.247932,0.035161
PhysicsJS-loc,snd,14,0.247933,0.008637
PhysicsJS-loc,snd,15,0.247868,0.838177
PhysicsJS-loc,snd,16,0.236259,56.603448
PhysicsJS-loc,snd,17,0.280231,53.885874
PhysicsJS-loc,snd,18,0.297373,6.363146
PhysicsJS-loc,snd,19,0.297373,0.000000
