dataset,technique,revision,avgAR,avgMov
animate.css-loc,snd,0,0.078502,0.000000
animate.css-loc,snd,1,0.071485,15.592760
animate.css-loc,snd,2,0.071485,0.165653
animate.css-loc,snd,3,0.071485,0.000000
animate.css-loc,snd,4,0.071485,0.000000
animate.css-loc,snd,5,0.071504,0.002340
animate.css-loc,snd,6,0.068061,6.987758
animate.css-loc,snd,7,0.066931,0.000525
animate.css-loc,snd,8,0.066984,0.726796
animate.css-loc,snd,9,0.066974,0.002554
animate.css-loc,snd,10,0.066984,0.002554
animate.css-loc,snd,11,0.066984,0.000000
animate.css-loc,snd,12,0.066984,0.000000
animate.css-loc,snd,13,0.066984,0.000000
animate.css-loc,snd,14,0.066984,0.000000
animate.css-loc,snd,15,0.068094,5.124506
animate.css-loc,snd,16,0.061812,17.943293
animate.css-loc,snd,17,0.400130,2.762081
animate.css-loc,snd,18,0.400130,0.000000
animate.css-loc,snd,19,0.400130,0.000000
animate.css-loc,snd,20,0.390409,2.614085
animate.css-loc,snd,21,0.436820,14.267474
animate.css-loc,snd,22,0.516805,29.796244
animate.css-loc,snd,23,0.516805,0.000000
animate.css-loc,snd,24,0.514745,0.924351
animate.css-loc,snd,25,0.499962,22.735863
animate.css-loc,snd,26,0.499962,0.000000
animate.css-loc,snd,27,0.528702,14.518301
animate.css-loc,snd,28,0.528702,0.000000
animate.css-loc,snd,29,0.528702,0.000000
animate.css-loc,snd,30,0.528702,0.000000
animate.css-loc,snd,31,0.529753,1.312506
animate.css-loc,snd,32,0.529753,0.000000
animate.css-loc,snd,33,0.520683,5.019432
animate.css-loc,snd,34,0.520683,0.000000
animate.css-loc,snd,35,0.520683,0.000000
animate.css-loc,snd,36,0.521594,0.879653
animate.css-loc,snd,37,0.521594,0.000000
animate.css-loc,snd,38,0.521542,0.137864
animate.css-loc,snd,39,0.521542,0.000000
animate.css-loc,snd,40,0.509292,4.179032
animate.css-loc,snd,41,0.509255,0.022867
animate.css-loc,snd,42,0.509368,0.068545
animate.css-loc,snd,43,0.509368,0.000000
animate.css-loc,snd,44,0.509368,0.000000
animate.css-loc,snd,45,0.509349,0.011413
animate.css-loc,snd,46,0.509349,0.000000
animate.css-loc,snd,47,0.509349,0.000000
animate.css-loc,snd,48,0.504249,0.093622
animate.css-loc,snd,49,0.470238,31.431249
