dataset,technique,revision,avgAR,avgMov
beets-loc,snd,0,0.426206,0.000000
beets-loc,snd,1,0.452522,20.343578
beets-loc,snd,2,0.537494,25.406055
beets-loc,snd,3,0.539295,4.586413
beets-loc,snd,4,0.520873,12.881755
beets-loc,snd,5,0.513763,35.949335
beets-loc,snd,6,0.513676,2.357378
beets-loc,snd,7,0.437014,9.201816
beets-loc,snd,8,0.437007,0.954623
beets-loc,snd,9,0.441608,10.926237
beets-loc,snd,10,0.448508,2.211862
beets-loc,snd,11,0.422799,7.267600
beets-loc,snd,12,0.408198,12.063595
beets-loc,snd,13,0.395877,9.158101
beets-loc,snd,14,0.335078,26.209682
beets-loc,snd,15,0.331264,6.556763
beets-loc,snd,16,0.329343,10.526882
beets-loc,snd,17,0.329388,0.180097
beets-loc,snd,18,0.328761,0.928941
beets-loc,snd,19,0.317423,7.624641
beets-loc,snd,20,0.314648,3.832883
beets-loc,snd,21,0.311005,3.968821
beets-loc,snd,22,0.323449,13.773397
beets-loc,snd,23,0.312111,5.504643
beets-loc,snd,24,0.312460,2.964301
beets-loc,snd,25,0.313342,0.939089
beets-loc,snd,26,0.313155,0.327078
beets-loc,snd,27,0.313288,1.367972
beets-loc,snd,28,0.313777,22.635984
beets-loc,snd,29,0.297933,2.233750
beets-loc,snd,30,0.296504,0.776854
beets-loc,snd,31,0.285510,18.257962
beets-loc,snd,32,0.284100,3.640214
beets-loc,snd,33,0.324852,91.823290
beets-loc,snd,34,0.309159,9.126402
beets-loc,snd,35,0.287085,13.832633
beets-loc,snd,36,0.285425,1.371264
beets-loc,snd,37,0.272434,1.400734
beets-loc,snd,38,0.269699,2.324021
beets-loc,snd,39,0.257219,8.860773
beets-loc,snd,40,0.259022,3.265997
beets-loc,snd,41,0.258798,0.320612
beets-loc,snd,42,0.252030,2.924425
beets-loc,snd,43,0.244199,4.502518
beets-loc,snd,44,0.234005,3.211303
beets-loc,snd,45,0.233457,0.644378
beets-loc,snd,46,0.224148,5.267882
beets-loc,snd,47,0.223285,1.116468
beets-loc,snd,48,0.225806,2.694063
beets-loc,snd,49,0.224636,1.398928
beets-loc,snd,50,0.225625,1.239125
beets-loc,snd,51,0.219766,3.250687
beets-loc,snd,52,0.216942,3.668037
beets-loc,snd,53,0.216959,0.008355
beets-loc,snd,54,0.217476,0.411403
beets-loc,snd,55,0.213947,2.364472
beets-loc,snd,56,0.207702,7.441384
beets-loc,snd,57,0.210764,4.063634
beets-loc,snd,58,0.210253,0.907939
beets-loc,snd,59,0.209596,3.751287
beets-loc,snd,60,0.200890,4.692308
beets-loc,snd,61,0.194308,2.645704
beets-loc,snd,62,0.176542,7.378446
beets-loc,snd,63,0.179055,8.034693
beets-loc,snd,64,0.178239,1.320418
beets-loc,snd,65,0.177058,0.749019
beets-loc,snd,66,0.173310,4.938239
beets-loc,snd,67,0.172226,5.143560
beets-loc,snd,68,0.170471,3.263140
beets-loc,snd,69,0.152302,2.702537
beets-loc,snd,70,0.150864,2.520992
beets-loc,snd,71,0.147983,2.844137
beets-loc,snd,72,0.146967,1.944548
beets-loc,snd,73,0.144424,3.382569
beets-loc,snd,74,0.137933,2.939831
beets-loc,snd,75,0.141337,1.162218
beets-loc,snd,76,0.150063,4.406879
beets-loc,snd,77,0.150069,0.345969
beets-loc,snd,78,0.148325,1.154845
beets-loc,snd,79,0.148325,0.000000
beets-loc,snd,80,0.148325,0.002675
beets-loc,snd,81,0.148325,0.002675
beets-loc,snd,82,0.147500,0.948069
beets-loc,snd,83,0.145698,1.287614
beets-loc,snd,84,0.145908,0.420369
beets-loc,snd,85,0.144325,2.085164
beets-loc,snd,86,0.140744,2.487939
beets-loc,snd,87,0.138918,2.933717
beets-loc,snd,88,0.138936,0.395689
beets-loc,snd,89,0.138936,0.000000
beets-loc,snd,90,0.138694,0.956836
beets-loc,snd,91,0.138660,0.317086
beets-loc,snd,92,0.135335,2.168582
beets-loc,snd,93,0.137333,2.284586
beets-loc,snd,94,0.136081,2.809617
beets-loc,snd,95,0.136118,0.219399
beets-loc,snd,96,0.136871,0.397776
beets-loc,snd,97,0.136909,0.208203
beets-loc,snd,98,0.136175,1.443985
beets-loc,snd,99,0.134929,1.065190
beets-loc,snd,100,0.134535,0.924419
beets-loc,snd,101,0.134565,1.471358
beets-loc,snd,102,0.134010,0.318750
beets-loc,snd,103,0.133241,0.477229
beets-loc,snd,104,0.132937,0.177731
beets-loc,snd,105,0.133656,0.146507
