dataset,technique,revision,avgAR,avgMov
brackets-loc,snd,0,0.255163,0.000000
brackets-loc,snd,1,0.184657,19.321268
brackets-loc,snd,2,0.180013,41.061687
brackets-loc,snd,3,0.188754,20.510240
brackets-loc,snd,4,0.183822,11.163390
brackets-loc,snd,5,0.217562,26.899731
brackets-loc,snd,6,0.215076,3.443712
brackets-loc,snd,7,0.196964,76.663197
brackets-loc,snd,8,0.192385,35.368670
brackets-loc,snd,9,0.191761,2.282900
brackets-loc,snd,10,0.197473,4.315246
brackets-loc,snd,11,0.197458,0.409333
brackets-loc,snd,12,0.197463,0.051306
brackets-loc,snd,13,0.197442,0.026550
brackets-loc,snd,14,0.191821,5.654667
brackets-loc,snd,15,0.197477,6.885560
brackets-loc,snd,16,0.198351,3.839693
brackets-loc,snd,17,0.199176,0.547935
brackets-loc,snd,18,0.199533,4.451003
brackets-loc,snd,19,0.200790,3.014084
brackets-loc,snd,20,0.197498,8.238648
brackets-loc,snd,21,0.206571,24.666919
brackets-loc,snd,22,0.201705,4.762266
brackets-loc,snd,23,0.201705,0.000000
brackets-loc,snd,24,0.201740,0.007496
brackets-loc,snd,25,0.201760,0.039670
brackets-loc,snd,26,0.201279,1.688037
brackets-loc,snd,27,0.202336,3.844563
brackets-loc,snd,28,0.200959,11.227617
brackets-loc,snd,29,0.198730,5.099393
brackets-loc,snd,30,0.200894,4.592206
brackets-loc,snd,31,0.205984,16.935789
brackets-loc,snd,32,0.202074,2.855994
brackets-loc,snd,33,0.202077,0.004697
brackets-loc,snd,34,0.202131,0.819151
brackets-loc,snd,35,0.206344,5.675073
brackets-loc,snd,36,0.206286,0.835433
brackets-loc,snd,37,0.206413,4.316965
brackets-loc,snd,38,0.206828,1.919325
brackets-loc,snd,39,0.206737,0.043433
brackets-loc,snd,40,0.206833,0.076840
brackets-loc,snd,41,0.206361,2.293970
brackets-loc,snd,42,0.204210,1.344328
brackets-loc,snd,43,0.204161,0.164858
brackets-loc,snd,44,0.206379,1.531603
brackets-loc,snd,45,0.204171,1.495942
brackets-loc,snd,46,0.204177,0.037112
brackets-loc,snd,47,0.204527,0.686667
brackets-loc,snd,48,0.204427,0.212900
brackets-loc,snd,49,0.203297,2.234969
brackets-loc,snd,50,0.201177,1.909419
brackets-loc,snd,51,0.199677,2.324409
brackets-loc,snd,52,0.200028,1.621605
brackets-loc,snd,53,0.202452,14.719701
brackets-loc,snd,54,0.202495,0.535116
brackets-loc,snd,55,0.202468,0.308956
brackets-loc,snd,56,0.204177,22.771908
brackets-loc,snd,57,0.203886,0.542914
brackets-loc,snd,58,0.203738,0.119628
brackets-loc,snd,59,0.202836,0.519328
brackets-loc,snd,60,0.200650,2.518605
brackets-loc,snd,61,0.200825,1.782120
brackets-loc,snd,62,0.200832,0.253039
brackets-loc,snd,63,0.200826,0.256926
brackets-loc,snd,64,0.200681,0.762753
brackets-loc,snd,65,0.201624,1.842468
brackets-loc,snd,66,0.201637,0.089846
brackets-loc,snd,67,0.201754,0.257681
brackets-loc,snd,68,0.201823,0.424385
brackets-loc,snd,69,0.201972,0.158743
brackets-loc,snd,70,0.201709,0.442479
brackets-loc,snd,71,0.201746,0.472982
brackets-loc,snd,72,0.200868,0.637634
brackets-loc,snd,73,0.201660,0.192587
brackets-loc,snd,74,0.200718,0.311984
brackets-loc,snd,75,0.199823,1.535751
brackets-loc,snd,76,0.200869,1.628025
brackets-loc,snd,77,0.199785,1.658124
brackets-loc,snd,78,0.197407,1.039339
brackets-loc,snd,79,0.197410,0.020764
brackets-loc,snd,80,0.197344,0.128814
brackets-loc,snd,81,0.197304,0.250924
brackets-loc,snd,82,0.197248,0.089294
brackets-loc,snd,83,0.197274,0.065502
brackets-loc,snd,84,0.199915,19.377700
brackets-loc,snd,85,0.187288,24.982700
brackets-loc,snd,86,0.186862,0.919696
brackets-loc,snd,87,0.186862,0.000000
