dataset,technique,revision,avgAR,avgMov
caffe-loc,snd,0,0.170963,0.000000
caffe-loc,snd,1,0.179498,11.035863
caffe-loc,snd,2,0.133885,9.280801
caffe-loc,snd,3,0.126423,4.569226
caffe-loc,snd,4,0.127589,2.286001
caffe-loc,snd,5,0.099934,23.449680
caffe-loc,snd,6,0.105366,14.891283
caffe-loc,snd,7,0.100527,6.229687
caffe-loc,snd,8,0.096341,6.911004
caffe-loc,snd,9,0.100651,6.373151
caffe-loc,snd,10,0.093607,21.506583
caffe-loc,snd,11,0.105141,6.468001
caffe-loc,snd,12,0.109507,10.574142
caffe-loc,snd,13,0.110635,1.321337
caffe-loc,snd,14,0.113293,7.541129
caffe-loc,snd,15,0.112084,1.241764
caffe-loc,snd,16,0.113841,4.645830
caffe-loc,snd,17,0.115313,4.467689
caffe-loc,snd,18,0.114581,1.384799
caffe-loc,snd,19,0.114579,0.020432
caffe-loc,snd,20,0.124023,6.667735
caffe-loc,snd,21,0.123878,2.910824
caffe-loc,snd,22,0.123511,0.174188
caffe-loc,snd,23,0.128252,5.125215
caffe-loc,snd,24,0.129027,2.497418
caffe-loc,snd,25,0.127755,3.822208
caffe-loc,snd,26,0.130084,0.250149
caffe-loc,snd,27,0.159968,1.896692
caffe-loc,snd,28,0.154910,1.888179
caffe-loc,snd,29,0.153787,1.904664
caffe-loc,snd,30,0.154311,5.243615
caffe-loc,snd,31,0.154069,0.867980
caffe-loc,snd,32,0.151022,0.713777
caffe-loc,snd,33,0.145109,3.714159
caffe-loc,snd,34,0.147168,1.658111
caffe-loc,snd,35,0.148062,0.222524
caffe-loc,snd,36,0.147083,0.408970
caffe-loc,snd,37,0.147069,0.012965
caffe-loc,snd,38,0.146954,0.275980
caffe-loc,snd,39,0.146979,0.070179
caffe-loc,snd,40,0.150578,1.420725
caffe-loc,snd,41,0.151631,0.498541
caffe-loc,snd,42,0.152419,0.291551
caffe-loc,snd,43,0.153845,0.687996
