dataset,technique,revision,nCells,avgAR,avgMov
cpython,snd,0,3,1.000000,0.000000
cpython,snd,1,3,1.000000,0.000000
cpython,snd,2,120,0.295003,6.251524
cpython,snd,3,130,0.283065,31.255020
cpython,snd,4,143,0.263290,10.488186
cpython,snd,5,158,0.257545,21.157806
cpython,snd,6,158,0.246799,9.928269
cpython,snd,7,158,0.244689,1.824064
cpython,snd,8,168,0.243877,7.679052
cpython,snd,9,172,0.232403,6.822061
cpython,snd,10,194,0.215012,7.577538
cpython,snd,11,200,0.211342,11.150218
cpython,snd,12,203,0.212837,9.746344
cpython,snd,13,223,0.237493,5.360234
cpython,snd,14,236,0.266033,10.225670
cpython,snd,15,241,0.268289,3.320042
cpython,snd,16,249,0.262501,5.087247
cpython,snd,17,274,0.256671,10.780234
cpython,snd,18,277,0.251846,2.436088
cpython,snd,19,332,0.261929,25.288995
cpython,snd,20,343,0.260683,4.670467
cpython,snd,21,351,0.260456,3.257652
cpython,snd,22,359,0.254758,4.276813
cpython,snd,23,364,0.252951,3.294746
cpython,snd,24,393,0.242830,10.691065
cpython,snd,25,414,0.230720,5.995809
cpython,snd,26,421,0.224315,3.297111
cpython,snd,27,425,0.224455,4.451950
cpython,snd,28,442,0.234616,14.048832
cpython,snd,29,447,0.234181,5.712853
cpython,snd,30,455,0.230254,4.568651
cpython,snd,31,462,0.227968,2.484357
cpython,snd,32,464,0.224874,2.303704
cpython,snd,33,469,0.222325,4.473259
cpython,snd,34,474,0.221091,2.613354
cpython,snd,35,476,0.208563,2.942852
cpython,snd,36,476,0.208593,0.062241
cpython,snd,37,476,0.208588,0.151055
cpython,snd,38,486,0.219187,6.639873
cpython,snd,39,497,0.214318,2.774855
cpython,snd,40,521,0.210854,4.379146
cpython,snd,41,548,0.210058,3.954683
cpython,snd,42,554,0.209558,5.186490
cpython,snd,43,557,0.209943,2.922082
cpython,snd,44,560,0.208814,0.455842
cpython,snd,45,585,0.208704,5.785088
cpython,snd,46,610,0.205912,9.374405
cpython,snd,47,619,0.206717,5.149710
cpython,snd,48,645,0.203985,4.778308
cpython,snd,49,657,0.200379,2.870626
cpython,snd,50,726,0.198734,7.925493
cpython,snd,51,726,0.198562,0.273500
cpython,snd,52,743,0.200527,4.635017
cpython,snd,53,875,0.209904,19.547582
cpython,snd,54,896,0.207471,6.959818
cpython,snd,55,916,0.204679,5.854383
cpython,snd,56,948,0.206240,5.925941
cpython,snd,57,949,0.205965,0.334233
cpython,snd,58,956,0.204132,2.141800
cpython,snd,59,976,0.198711,7.244321
cpython,snd,60,1020,0.197567,8.094103
cpython,snd,61,1027,0.195760,1.744464
cpython,snd,62,1031,0.194321,2.208642
cpython,snd,63,1060,0.201280,4.780444
cpython,snd,64,1067,0.201450,6.081659
cpython,snd,65,1082,0.201227,1.676828
cpython,snd,66,1086,0.201426,0.998278
cpython,snd,67,1096,0.199642,3.049159
cpython,snd,68,1120,0.195320,3.322405
cpython,snd,69,1128,0.193040,1.877924
cpython,snd,70,1134,0.192080,1.015009
cpython,snd,71,1164,0.193004,2.841431
cpython,snd,72,1204,0.191816,7.040885
cpython,snd,73,1234,0.191314,2.811635
cpython,snd,74,1235,0.191123,0.735156
cpython,snd,75,1237,0.190796,0.204425
cpython,snd,76,1276,0.183739,5.928059
cpython,snd,77,1307,0.182909,4.011554
cpython,snd,78,1319,0.182095,2.467104
cpython,snd,79,1321,0.181836,0.372935
cpython,snd,80,1321,0.182628,3.544491
cpython,snd,81,1326,0.183910,5.360079
cpython,snd,82,1333,0.182779,1.031750
cpython,snd,83,1357,0.181339,3.182925
cpython,snd,84,1370,0.189576,6.304301
cpython,snd,85,1383,0.187814,7.971705
cpython,snd,86,1396,0.185747,2.284332
cpython,snd,87,1403,0.186868,5.725785
cpython,snd,88,1413,0.188880,3.586764
cpython,snd,89,1430,0.188401,0.975719
cpython,snd,90,1442,0.185950,2.570429
cpython,snd,91,1445,0.187195,3.447699
cpython,snd,92,1461,0.186724,4.689974
cpython,snd,93,1484,0.185490,1.727495
cpython,snd,94,1504,0.183543,1.610431
cpython,snd,95,1513,0.183751,1.803532
cpython,snd,96,1579,0.185210,10.165582
cpython,snd,97,1588,0.184165,1.131048
cpython,snd,98,1617,0.183574,5.326725
cpython,snd,99,1623,0.183887,1.236957
cpython,snd,100,1617,0.183327,2.275779
cpython,snd,101,1676,0.183704,6.729606
cpython,snd,102,1661,0.183818,5.542145
cpython,snd,103,1704,0.182580,3.371629
cpython,snd,104,1701,0.184265,1.764415
cpython,snd,105,1706,0.183729,1.417567
cpython,snd,106,1724,0.182056,2.023753
cpython,snd,107,1728,0.182039,1.240231
cpython,snd,108,1732,0.181748,0.991898
cpython,snd,109,1748,0.179178,2.246376
cpython,snd,110,1754,0.178382,0.789616
cpython,snd,111,1756,0.178272,1.887212
cpython,snd,112,1776,0.176609,2.906303
cpython,snd,113,1777,0.176754,1.185847
cpython,snd,114,1807,0.176671,4.891612
cpython,snd,115,1904,0.168776,22.274334
cpython,snd,116,1934,0.168631,2.067751
cpython,snd,117,1818,0.163642,7.106528
cpython,snd,118,1854,0.162350,5.529290
cpython,snd,119,1876,0.158510,2.879266
cpython,snd,120,1974,0.163774,8.686228
cpython,snd,121,1970,0.168689,18.649141
cpython,snd,122,2045,0.165190,4.886214
cpython,snd,123,1997,0.166320,6.575999
cpython,snd,124,2028,0.164709,12.204555
cpython,snd,125,2099,0.162147,10.834674
cpython,snd,126,2104,0.160141,4.220791
cpython,snd,127,2157,0.159758,3.545795
cpython,snd,128,2168,0.159842,1.879198
cpython,snd,129,2147,0.157717,3.648565
cpython,snd,130,2158,0.157139,1.800643
cpython,snd,131,2134,0.160908,4.161128
cpython,snd,132,2128,0.164447,20.338695
cpython,snd,133,2162,0.166122,8.959668
cpython,snd,134,2180,0.164361,3.476991
cpython,snd,135,2190,0.163563,1.870317
cpython,snd,136,2200,0.163031,4.311841
cpython,snd,137,2205,0.161944,1.252907
cpython,snd,138,2245,0.160257,2.463436
cpython,snd,139,2256,0.159859,1.242883
cpython,snd,140,2230,0.155176,2.537118
cpython,snd,141,2244,0.154858,1.495907
cpython,snd,142,2247,0.152811,1.261108
cpython,snd,143,2271,0.150320,2.163392
cpython,snd,144,2314,0.148750,2.235503
cpython,snd,145,2234,0.152595,6.327489
cpython,snd,146,2244,0.153894,2.486976
cpython,snd,147,2308,0.153171,4.980024
cpython,snd,148,2284,0.150799,15.435010
cpython,snd,149,2307,0.151361,4.101692
cpython,snd,150,2327,0.150916,1.626617
cpython,snd,151,2371,0.153818,3.113139
cpython,snd,152,2376,0.154256,1.877116
cpython,snd,153,2385,0.155534,0.951837
cpython,snd,154,2348,0.159073,4.926496
cpython,snd,155,2348,0.158963,0.616857
cpython,snd,156,2348,0.158951,0.313007
cpython,snd,157,2352,0.158690,0.173659
cpython,snd,158,2354,0.158636,0.273332
cpython,snd,159,2202,0.154276,4.429025
cpython,snd,160,2223,0.152995,0.978126
cpython,snd,161,2312,0.146500,10.260964
cpython,snd,162,2307,0.146928,0.298221
cpython,snd,163,2310,0.146526,1.233817
cpython,snd,164,2314,0.146328,0.250159
cpython,snd,165,2318,0.146349,1.416581
cpython,snd,166,2327,0.147788,1.292592
cpython,snd,167,2307,0.149917,5.272195
cpython,snd,168,2330,0.149599,2.371911
cpython,snd,169,2324,0.149980,0.890499
cpython,snd,170,2326,0.150425,1.142393
cpython,snd,171,2326,0.150384,0.174840
cpython,snd,172,2331,0.151396,0.492715
