dataset,technique,revision,avgAR,avgMov
emcee-loc,snd,0,0.485222,0.000000
emcee-loc,snd,1,0.411232,29.179091
emcee-loc,snd,2,0.420014,39.960643
emcee-loc,snd,3,0.490726,23.182626
emcee-loc,snd,4,0.488979,0.668152
emcee-loc,snd,5,0.492069,0.825798
emcee-loc,snd,6,0.332356,24.691452
emcee-loc,snd,7,0.332356,0.000000
emcee-loc,snd,8,0.309885,12.215705
emcee-loc,snd,9,0.281470,9.175195
emcee-loc,snd,10,0.264472,22.191959
emcee-loc,snd,11,0.297314,36.541272
emcee-loc,snd,12,0.339748,125.747623
emcee-loc,snd,13,0.331818,5.626994
emcee-loc,snd,14,0.258582,20.317083
emcee-loc,snd,15,0.258732,0.125437
emcee-loc,snd,16,0.265346,6.248748
emcee-loc,snd,17,0.285356,25.033783
emcee-loc,snd,18,0.283863,0.363874
emcee-loc,snd,19,0.415782,23.290201
emcee-loc,snd,20,0.416046,1.032373
emcee-loc,snd,21,0.416046,0.000000
emcee-loc,snd,22,0.408775,16.923657
emcee-loc,snd,23,0.424274,14.896117
emcee-loc,snd,24,0.424274,0.000000
emcee-loc,snd,25,0.419721,4.163980
emcee-loc,snd,26,0.424501,1.543086
emcee-loc,snd,27,0.409311,16.005266
emcee-loc,snd,28,0.409542,0.261832
emcee-loc,snd,29,0.407782,1.403619
emcee-loc,snd,30,0.409542,1.403619
emcee-loc,snd,31,0.406469,2.556926
emcee-loc,snd,32,0.405810,0.673120
emcee-loc,snd,33,0.405810,0.000000
emcee-loc,snd,34,0.406977,1.058009
emcee-loc,snd,35,0.406624,9.186701
emcee-loc,snd,36,0.406201,0.482033
emcee-loc,snd,37,0.391965,3.395996
emcee-loc,snd,38,0.380570,13.647900
emcee-loc,snd,39,0.380464,0.167094
emcee-loc,snd,40,0.380570,0.167094
emcee-loc,snd,41,0.369767,3.462733
emcee-loc,snd,42,0.369484,0.802977
emcee-loc,snd,43,0.369033,1.097952
emcee-loc,snd,44,0.369033,0.000000
emcee-loc,snd,45,0.369033,0.000000
emcee-loc,snd,46,0.369033,0.000000
emcee-loc,snd,47,0.369431,1.022350
emcee-loc,snd,48,0.368971,1.114870
emcee-loc,snd,49,0.368897,0.203429
emcee-loc,snd,50,0.369033,0.298988
emcee-loc,snd,51,0.369033,0.000000
emcee-loc,snd,52,0.369033,0.000000
emcee-loc,snd,53,0.369033,0.000000
emcee-loc,snd,54,0.369197,0.371504
emcee-loc,snd,55,0.368964,0.720742
emcee-loc,snd,56,0.368850,1.009144
emcee-loc,snd,57,0.368850,0.000000
emcee-loc,snd,58,0.368850,0.000000
emcee-loc,snd,59,0.368805,0.188871
emcee-loc,snd,60,0.360882,0.583115
emcee-loc,snd,61,0.360698,0.432243
emcee-loc,snd,62,0.360714,0.037505
emcee-loc,snd,63,0.360714,0.000000
