dataset,technique,revision,nCells,avgAR,avgMov
emcee,snd,0,7,0.485222,0.000000
emcee,snd,1,8,0.411232,29.179091
emcee,snd,2,14,0.420014,39.960643
emcee,snd,3,13,0.490726,23.182626
emcee,snd,4,13,0.488979,0.668152
emcee,snd,5,13,0.492069,0.825798
emcee,snd,6,10,0.332356,24.691452
emcee,snd,7,10,0.332356,0.000000
emcee,snd,8,11,0.309885,12.215705
emcee,snd,9,12,0.281470,9.175195
emcee,snd,10,19,0.264472,22.191959
emcee,snd,11,22,0.297314,36.541272
emcee,snd,12,21,0.339748,125.747623
emcee,snd,13,19,0.331818,5.626994
emcee,snd,14,40,0.258582,20.317083
emcee,snd,15,40,0.258732,0.125437
emcee,snd,16,41,0.265346,6.248748
emcee,snd,17,42,0.285356,25.033783
emcee,snd,18,42,0.283863,0.363874
emcee,snd,19,35,0.415782,23.290201
emcee,snd,20,35,0.416046,1.032373
emcee,snd,21,35,0.416046,0.000000
emcee,snd,22,36,0.408775,16.923657
emcee,snd,23,37,0.424274,14.896117
emcee,snd,24,37,0.424274,0.000000
emcee,snd,25,37,0.419721,4.163980
emcee,snd,26,37,0.424501,1.543086
emcee,snd,27,38,0.409311,16.005266
emcee,snd,28,38,0.409542,0.261832
emcee,snd,29,38,0.407782,1.403619
emcee,snd,30,38,0.409542,1.403619
emcee,snd,31,38,0.406469,2.556926
emcee,snd,32,38,0.405810,0.673120
emcee,snd,33,38,0.405810,0.000000
emcee,snd,34,38,0.406977,1.058009
emcee,snd,35,39,0.406624,9.186701
emcee,snd,36,39,0.406201,0.482033
emcee,snd,37,40,0.391965,3.395996
emcee,snd,38,43,0.380570,13.647900
emcee,snd,39,43,0.380464,0.167094
emcee,snd,40,43,0.380570,0.167094
emcee,snd,41,44,0.369767,3.462733
emcee,snd,42,44,0.369484,0.802977
emcee,snd,43,44,0.369033,1.097952
emcee,snd,44,44,0.369033,0.000000
emcee,snd,45,44,0.369033,0.000000
emcee,snd,46,44,0.369033,0.000000
emcee,snd,47,44,0.369431,1.022350
emcee,snd,48,44,0.368971,1.114870
emcee,snd,49,44,0.368897,0.203429
emcee,snd,50,44,0.369033,0.298988
emcee,snd,51,44,0.369033,0.000000
emcee,snd,52,44,0.369033,0.000000
emcee,snd,53,44,0.369033,0.000000
emcee,snd,54,44,0.369197,0.371504
emcee,snd,55,44,0.368964,0.720742
emcee,snd,56,44,0.368850,1.009144
emcee,snd,57,44,0.368850,0.000000
emcee,snd,58,44,0.368850,0.000000
emcee,snd,59,44,0.368805,0.188871
emcee,snd,60,45,0.360882,0.583115
emcee,snd,61,45,0.360698,0.432243
emcee,snd,62,45,0.360714,0.037505
emcee,snd,63,45,0.360714,0.000000
