dataset,technique,revision,nCells,avgAR,avgMov
exo,snd,0,182,0.241374,0.000000
exo,snd,1,188,0.245154,7.834433
exo,snd,2,189,0.243075,1.124023
exo,snd,3,191,0.254958,7.596656
exo,snd,4,196,0.251970,7.095805
exo,snd,5,197,0.250760,1.144652
exo,snd,6,197,0.250769,0.935106
exo,snd,7,203,0.248517,3.744198
exo,snd,8,211,0.276671,9.310278
exo,snd,9,219,0.255603,11.105913
exo,snd,10,227,0.251715,5.420022
exo,snd,11,205,0.244546,13.568646
exo,snd,12,202,0.250299,3.636890
exo,snd,13,232,0.249165,12.745295
exo,snd,14,242,0.232699,15.583977
exo,snd,15,248,0.228680,14.819664
exo,snd,16,254,0.224976,2.812179
exo,snd,17,300,0.196228,18.370823
exo,snd,18,307,0.194016,9.342250
exo,snd,19,340,0.210814,17.866473
exo,snd,20,316,0.237978,14.142172
exo,snd,21,320,0.237676,3.631170
exo,snd,22,323,0.235339,2.317659
exo,snd,23,322,0.235308,1.305986
exo,snd,24,324,0.234223,1.116401
exo,snd,25,330,0.233848,2.937751
exo,snd,26,378,0.179655,33.105049
exo,snd,27,404,0.217876,23.181222
exo,snd,28,410,0.219658,2.010410
exo,snd,29,413,0.218918,2.483448
exo,snd,30,312,0.211548,28.682019
exo,snd,31,418,0.216631,21.862357
exo,snd,32,420,0.216831,1.889151
exo,snd,33,421,0.217190,31.442531
exo,snd,34,421,0.217103,1.953582
exo,snd,35,422,0.219824,1.489641
exo,snd,36,425,0.220659,2.050403
exo,snd,37,464,0.212019,7.222116
exo,snd,38,466,0.210750,0.855291
exo,snd,39,466,0.211188,0.914279
exo,snd,40,480,0.216281,3.667792
exo,snd,41,488,0.219725,2.986405
exo,snd,42,482,0.215209,2.520314
exo,snd,43,494,0.216592,3.054164
exo,snd,44,495,0.216920,1.418800
exo,snd,45,498,0.214573,2.908542
exo,snd,46,504,0.218546,1.276393
exo,snd,47,505,0.217435,0.731106
exo,snd,48,510,0.218645,1.916898
exo,snd,49,511,0.215765,3.955025
exo,snd,50,535,0.231045,6.584458
exo,snd,51,401,0.226284,14.654316
exo,snd,52,412,0.223775,3.296416
exo,snd,53,415,0.221253,3.586658
exo,snd,54,426,0.216993,3.140773
exo,snd,55,434,0.215769,5.249693
exo,snd,56,452,0.205818,27.633477
exo,snd,57,550,0.253869,25.110403
exo,snd,58,556,0.243873,7.132385
exo,snd,59,556,0.245578,1.806301
exo,snd,60,559,0.244916,1.896614
exo,snd,61,561,0.249097,4.193391
exo,snd,62,561,0.247818,1.059236
exo,snd,63,583,0.246228,10.654145
exo,snd,64,588,0.247836,2.329625
exo,snd,65,604,0.243713,4.839686
exo,snd,66,629,0.240048,5.282628
exo,snd,67,627,0.241188,4.987101
exo,snd,68,634,0.238706,0.919103
exo,snd,69,635,0.243731,0.181757
exo,snd,70,643,0.248133,4.759468
exo,snd,71,645,0.245890,4.974729
exo,snd,72,659,0.247731,2.943390
exo,snd,73,662,0.247478,1.034611
exo,snd,74,663,0.248020,0.475429
exo,snd,75,666,0.246353,0.841321
exo,snd,76,677,0.244353,1.529441
exo,snd,77,708,0.257818,15.010851
exo,snd,78,712,0.255775,0.971555
exo,snd,79,881,0.259800,5.008012
exo,snd,80,881,0.260680,0.828062
exo,snd,81,884,0.260400,0.877685
exo,snd,82,884,0.260642,1.197832
exo,snd,83,888,0.259458,0.443004
exo,snd,84,886,0.261458,1.103311
exo,snd,85,898,0.256145,4.380928
exo,snd,86,908,0.254635,2.996257
exo,snd,87,909,0.255068,0.437477
exo,snd,88,910,0.254726,0.724365
exo,snd,89,664,0.246816,21.033624
exo,snd,90,914,0.251522,16.081880
exo,snd,91,919,0.250876,1.386960
exo,snd,92,929,0.249450,0.751725
exo,snd,93,935,0.244685,2.792009
exo,snd,94,946,0.245869,2.639798
exo,snd,95,948,0.245525,0.702391
exo,snd,96,954,0.244357,2.858355
