dataset,technique,revision,nCells,avgAR,avgMov
exports,snd,0,96,0.205571,0.000000
exports,snd,1,98,0.210173,10.478638
exports,snd,2,99,0.202112,10.864876
exports,snd,3,99,0.203728,6.169387
exports,snd,4,100,0.205638,7.375697
exports,snd,5,106,0.250347,10.213643
exports,snd,6,107,0.245851,4.724257
exports,snd,7,110,0.250161,6.273413
exports,snd,8,111,0.239427,7.560578
exports,snd,9,111,0.236732,3.941576
exports,snd,10,115,0.241560,8.795273
exports,snd,11,115,0.245384,4.445395
exports,snd,12,116,0.252254,5.053185
exports,snd,13,116,0.248283,7.257184
exports,snd,14,117,0.248893,11.920182
exports,snd,15,120,0.245690,8.069672
exports,snd,16,123,0.240781,6.805001
exports,snd,17,129,0.231056,20.945934
exports,snd,18,128,0.233556,5.779626
exports,snd,19,128,0.228254,6.572455
exports,snd,20,142,0.231932,18.322118
exports,snd,21,144,0.227165,7.944943
exports,snd,22,144,0.230185,11.094041
exports,snd,23,145,0.229994,4.635517
exports,snd,24,144,0.222580,7.024870
exports,snd,25,145,0.220534,6.255739
exports,snd,26,147,0.216475,5.865089
exports,snd,27,147,0.217893,6.649862
exports,snd,28,147,0.218248,7.940169
exports,snd,29,151,0.211585,9.446434
exports,snd,30,167,0.191318,10.055730
exports,snd,31,172,0.188092,8.588917
exports,snd,32,174,0.186883,9.495005
exports,snd,33,175,0.182740,5.256781
exports,snd,34,181,0.177973,9.468099
exports,snd,35,187,0.173426,11.382623
exports,snd,36,188,0.172570,6.185795
exports,snd,37,189,0.171736,5.143214
exports,snd,38,189,0.171839,7.317095
exports,snd,39,189,0.170859,4.367551
exports,snd,40,191,0.169230,8.730801
exports,snd,41,191,0.166154,4.864012
exports,snd,42,193,0.166954,4.824433
exports,snd,43,193,0.166756,3.439028
exports,snd,44,193,0.165556,3.086700
exports,snd,45,192,0.163512,4.675391
exports,snd,46,193,0.166010,3.496387
exports,snd,47,193,0.169802,3.941317
exports,snd,48,192,0.170090,4.847175
exports,snd,49,193,0.169331,4.530068
exports,snd,50,193,0.170369,3.886635
exports,snd,51,194,0.172681,2.501119
exports,snd,52,191,0.175244,7.124092
exports,snd,53,191,0.177033,2.840128
exports,snd,54,186,0.182887,8.681522
exports,snd,55,172,0.199212,13.846970
