dataset,technique,revision,avgAR,avgMov
fsharp-loc,snd,0,0.204088,0.000000
fsharp-loc,snd,1,0.204086,0.012303
fsharp-loc,snd,2,0.204086,0.000000
fsharp-loc,snd,3,0.204086,0.000000
fsharp-loc,snd,4,0.204086,0.000000
fsharp-loc,snd,5,0.204086,0.000000
fsharp-loc,snd,6,0.204086,0.000000
fsharp-loc,snd,7,0.204086,0.000000
fsharp-loc,snd,8,0.197493,0.044630
fsharp-loc,snd,9,0.204606,0.287705
fsharp-loc,snd,10,0.417273,31.315812
fsharp-loc,snd,11,0.417281,0.136697
fsharp-loc,snd,12,0.417281,0.040440
fsharp-loc,snd,13,0.417281,0.031715
fsharp-loc,snd,14,0.413018,0.403460
fsharp-loc,snd,15,0.413018,0.000000
fsharp-loc,snd,16,0.413018,0.000000
fsharp-loc,snd,17,0.413018,0.000000
fsharp-loc,snd,18,0.413018,0.000000
fsharp-loc,snd,19,0.413018,0.000000
fsharp-loc,snd,20,0.413018,0.013614
fsharp-loc,snd,21,0.413018,0.026610
fsharp-loc,snd,22,0.214999,25.449804
fsharp-loc,snd,23,0.214344,0.056446
fsharp-loc,snd,24,0.207106,6.326114
fsharp-loc,snd,25,0.177162,97.895746
fsharp-loc,snd,26,0.209473,109.320183
fsharp-loc,snd,27,0.208581,0.226707
fsharp-loc,snd,28,0.195016,1.020265
fsharp-loc,snd,29,0.169156,14.140376
fsharp-loc,snd,30,0.162200,2.887412
fsharp-loc,snd,31,0.162199,0.070962
fsharp-loc,snd,32,0.162202,0.007413
fsharp-loc,snd,33,0.161579,1.540521
fsharp-loc,snd,34,0.182560,142.549872
fsharp-loc,snd,35,0.161826,68.731119
fsharp-loc,snd,36,0.169356,21.356904
fsharp-loc,snd,37,0.169122,0.714024
fsharp-loc,snd,38,0.192090,62.945186
fsharp-loc,snd,39,0.192080,0.052059
fsharp-loc,snd,40,0.191184,0.140585
fsharp-loc,snd,41,0.190960,0.051438
fsharp-loc,snd,42,0.189828,146.901162
fsharp-loc,snd,43,0.192869,80.834719
fsharp-loc,snd,44,0.193152,0.081995
fsharp-loc,snd,45,0.190438,0.435400
fsharp-loc,snd,46,0.190259,0.667749
fsharp-loc,snd,47,0.191015,2.243241
fsharp-loc,snd,48,0.187222,1.474660
fsharp-loc,snd,49,0.217349,12.442818
fsharp-loc,snd,50,0.214291,8.876202
fsharp-loc,snd,51,0.206960,1.788943
fsharp-loc,snd,52,0.208069,0.098583
fsharp-loc,snd,53,0.206960,0.098108
fsharp-loc,snd,54,0.189420,35.363193
fsharp-loc,snd,55,0.188592,6.068584
fsharp-loc,snd,56,0.187675,0.519659
fsharp-loc,snd,57,0.188125,0.775727
fsharp-loc,snd,58,0.189050,1.517658
fsharp-loc,snd,59,0.189313,0.568269
fsharp-loc,snd,60,0.245288,167.197368
fsharp-loc,snd,61,0.245288,0.000000
fsharp-loc,snd,62,0.189462,80.844136
fsharp-loc,snd,63,0.188438,0.784233
fsharp-loc,snd,64,0.186278,3.790601
fsharp-loc,snd,65,0.173290,8.049994
fsharp-loc,snd,66,0.170559,1.527748
fsharp-loc,snd,67,0.265458,139.033341
fsharp-loc,snd,68,0.265458,0.000000
