dataset,technique,revision,nCells,avgAR,avgMov
gimp,snd,0,7,0.428571,0.000000
gimp,snd,1,861,0.089518,1.245552
gimp,snd,2,942,0.090321,6.757217
gimp,snd,3,1105,0.095996,15.143721
gimp,snd,4,1252,0.100166,24.166433
gimp,snd,5,1350,0.110810,5.967157
gimp,snd,6,1222,0.111093,33.304500
gimp,snd,7,1492,0.114764,14.906219
gimp,snd,8,1946,0.175562,17.058853
gimp,snd,9,1963,0.182712,11.935834
gimp,snd,10,1973,0.179764,6.432968
gimp,snd,11,2004,0.179866,5.968835
gimp,snd,12,2085,0.178934,6.468882
gimp,snd,13,2106,0.175051,11.545471
gimp,snd,14,1983,0.137925,8.528181
gimp,snd,15,2018,0.136853,6.035068
gimp,snd,16,2196,0.135679,9.574217
gimp,snd,17,1928,0.127376,12.642817
gimp,snd,18,2025,0.125671,6.440364
gimp,snd,19,2142,0.126796,5.057689
gimp,snd,20,2171,0.124647,8.929174
gimp,snd,21,2226,0.125109,4.297351
gimp,snd,22,2211,0.128429,3.602774
gimp,snd,23,2165,0.129217,12.799664
gimp,snd,24,2142,0.130073,6.223131
gimp,snd,25,2118,0.130332,2.869136
gimp,snd,26,2166,0.130794,5.687528
gimp,snd,27,2216,0.128871,4.663800
gimp,snd,28,2232,0.128632,1.624908
gimp,snd,29,2287,0.128106,2.883284
gimp,snd,30,2303,0.128789,1.448076
gimp,snd,31,2313,0.129123,1.647219
gimp,snd,32,2311,0.130615,1.110649
gimp,snd,33,2333,0.130977,1.279770
gimp,snd,34,2465,0.132651,6.144851
gimp,snd,35,2487,0.135176,2.416531
gimp,snd,36,2522,0.133043,3.773596
gimp,snd,37,2563,0.132989,1.927030
gimp,snd,38,2595,0.132807,1.739605
gimp,snd,39,2676,0.134547,4.182811
gimp,snd,40,2709,0.133415,1.995865
gimp,snd,41,2720,0.133634,1.030696
gimp,snd,42,2738,0.134541,1.502823
gimp,snd,43,2786,0.137880,1.997784
gimp,snd,44,2826,0.138187,2.129145
gimp,snd,45,2875,0.136625,2.753589
gimp,snd,46,2902,0.134879,1.577904
gimp,snd,47,2938,0.132680,1.549565
gimp,snd,48,2963,0.131222,1.281401
gimp,snd,49,2979,0.130513,2.371472
gimp,snd,50,2985,0.129690,1.107780
gimp,snd,51,3009,0.127814,1.214731
gimp,snd,52,3027,0.127604,1.225053
gimp,snd,53,3046,0.127396,1.117817
gimp,snd,54,3136,0.125665,1.608876
gimp,snd,55,3145,0.127246,3.239517
gimp,snd,56,3165,0.128779,3.124308
gimp,snd,57,3205,0.128391,1.077893
gimp,snd,58,3226,0.126985,3.862737
gimp,snd,59,3238,0.127650,0.790394
gimp,snd,60,3253,0.128417,1.177108
gimp,snd,61,3257,0.129791,0.857709
gimp,snd,62,3263,0.129538,0.835565
gimp,snd,63,3278,0.128102,0.891143
gimp,snd,64,3364,0.130192,2.632234
gimp,snd,65,3385,0.128714,2.566625
gimp,snd,66,3415,0.127635,1.651026
gimp,snd,67,3445,0.126724,1.574403
gimp,snd,68,3450,0.127006,4.829113
gimp,snd,69,3421,0.124583,1.754392
gimp,snd,70,3440,0.123889,0.624397
gimp,snd,71,3467,0.123373,1.275318
