dataset,technique,revision,nCells,avgAR,avgMov
hiv,snd,0,109,0.018349,0.000000
hiv,snd,1,109,0.018349,1.516371
hiv,snd,2,109,0.018349,1.662456
hiv,snd,3,109,0.018349,1.712495
hiv,snd,4,109,0.018349,1.638110
hiv,snd,5,109,0.018349,1.441169
hiv,snd,6,109,0.018349,1.343601
hiv,snd,7,109,0.018349,1.578209
hiv,snd,8,109,0.018349,1.830828
hiv,snd,9,109,0.018349,1.994837
hiv,snd,10,109,0.018349,2.089301
hiv,snd,11,109,0.018349,2.101585
hiv,snd,12,109,0.018349,2.095268
hiv,snd,13,109,0.018349,2.073372
hiv,snd,14,109,0.018349,2.032229
hiv,snd,15,109,0.018349,1.933985
hiv,snd,16,109,0.018349,2.205440
hiv,snd,17,109,0.018349,1.984733
hiv,snd,18,109,0.018349,2.787240
hiv,snd,19,109,0.018349,3.635937
hiv,snd,20,109,0.018349,2.747360
hiv,snd,21,109,0.018349,3.508714
hiv,snd,22,109,0.018349,6.240220
hiv,snd,23,109,0.018349,7.917383
hiv,snd,24,109,0.018349,4.784055
