dataset,technique,revision,avgAR,avgMov
osquery-loc,snd,0,0.102746,0.000000
osquery-loc,snd,1,0.216079,89.196026
osquery-loc,snd,2,0.197147,25.593725
osquery-loc,snd,3,0.198631,99.828659
osquery-loc,snd,4,0.201130,10.425480
osquery-loc,snd,5,0.192616,9.101415
osquery-loc,snd,6,0.178376,10.884393
osquery-loc,snd,7,0.193377,96.522139
osquery-loc,snd,8,0.193132,15.658123
osquery-loc,snd,9,0.204537,11.523999
osquery-loc,snd,10,0.211300,8.002429
osquery-loc,snd,11,0.224456,8.294078
osquery-loc,snd,12,0.221803,4.936712
osquery-loc,snd,13,0.220805,2.961067
osquery-loc,snd,14,0.218057,5.760642
osquery-loc,snd,15,0.217974,1.570213
osquery-loc,snd,16,0.222782,4.253488
osquery-loc,snd,17,0.222248,3.334799
osquery-loc,snd,18,0.218301,3.162699
osquery-loc,snd,19,0.219680,2.678868
osquery-loc,snd,20,0.219680,0.000000
osquery-loc,snd,21,0.219680,0.000000
osquery-loc,snd,22,0.209305,4.056451
osquery-loc,snd,23,0.209612,3.852162
osquery-loc,snd,24,0.220367,7.579127
osquery-loc,snd,25,0.219781,5.879571
osquery-loc,snd,26,0.220831,6.579567
osquery-loc,snd,27,0.219706,3.535992
osquery-loc,snd,28,0.224350,5.507419
osquery-loc,snd,29,0.224284,3.475812
osquery-loc,snd,30,0.223579,4.848288
osquery-loc,snd,31,0.225276,2.777726
osquery-loc,snd,32,0.222120,1.996346
osquery-loc,snd,33,0.222522,4.274220
osquery-loc,snd,34,0.222059,1.557319
osquery-loc,snd,35,0.226601,5.109766
osquery-loc,snd,36,0.227144,0.571984
