dataset,technique,revision,avgAR,avgMov
shellcheck-loc,snd,0,0.271812,0.000000
shellcheck-loc,snd,1,0.270138,1.999636
shellcheck-loc,snd,2,0.269769,0.559083
shellcheck-loc,snd,3,0.269400,0.669329
shellcheck-loc,snd,4,0.269122,0.474597
shellcheck-loc,snd,5,0.267779,2.304139
shellcheck-loc,snd,6,0.266977,1.415100
shellcheck-loc,snd,7,0.264836,3.579070
shellcheck-loc,snd,8,0.264275,1.082767
shellcheck-loc,snd,9,0.243713,0.905810
shellcheck-loc,snd,10,0.243555,0.358146
shellcheck-loc,snd,11,0.266245,8.446477
shellcheck-loc,snd,12,0.265864,0.766077
shellcheck-loc,snd,13,0.244758,0.991226
shellcheck-loc,snd,14,0.244311,1.900455
shellcheck-loc,snd,15,0.243689,2.000788
shellcheck-loc,snd,16,0.243210,1.506756
shellcheck-loc,snd,17,0.255555,4.556268
shellcheck-loc,snd,18,0.278253,1.720159
shellcheck-loc,snd,19,0.278188,0.440207
shellcheck-loc,snd,20,0.255599,1.594049
shellcheck-loc,snd,21,0.255656,0.272540
shellcheck-loc,snd,22,0.255608,0.168105
shellcheck-loc,snd,23,0.255534,0.259573
shellcheck-loc,snd,24,0.255523,0.116077
shellcheck-loc,snd,25,0.256100,2.749065
shellcheck-loc,snd,26,0.256024,1.512050
shellcheck-loc,snd,27,0.255972,0.840274
shellcheck-loc,snd,28,0.236170,1.097256
shellcheck-loc,snd,29,0.236105,0.371305
shellcheck-loc,snd,30,0.236110,0.083134
shellcheck-loc,snd,31,0.235986,1.187585
shellcheck-loc,snd,32,0.206197,3.953137
shellcheck-loc,snd,33,0.205502,0.709882
shellcheck-loc,snd,34,0.203225,2.217414
shellcheck-loc,snd,35,0.203184,0.078429
shellcheck-loc,snd,36,0.186830,2.138091
shellcheck-loc,snd,37,0.186435,0.733872
shellcheck-loc,snd,38,0.186086,0.937114
shellcheck-loc,snd,39,0.178235,0.601235
shellcheck-loc,snd,40,0.159278,6.852060
shellcheck-loc,snd,41,0.159185,0.210496
shellcheck-loc,snd,42,0.159259,1.087142
shellcheck-loc,snd,43,0.158936,0.272300
shellcheck-loc,snd,44,0.158450,0.726341
shellcheck-loc,snd,45,0.152742,1.300588
shellcheck-loc,snd,46,0.152596,0.087495
shellcheck-loc,snd,47,0.162782,10.111613
shellcheck-loc,snd,48,0.155816,3.150101
shellcheck-loc,snd,49,0.155889,1.066479
shellcheck-loc,snd,50,0.155675,0.346689
shellcheck-loc,snd,51,0.155646,0.087180
shellcheck-loc,snd,52,0.154515,1.050487
