dataset,technique,revision,avgAR,avgMov
soundnode-app-loc,snd,0,0.206387,0.000000
soundnode-app-loc,snd,1,0.216011,0.000000
soundnode-app-loc,snd,2,0.213505,2.800111
soundnode-app-loc,snd,3,0.221418,5.653866
soundnode-app-loc,snd,4,0.226826,0.991972
soundnode-app-loc,snd,5,0.226536,88.198593
soundnode-app-loc,snd,6,0.246257,35.153348
soundnode-app-loc,snd,7,0.230596,9.351934
soundnode-app-loc,snd,8,0.229115,2.102400
soundnode-app-loc,snd,9,0.235817,0.485389
soundnode-app-loc,snd,10,0.221826,32.942844
soundnode-app-loc,snd,11,0.223482,0.730111
soundnode-app-loc,snd,12,0.223086,0.281471
soundnode-app-loc,snd,13,0.226288,1.164818
soundnode-app-loc,snd,14,0.221396,2.525410
soundnode-app-loc,snd,15,0.235712,14.821829
soundnode-app-loc,snd,16,0.279103,10.262329
soundnode-app-loc,snd,17,0.268221,2.304227
soundnode-app-loc,snd,18,0.272497,1.944850
soundnode-app-loc,snd,19,0.265817,3.879334
soundnode-app-loc,snd,20,0.256957,2.790675
soundnode-app-loc,snd,21,0.258964,2.645183
soundnode-app-loc,snd,22,0.258825,0.657048
soundnode-app-loc,snd,23,0.257995,0.662451
soundnode-app-loc,snd,24,0.258873,0.063808
soundnode-app-loc,snd,25,0.253762,1.346841
soundnode-app-loc,snd,26,0.253972,0.673572
soundnode-app-loc,snd,27,0.253958,0.025198
soundnode-app-loc,snd,28,0.253939,0.229993
soundnode-app-loc,snd,29,0.205098,207.331443
soundnode-app-loc,snd,30,0.253984,166.307636
soundnode-app-loc,snd,31,0.197744,199.308065
soundnode-app-loc,snd,32,0.196452,0.612959
soundnode-app-loc,snd,33,0.196452,0.000000
soundnode-app-loc,snd,34,0.196452,0.000000
