dataset,technique,revision,nCells,avgAR,avgMov
soundnode-app,snd,0,37,0.206387,0.000000
soundnode-app,snd,1,82,0.216011,0.000000
soundnode-app,snd,2,84,0.213505,2.800111
soundnode-app,snd,3,88,0.221418,5.653866
soundnode-app,snd,4,89,0.226826,0.991972
soundnode-app,snd,5,96,0.226536,88.198593
soundnode-app,snd,6,103,0.246257,35.153348
soundnode-app,snd,7,117,0.230596,9.351934
soundnode-app,snd,8,118,0.229115,2.102400
soundnode-app,snd,9,118,0.235817,0.485389
soundnode-app,snd,10,116,0.221826,32.942844
soundnode-app,snd,11,116,0.223482,0.730111
soundnode-app,snd,12,115,0.223086,0.281471
soundnode-app,snd,13,115,0.226288,1.164818
soundnode-app,snd,14,119,0.221396,2.525410
soundnode-app,snd,15,129,0.235712,14.821829
soundnode-app,snd,16,147,0.279103,10.262329
soundnode-app,snd,17,161,0.268221,2.304227
soundnode-app,snd,18,159,0.272497,1.944850
soundnode-app,snd,19,164,0.265817,3.879334
soundnode-app,snd,20,170,0.256957,2.790675
soundnode-app,snd,21,174,0.258964,2.645183
soundnode-app,snd,22,174,0.258825,0.657048
soundnode-app,snd,23,174,0.257995,0.662451
soundnode-app,snd,24,174,0.258873,0.063808
soundnode-app,snd,25,177,0.253762,1.346841
soundnode-app,snd,26,177,0.253972,0.673572
soundnode-app,snd,27,177,0.253958,0.025198
soundnode-app,snd,28,177,0.253939,0.229993
soundnode-app,snd,29,142,0.205098,207.331443
soundnode-app,snd,30,177,0.253984,166.307636
soundnode-app,snd,31,135,0.197744,199.308065
soundnode-app,snd,32,136,0.196452,0.612959
soundnode-app,snd,33,136,0.196452,0.000000
soundnode-app,snd,34,136,0.196452,0.000000
