dataset,technique,revision,avgAR,avgMov
spacemacs-loc,snd,0,0.209316,0.000000
spacemacs-loc,snd,1,0.214436,41.642705
spacemacs-loc,snd,2,0.225898,4.583469
spacemacs-loc,snd,3,0.218370,9.776884
spacemacs-loc,snd,4,0.184850,23.130205
spacemacs-loc,snd,5,0.186105,3.157281
spacemacs-loc,snd,6,0.208578,14.269334
spacemacs-loc,snd,7,0.201122,4.304148
spacemacs-loc,snd,8,0.202116,0.573262
spacemacs-loc,snd,9,0.194741,5.557307
spacemacs-loc,snd,10,0.173614,14.658466
spacemacs-loc,snd,11,0.170758,3.953980
spacemacs-loc,snd,12,0.170948,0.460027
spacemacs-loc,snd,13,0.170948,0.000000
spacemacs-loc,snd,14,0.180804,5.078674
spacemacs-loc,snd,15,0.168644,7.653420
spacemacs-loc,snd,16,0.167116,0.815782
spacemacs-loc,snd,17,0.161907,0.955870
spacemacs-loc,snd,18,0.158767,3.315526
spacemacs-loc,snd,19,0.163570,7.651468
spacemacs-loc,snd,20,0.342244,12.519400
spacemacs-loc,snd,21,0.348369,54.763403
spacemacs-loc,snd,22,0.253778,32.687453
spacemacs-loc,snd,23,0.171781,31.469420
spacemacs-loc,snd,24,0.167036,16.702710
spacemacs-loc,snd,25,0.152471,21.361718
spacemacs-loc,snd,26,0.160728,7.605967
spacemacs-loc,snd,27,0.204232,23.273204
spacemacs-loc,snd,28,0.190735,38.359353
spacemacs-loc,snd,29,0.180165,11.158853
spacemacs-loc,snd,30,0.182950,6.550491
spacemacs-loc,snd,31,0.178802,18.528275
spacemacs-loc,snd,32,0.183390,28.809475
spacemacs-loc,snd,33,0.174794,14.128219
spacemacs-loc,snd,34,0.173961,11.740556
spacemacs-loc,snd,35,0.177281,9.328495
spacemacs-loc,snd,36,0.159867,40.297495
spacemacs-loc,snd,37,0.159232,13.418544
spacemacs-loc,snd,38,0.198153,27.589522
spacemacs-loc,snd,39,0.205806,6.081524
spacemacs-loc,snd,40,0.201116,7.816030
spacemacs-loc,snd,41,0.215988,13.083323
spacemacs-loc,snd,42,0.221670,3.254364
spacemacs-loc,snd,43,0.216537,3.601051
spacemacs-loc,snd,44,0.216500,0.308782
spacemacs-loc,snd,45,0.216527,0.024316
spacemacs-loc,snd,46,0.219352,1.513655
spacemacs-loc,snd,47,0.222831,2.043538
spacemacs-loc,snd,48,0.222834,0.018451
spacemacs-loc,snd,49,0.222833,0.006036
spacemacs-loc,snd,50,0.207654,15.682019
